; Candidate 6376
; ADRP+ADD at VM 0xfffffff008828158 (fileoff 0x1824158): page=0x1fe9c1000 add_imm=0xe80

0xfffffff0088280d8: 684243f9  ldr	x8, [x19, #0x680]
0xfffffff0088280dc: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff0088280e0: 6a7a46b9  ldr	w10, [x19, #0x678]
0xfffffff0088280e4: ea2304a9  stp	x10, x8, [sp, #0x40]
0xfffffff0088280e8: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff0088280ec: 887f8052  mov	w8, #0x3fc
0xfffffff0088280f0: c94fffb0  adrp	x9, #0xfffffff007221000
0xfffffff0088280f4: 293d2391  add	x9, x9, #0x8cf
0xfffffff0088280f8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088280fc: c84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff008828100: 08653291  add	x8, x8, #0xc99
0xfffffff008828104: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008828108: e80a8052  mov	w8, #0x57
0xfffffff00882810c: c04fffb0  adrp	x0, #0xfffffff007221000
0xfffffff008828110: 00ec2091  add	x0, x0, #0x83b
0xfffffff008828114: f52300a9  stp	x21, x8, [sp]
0xfffffff008828118: d23cd697  bl	#0xfffffff007db7460
0xfffffff00882811c: fc000014  b	#0xfffffff00882850c
0xfffffff008828120: 23300294  bl	#0xfffffff0088b41ac
0xfffffff008828124: f50300aa  mov	x21, x0
0xfffffff008828128: e0008052  mov	w0, #7
0xfffffff00882812c: c94d0194  bl	#0xfffffff00887b850
0xfffffff008828130: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008828134: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff008828138: c84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff00882813c: 083d2391  add	x8, x8, #0x8cf
0xfffffff008828140: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008828144: c84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff008828148: 08653291  add	x8, x8, #0xc99
0xfffffff00882814c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008828150: e80a8052  mov	w8, #0x57
0xfffffff008828154: f52300a9  stp	x21, x8, [sp]
0xfffffff008828158: 004effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882815c: 00003a91  add	x0, x0, #0xe80
0xfffffff008828160: 018fff90  adrp	x1, #0xfffffff007a08000
0xfffffff008828164: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008828168: 0351fff0  adrp	x3, #0xfffffff00724b000
0xfffffff00882816c: 63541f91  add	x3, x3, #0x7d5
0xfffffff008828170: 02008052  mov	w2, #0
0xfffffff008828174: ef2bec97  bl	#0xfffffff008333130
0xfffffff008828178: 54f5ffb5  cbnz	x20, #0xfffffff008828020
0xfffffff00882817c: e00a8052  mov	w0, #0x57
0xfffffff008828180: 81008052  mov	w1, #4
0xfffffff008828184: 934d0194  bl	#0xfffffff00887b7d0
0xfffffff008828188: 20150034  cbz	w0, #0xfffffff00882842c
0xfffffff00882818c: e00a8052  mov	w0, #0x57
0xfffffff008828190: a24d0194  bl	#0xfffffff00887b818
0xfffffff008828194: f60300aa  mov	x22, x0
0xfffffff008828198: 05300294  bl	#0xfffffff0088b41ac
0xfffffff00882819c: f50300aa  mov	x21, x0
0xfffffff0088281a0: 80008052  mov	w0, #4
0xfffffff0088281a4: ab4d0194  bl	#0xfffffff00887b850
0xfffffff0088281a8: 960d0034  cbz	w22, #0xfffffff008828358
0xfffffff0088281ac: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff0088281b0: c94fffb0  adrp	x9, #0xfffffff007221000
0xfffffff0088281b4: 293d0391  add	x9, x9, #0xcf
0xfffffff0088281b8: e87f04a9  stp	x8, xzr, [sp, #0x40]
0xfffffff0088281bc: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff0088281c0: 687d8052  mov	w8, #0x3eb
0xfffffff0088281c4: c94fffb0  adrp	x9, #0xfffffff007221000
0xfffffff0088281c8: 293d2391  add	x9, x9, #0x8cf
0xfffffff0088281cc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088281d0: c84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff0088281d4: 08653291  add	x8, x8, #0xc99
