; Candidate 16524
; ADRP+ADD at VM 0xfffffff009ed5254 (fileoff 0x2ed1254): page=0x1fd971000 add_imm=0xe6e

0xfffffff009ed51d4: 952200b9  str	w21, [x20, #0x20]
0xfffffff009ed51d8: cf620194  bl	#0xfffffff009f2dd14
0xfffffff009ed51dc: 805600f9  str	x0, [x20, #0xa8]
0xfffffff009ed51e0: ff2b00f9  str	xzr, [sp, #0x50]
0xfffffff009ed51e4: e3430191  add	x3, sp, #0x50
0xfffffff009ed51e8: a4c301d1  sub	x4, x29, #0x70
0xfffffff009ed51ec: e00313aa  mov	x0, x19
0xfffffff009ed51f0: e10315aa  mov	x1, x21
0xfffffff009ed51f4: e2031aaa  mov	x2, x26
0xfffffff009ed51f8: a956ff97  bl	#0xfffffff009eaac9c
0xfffffff009ed51fc: c00d0034  cbz	w0, #0xfffffff009ed53b4
0xfffffff009ed5200: fb0300aa  mov	x27, x0
0xfffffff009ed5204: 7d000014  b	#0xfffffff009ed53f8
0xfffffff009ed5208: 18008052  mov	w24, #0
0xfffffff009ed520c: b40b8052  mov	w20, #0x5d
0xfffffff009ed5210: e00317aa  mov	x0, x23
0xfffffff009ed5214: 65657b97  bl	#0xfffffff007dae7a8
0xfffffff009ed5218: e00313aa  mov	x0, x19
0xfffffff009ed521c: 192e0094  bl	#0xfffffff009ee0a80
0xfffffff009ed5220: e00315aa  mov	x0, x21
0xfffffff009ed5224: 9e330094  bl	#0xfffffff009ee209c
0xfffffff009ed5228: 38e80737  tbnz	w24, #0, #0xfffffff009ed4f2c
0xfffffff009ed522c: a4000014  b	#0xfffffff009ed54bc
0xfffffff009ed5230: e00313aa  mov	x0, x19
0xfffffff009ed5234: 7c66ff97  bl	#0xfffffff009eaec24
0xfffffff009ed5238: e0170034  cbz	w0, #0xfffffff009ed5534
0xfffffff009ed523c: f40300aa  mov	x20, x0
0xfffffff009ed5240: 88cbfeb0  adrp	x8, #0xfffffff007846000
0xfffffff009ed5244: 08453a91  add	x8, x8, #0xe91
0xfffffff009ed5248: 29ff8552  mov	w9, #0x2ff9
0xfffffff009ed524c: e9d300a9  stp	x9, x20, [sp, #8]
0xfffffff009ed5250: e80300f9  str	x8, [sp]
0xfffffff009ed5254: 80cbfeb0  adrp	x0, #0xfffffff007846000
0xfffffff009ed5258: 00b83991  add	x0, x0, #0xe6e
0xfffffff009ed525c: acfeff17  b	#0xfffffff009ed4d0c
0xfffffff009ed5260: f52740f9  ldr	x21, [sp, #0x48]
0xfffffff009ed5264: b7c20291  add	x23, x21, #0xb0
0xfffffff009ed5268: e00317aa  mov	x0, x23
0xfffffff009ed526c: 27627b97  bl	#0xfffffff007dadb08
0xfffffff009ed5270: 686a40f9  ldr	x8, [x19, #0xd0]
0xfffffff009ed5274: 19e140f9  ldr	x25, [x8, #0x1c0]
0xfffffff009ed5278: 686240f9  ldr	x8, [x19, #0xc0]
0xfffffff009ed527c: 01c10391  add	x1, x8, #0xf0
0xfffffff009ed5280: a0c301d1  sub	x0, x29, #0x70
0xfffffff009ed5284: 2c769197  bl	#0xfffffff008332b34
0xfffffff009ed5288: a0c301d1  sub	x0, x29, #0x70
0xfffffff009ed528c: e1430191  add	x1, sp, #0x50
0xfffffff009ed5290: 6c779197  bl	#0xfffffff008333040
0xfffffff009ed5294: a1c301d1  sub	x1, x29, #0x70
0xfffffff009ed5298: e2c30291  add	x2, sp, #0xb0
0xfffffff009ed529c: e00319aa  mov	x0, x25
0xfffffff009ed52a0: 03008052  mov	w3, #0
0xfffffff009ed52a4: 43defd97  bl	#0xfffffff009e4cbb0
0xfffffff009ed52a8: f40300aa  mov	x20, x0
0xfffffff009ed52ac: 1f080071  cmp	w0, #2
0xfffffff009ed52b0: 80000054  b.eq	#0xfffffff009ed52c0
0xfffffff009ed52b4: 34160035  cbnz	w20, #0xfffffff009ed5578
0xfffffff009ed52b8: e07b40f9  ldr	x0, [sp, #0xf0]
0xfffffff009ed52bc: 2cb88197  bl	#0xfffffff007f4336c
0xfffffff009ed52c0: 38070034  cbz	w24, #0xfffffff009ed53a4
0xfffffff009ed52c4: a1c301d1  sub	x1, x29, #0x70
0xfffffff009ed52c8: e2c30291  add	x2, sp, #0xb0
0xfffffff009ed52cc: e00319aa  mov	x0, x25
0xfffffff009ed52d0: 23008052  mov	w3, #1
