; Candidate 14443
; ADRP+ADD at VM 0xfffffff009788460 (fileoff 0x2784460): page=0x1fe4b8000 add_imm=0xd20

0xfffffff0097883e0: 10222791  add	x16, x16, #0x9c8
0xfffffff0097883e4: 10420091  add	x16, x16, #0x10
0xfffffff0097883e8: f10300aa  mov	x17, x0
0xfffffff0097883ec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097883f0: 300ac1da  pacda	x16, x17
0xfffffff0097883f4: 100000f9  str	x16, [x0]
0xfffffff0097883f8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0097883fc: ff0f5fd6  retab	
0xfffffff009788400: 5f2403d5  bti	c
0xfffffff009788404: bb2ffc17  b	#0xfffffff0096942f0
0xfffffff009788408: 5f2403d5  bti	c
0xfffffff00978840c: b92ffc17  b	#0xfffffff0096942f0
0xfffffff009788410: 7f2303d5  pacibsp	
0xfffffff009788414: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009788418: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00978841c: fd430091  add	x29, sp, #0x10
0xfffffff009788420: f30300aa  mov	x19, x0
0xfffffff009788424: b32ffc97  bl	#0xfffffff0096942f0
0xfffffff009788428: c025ff90  adrp	x0, #0xfffffff007c40000
0xfffffff00978842c: 00803491  add	x0, x0, #0xd20
0xfffffff009788430: e10313aa  mov	x1, x19
0xfffffff009788434: 021e8052  mov	w2, #0xf0
0xfffffff009788438: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00978843c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009788440: ff2303d5  autibsp	
0xfffffff009788444: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009788448: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009788450
0xfffffff00978844c: 208e38d4  brk	#0xc471
0xfffffff009788450: 937cad17  b	#0xfffffff0082e769c
0xfffffff009788454: 5f2403d5  bti	c
0xfffffff009788458: e20301aa  mov	x2, x1
0xfffffff00978845c: e10300aa  mov	x1, x0
0xfffffff009788460: c025ff90  adrp	x0, #0xfffffff007c40000
0xfffffff009788464: 00803491  add	x0, x0, #0xd20
0xfffffff009788468: 8d7cad17  b	#0xfffffff0082e769c
0xfffffff00978846c: 5f2403d5  bti	c
0xfffffff009788470: 20600090  adrp	x0, #0xfffffff00a38c000
0xfffffff009788474: 00600491  add	x0, x0, #0x118
0xfffffff009788478: c0035fd6  ret	
0xfffffff00978847c: 7f2303d5  pacibsp	
0xfffffff009788480: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009788484: fd030091  mov	x29, sp
0xfffffff009788488: 41f0fe90  adrp	x1, #0xfffffff007590000
0xfffffff00978848c: 214c1f91  add	x1, x1, #0x7d3
0xfffffff009788490: 026000d0  adrp	x2, #0xfffffff00a38a000
0xfffffff009788494: 42003491  add	x2, x2, #0xd00
0xfffffff009788498: 031e8052  mov	w3, #0xf0
0xfffffff00978849c: a76dad97  bl	#0xfffffff0082e3b38
0xfffffff0097884a0: 9025fff0  adrp	x16, #0xfffffff007c3b000
0xfffffff0097884a4: 10e23e91  add	x16, x16, #0xfb8
0xfffffff0097884a8: 10420091  add	x16, x16, #0x10
0xfffffff0097884ac: f10300aa  mov	x17, x0
0xfffffff0097884b0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097884b4: 300ac1da  pacda	x16, x17
0xfffffff0097884b8: 100000f9  str	x16, [x0]
0xfffffff0097884bc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0097884c0: ff0f5fd6  retab	
0xfffffff0097884c4: 7f2303d5  pacibsp	
0xfffffff0097884c8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0097884cc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0097884d0: fd430091  add	x29, sp, #0x10
0xfffffff0097884d4: c025ff90  adrp	x0, #0xfffffff007c40000
0xfffffff0097884d8: 00803491  add	x0, x0, #0xd20
0xfffffff0097884dc: 011e8052  mov	w1, #0xf0
