; Candidate 837
; ADRP+ADD at VM 0xfffffff0080da9b4 (fileoff 0x10d69b4): page=0x1fef9d000 add_imm=0xdb3

0xfffffff0080da934: a8c302d1  sub	x8, x29, #0xb0
0xfffffff0080da938: e85301a9  stp	x8, x20, [sp, #0x10]
0xfffffff0080da93c: e87cff90  adrp	x8, #0xfffffff007076000
0xfffffff0080da940: 08d53991  add	x8, x8, #0xe75
0xfffffff0080da944: e84f00a9  stp	x8, x19, [sp]
0xfffffff0080da948: 8079ffd0  adrp	x0, #0xfffffff00700c000
0xfffffff0080da94c: 00000091  add	x0, x0, #0
0xfffffff0080da950: 037ffff0  adrp	x3, #0xfffffff0070bd000
0xfffffff0080da954: 63202a91  add	x3, x3, #0xa88
0xfffffff0080da958: 22008052  mov	w2, #1
0xfffffff0080da95c: f5610994  bl	#0xfffffff008333130
0xfffffff0080da960: 5dfcff17  b	#0xfffffff0080d9ad4
0xfffffff0080da964: 8804c0d2  mov	x8, #0x2400000000
0xfffffff0080da968: 6802088b  add	x8, x19, x8
0xfffffff0080da96c: 08fd65d3  lsr	x8, x8, #0x25
0xfffffff0080da970: 880000b5  cbnz	x8, #0xfffffff0080da980
0xfffffff0080da974: a8c4ff90  adrp	x8, #0xfffffff00796e000
0xfffffff0080da978: 084540f9  ldr	x8, [x8, #0x88]
0xfffffff0080da97c: 1301138b  add	x19, x8, x19
0xfffffff0080da980: e87cff90  adrp	x8, #0xfffffff007076000
0xfffffff0080da984: 08d53991  add	x8, x8, #0xe75
0xfffffff0080da988: e84f00a9  stp	x8, x19, [sp]
0xfffffff0080da98c: 8079ffd0  adrp	x0, #0xfffffff00700c000
0xfffffff0080da990: 00000091  add	x0, x0, #0
0xfffffff0080da994: 037ffff0  adrp	x3, #0xfffffff0070bd000
0xfffffff0080da998: 63082b91  add	x3, x3, #0xac2
0xfffffff0080da99c: 22008052  mov	w2, #1
0xfffffff0080da9a0: e4610994  bl	#0xfffffff008333130
0xfffffff0080da9a4: 4cfcff17  b	#0xfffffff0080d9ad4
0xfffffff0080da9a8: e00313aa  mov	x0, x19
0xfffffff0080da9ac: 4e010094  bl	#0xfffffff0080daee4
0xfffffff0080da9b0: 49fcff17  b	#0xfffffff0080d9ad4
0xfffffff0080da9b4: e07cffb0  adrp	x0, #0xfffffff007077000
0xfffffff0080da9b8: 00cc3691  add	x0, x0, #0xdb3
0xfffffff0080da9bc: e17cffb0  adrp	x1, #0xfffffff007077000
0xfffffff0080da9c0: 214c3791  add	x1, x1, #0xdd3
0xfffffff0080da9c4: e2088052  mov	w2, #0x47
0xfffffff0080da9c8: 93130f94  bl	#0xfffffff00849f814
0xfffffff0080da9cc: 200df297  bl	#0xfffffff007d5de4c
0xfffffff0080da9d0: e07cff90  adrp	x0, #0xfffffff007076000
0xfffffff0080da9d4: 00242191  add	x0, x0, #0x849
0xfffffff0080da9d8: e17cff90  adrp	x1, #0xfffffff007076000
0xfffffff0080da9dc: 21bc1e91  add	x1, x1, #0x7af
0xfffffff0080da9e0: e26a8052  mov	w2, #0x357
0xfffffff0080da9e4: 8c130f94  bl	#0xfffffff00849f814
0xfffffff0080da9e8: 9f2403d5  bti	j
0xfffffff0080da9ec: e9478052  mov	w9, #0x23f
0xfffffff0080da9f0: ea7cff90  adrp	x10, #0xfffffff007076000
0xfffffff0080da9f4: 4a052391  add	x10, x10, #0x8c1
0xfffffff0080da9f8: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff0080da9fc: e80300f9  str	x8, [sp]
0xfffffff0080daa00: e07cff90  adrp	x0, #0xfffffff007076000
0xfffffff0080daa04: 00403991  add	x0, x0, #0xe50
0xfffffff0080daa08: c1e60e94  bl	#0xfffffff00849450c
0xfffffff0080daa0c: 0c000000  udf	#0xc
0xfffffff0080daa10: 28000000  udf	#0x28
0xfffffff0080daa14: 60000000  udf	#0x60
0xfffffff0080daa18: 98000000  udf	#0x98
0xfffffff0080daa1c: d0000000  udf	#0xd0
0xfffffff0080daa20: 50040000  udf	#0x450
0xfffffff0080daa24: 50040000  udf	#0x450
0xfffffff0080daa28: 50040000  udf	#0x450
0xfffffff0080daa2c: e4000000  udf	#0xe4
0xfffffff0080daa30: 7f2303d5  pacibsp	
