; Candidate 4720
; ADRP+ADD at VM 0xfffffff0087c3c4c (fileoff 0x17bfc4c): page=0x1fe96e000 add_imm=0xd90

0xfffffff0087c3bcc: 9f000014  b	#0xfffffff0087c3e48
0xfffffff0087c3bd0: a9d38252  mov	w9, #0x169d
0xfffffff0087c3bd4: 684cffb0  adrp	x8, #0xfffffff007150000
0xfffffff0087c3bd8: 08310c91  add	x8, x8, #0x30c
0xfffffff0087c3bdc: e82700a9  stp	x8, x9, [sp]
0xfffffff0087c3be0: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c3be4: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3be8: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c3bec: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c3bf0: 434cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087c3bf4: 63f40d91  add	x3, x3, #0x37d
0xfffffff0087c3bf8: 02008052  mov	w2, #0
0xfffffff0087c3bfc: 4dbded97  bl	#0xfffffff008333130
0xfffffff0087c3c00: 91000014  b	#0xfffffff0087c3e44
0xfffffff0087c3c04: e84cff90  adrp	x8, #0xfffffff00715f000
0xfffffff0087c3c08: 08810491  add	x8, x8, #0x120
0xfffffff0087c3c0c: e80300a9  stp	x8, x0, [sp]
0xfffffff0087c3c10: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c3c14: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3c18: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c3c1c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c3c20: 434cfff0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c3c24: 63c40291  add	x3, x3, #0xb1
0xfffffff0087c3c28: 02008052  mov	w2, #0
0xfffffff0087c3c2c: 41bded97  bl	#0xfffffff008333130
0xfffffff0087c3c30: 79000014  b	#0xfffffff0087c3e14
0xfffffff0087c3c34: c8948752  mov	w8, #0x3ca6
0xfffffff0087c3c38: 686a6838  ldrb	w8, [x19, x8]
0xfffffff0087c3c3c: c80e0036  tbz	w8, #0, #0xfffffff0087c3e14
0xfffffff0087c3c40: e84cff90  adrp	x8, #0xfffffff00715f000
0xfffffff0087c3c44: 08810491  add	x8, x8, #0x120
0xfffffff0087c3c48: e80300a9  stp	x8, x0, [sp]
0xfffffff0087c3c4c: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c3c50: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3c54: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c3c58: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c3c5c: 434cfff0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c3c60: 635c0391  add	x3, x3, #0xd7
0xfffffff0087c3c64: 02008052  mov	w2, #0
0xfffffff0087c3c68: 32bded97  bl	#0xfffffff008333130
0xfffffff0087c3c6c: 6a000014  b	#0xfffffff0087c3e14
0xfffffff0087c3c70: e9cf8252  mov	w9, #0x167f
0xfffffff0087c3c74: 684cffb0  adrp	x8, #0xfffffff007150000
0xfffffff0087c3c78: 08310c91  add	x8, x8, #0x30c
0xfffffff0087c3c7c: e82700a9  stp	x8, x9, [sp]
0xfffffff0087c3c80: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c3c84: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3c88: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c3c8c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c3c90: 434cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087c3c94: 63680c91  add	x3, x3, #0x31a
0xfffffff0087c3c98: 02008052  mov	w2, #0
0xfffffff0087c3c9c: 25bded97  bl	#0xfffffff008333130
0xfffffff0087c3ca0: 69000014  b	#0xfffffff0087c3e44
0xfffffff0087c3ca4: e9bb8252  mov	w9, #0x15df
0xfffffff0087c3ca8: 684cffb0  adrp	x8, #0xfffffff007150000
0xfffffff0087c3cac: 08310c91  add	x8, x8, #0x30c
0xfffffff0087c3cb0: e82700a9  stp	x8, x9, [sp]
0xfffffff0087c3cb4: 604bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087c3cb8: 00403691  add	x0, x0, #0xd90
0xfffffff0087c3cbc: c191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c3cc0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c3cc4: 434cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087c3cc8: 63300791  add	x3, x3, #0x1cc
