; Candidate 818
; ADRP+ADD at VM 0xfffffff0080c9d94 (fileoff 0x10c5d94): page=0x1fefc2000 add_imm=0xd5e

0xfffffff0080c9d14: 0001148b  add	x0, x8, x20
0xfffffff0080c9d18: e82340f9  ldr	x8, [sp, #0x40]
0xfffffff0080c9d1c: 010940f9  ldr	x1, [x8, #0x10]
0xfffffff0080c9d20: 021980b9  ldrsw	x2, [x8, #0x18]
0xfffffff0080c9d24: 1b0bf297  bl	#0xfffffff007d4c990
0xfffffff0080c9d28: e02340f9  ldr	x0, [sp, #0x40]
0xfffffff0080c9d2c: e2430594  bl	#0xfffffff00821acb4
0xfffffff0080c9d30: e0ffffb5  cbnz	x0, #0xfffffff0080c9d2c
0xfffffff0080c9d34: 9c070091  add	x28, x28, #1
0xfffffff0080c9d38: e00318aa  mov	x0, x24
0xfffffff0080c9d3c: 21008052  mov	w1, #1
0xfffffff0080c9d40: 020080d2  mov	x2, #0
0xfffffff0080c9d44: a0faff97  bl	#0xfffffff0080c87c4
0xfffffff0080c9d48: 30ffff17  b	#0xfffffff0080c9a08
0xfffffff0080c9d4c: e13340f9  ldr	x1, [sp, #0x60]
0xfffffff0080c9d50: 02008052  mov	w2, #0
0xfffffff0080c9d54: 6987f397  bl	#0xfffffff007dabaf8
0xfffffff0080c9d58: eb3340f9  ldr	x11, [sp, #0x60]
0xfffffff0080c9d5c: 8dfeff17  b	#0xfffffff0080c9790
0xfffffff0080c9d60: 600a01d0  adrp	x0, #0xfffffff00a217000
0xfffffff0080c9d64: 00a00291  add	x0, x0, #0xa8
0xfffffff0080c9d68: 3092f397  bl	#0xfffffff007dae628
0xfffffff0080c9d6c: 7c0200b9  str	w28, [x19]
0xfffffff0080c9d70: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff0080c9d74: f44f4ca9  ldp	x20, x19, [sp, #0xc0]
0xfffffff0080c9d78: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff0080c9d7c: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff0080c9d80: fa6749a9  ldp	x26, x25, [sp, #0x90]
0xfffffff0080c9d84: fc6f48a9  ldp	x28, x27, [sp, #0x80]
0xfffffff0080c9d88: e923476d  ldp	d9, d8, [sp, #0x70]
0xfffffff0080c9d8c: ff830391  add	sp, sp, #0xe0
0xfffffff0080c9d90: ff0f5fd6  retab	
0xfffffff0080c9d94: 007effd0  adrp	x0, #0xfffffff00708b000
0xfffffff0080c9d98: 00783591  add	x0, x0, #0xd5e
0xfffffff0080c9d9c: 617dff90  adrp	x1, #0xfffffff007075000
0xfffffff0080c9da0: 21d82991  add	x1, x1, #0xa76
0xfffffff0080c9da4: a2468152  mov	w2, #0xa35
0xfffffff0080c9da8: 9b560f94  bl	#0xfffffff00849f814
0xfffffff0080c9dac: 607dff90  adrp	x0, #0xfffffff007075000
0xfffffff0080c9db0: 00b83191  add	x0, x0, #0xc6e
0xfffffff0080c9db4: 617dff90  adrp	x1, #0xfffffff007075000
0xfffffff0080c9db8: 21d82991  add	x1, x1, #0xa76
0xfffffff0080c9dbc: 027b8152  mov	w2, #0xbd8
0xfffffff0080c9dc0: 95560f94  bl	#0xfffffff00849f814
0xfffffff0080c9dc4: e00318aa  mov	x0, x24
0xfffffff0080c9dc8: e2670594  bl	#0xfffffff008223d50
0xfffffff0080c9dcc: a8438152  mov	w8, #0xa1d
0xfffffff0080c9dd0: 697dff90  adrp	x9, #0xfffffff007075000
0xfffffff0080c9dd4: 29d12b91  add	x9, x9, #0xaf4
0xfffffff0080c9dd8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0080c9ddc: e80b01b0  adrp	x8, #0xfffffff00a246000
0xfffffff0080c9de0: 08210e91  add	x8, x8, #0x388
0xfffffff0080c9de4: 697dff90  adrp	x9, #0xfffffff007075000
0xfffffff0080c9de8: 29a53091  add	x9, x9, #0xc29
0xfffffff0080c9dec: 0c000014  b	#0xfffffff0080c9e1c
0xfffffff0080c9df0: 01000014  b	#0xfffffff0080c9df4
0xfffffff0080c9df4: e00318aa  mov	x0, x24
0xfffffff0080c9df8: d6670594  bl	#0xfffffff008223d50
0xfffffff0080c9dfc: 48478152  mov	w8, #0xa3a
0xfffffff0080c9e00: 697dff90  adrp	x9, #0xfffffff007075000
0xfffffff0080c9e04: 29d12b91  add	x9, x9, #0xaf4
0xfffffff0080c9e08: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0080c9e0c: e80b01b0  adrp	x8, #0xfffffff00a246000
0xfffffff0080c9e10: 08210e91  add	x8, x8, #0x388
