; Candidate 2381
; ADRP+ADD at VM 0xfffffff00863f568 (fileoff 0x163b568): page=0x1fead1000 add_imm=0xe13

0xfffffff00863f4e8: 0800bc52  mov	w8, #-0x20000000
0xfffffff00863f4ec: 8802080b  add	w8, w20, w8
0xfffffff00863f4f0: 897e1813  asr	w9, w20, #0x18
0xfffffff00863f4f4: 087d1853  lsr	w8, w8, #0x18
0xfffffff00863f4f8: 1f7d0171  cmp	w8, #0x5f
0xfffffff00863f4fc: 08048052  mov	w8, #0x20
0xfffffff00863f500: 2931881a  csel	w9, w9, w8, lo
0xfffffff00863f504: 8a5e1853  lsl	w10, w20, #8
0xfffffff00863f508: 4a1d0812  and	w10, w10, #0xff000000
0xfffffff00863f50c: 0be0af52  mov	w11, #0x7f000000
0xfffffff00863f510: 5f010b6b  cmp	w10, w11
0xfffffff00863f514: 2c008052  mov	w12, #1
0xfffffff00863f518: 0ce0a372  movk	w12, #0x1f00, lsl #16
0xfffffff00863f51c: 48114c7a  ccmp	w10, w12, #8, ne
0xfffffff00863f520: 4a7d1813  asr	w10, w10, #0x18
0xfffffff00863f524: 0ab18a1a  csel	w10, w8, w10, lt
0xfffffff00863f528: 8d3e1053  lsl	w13, w20, #0x10
0xfffffff00863f52c: ad1d0812  and	w13, w13, #0xff000000
0xfffffff00863f530: bf010b6b  cmp	w13, w11
0xfffffff00863f534: a8114c7a  ccmp	w13, w12, #8, ne
0xfffffff00863f538: ad7d1813  asr	w13, w13, #0x18
0xfffffff00863f53c: 0db18d1a  csel	w13, w8, w13, lt
0xfffffff00863f540: 8e1e0853  lsl	w14, w20, #0x18
0xfffffff00863f544: df010b6b  cmp	w14, w11
0xfffffff00863f548: c8114c7a  ccmp	w14, w12, #8, ne
0xfffffff00863f54c: 8b1e0013  sxtb	w11, w20
0xfffffff00863f550: 08b18b1a  csel	w8, w8, w11, lt
0xfffffff00863f554: f35703a9  stp	x19, x21, [sp, #0x30]
0xfffffff00863f558: ab56ffb0  adrp	x11, #0xfffffff007114000
0xfffffff00863f55c: 6b2d2091  add	x11, x11, #0x80b
0xfffffff00863f560: eb6700a9  stp	x11, x25, [sp]
0xfffffff00863f564: ed2302a9  stp	x13, x8, [sp, #0x20]
0xfffffff00863f568: 8056ffb0  adrp	x0, #0xfffffff007110000
0xfffffff00863f56c: 004c3891  add	x0, x0, #0xe13
0xfffffff00863f570: e92b01a9  stp	x9, x10, [sp, #0x10]
0xfffffff00863f574: 75f4ff97  bl	#0xfffffff00863c748
0xfffffff00863f578: e00315aa  mov	x0, x21
0xfffffff00863f57c: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff00863f580: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff00863f584: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff00863f588: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff00863f58c: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff00863f590: ff430291  add	sp, sp, #0x90
0xfffffff00863f594: ff0f5fd6  retab	
0xfffffff00863f598: 7f2303d5  pacibsp	
0xfffffff00863f59c: ff8301d1  sub	sp, sp, #0x60
0xfffffff00863f5a0: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00863f5a4: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00863f5a8: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00863f5ac: fd430191  add	x29, sp, #0x50
0xfffffff00863f5b0: f30302aa  mov	x19, x2
0xfffffff00863f5b4: f50301aa  mov	x21, x1
0xfffffff00863f5b8: 145040f9  ldr	x20, [x0, #0xa0]
0xfffffff00863f5bc: 100040f9  ldr	x16, [x0]
0xfffffff00863f5c0: f10300aa  mov	x17, x0
0xfffffff00863f5c4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00863f5c8: 301ac1da  autda	x16, x17
0xfffffff00863f5cc: 11c780d2  mov	x17, #0x638
0xfffffff00863f5d0: 1002118b  add	x16, x16, x17
0xfffffff00863f5d4: 080240f9  ldr	x8, [x16]
0xfffffff00863f5d8: e90310aa  mov	x9, x16
0xfffffff00863f5dc: f00308aa  mov	x16, x8
0xfffffff00863f5e0: f10309aa  mov	x17, x9
0xfffffff00863f5e4: 9179fdf2  movk	x17, #0xebcc, lsl #48
