; Candidate 7359
; ADRP+ADD at VM 0xfffffff008869cbc (fileoff 0x1865cbc): page=0x1fe980000 add_imm=0xe80

0xfffffff008869c3c: fc6f05a9  stp	x28, x27, [sp, #0x50]
0xfffffff008869c40: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff008869c44: f42304a9  stp	x20, x8, [sp, #0x40]
0xfffffff008869c48: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff008869c4c: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff008869c50: 88c68052  mov	w8, #0x634
0xfffffff008869c54: 094eff90  adrp	x9, #0xfffffff007229000
0xfffffff008869c58: 29592791  add	x9, x9, #0x9d6
0xfffffff008869c5c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008869c60: e84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff008869c64: 08811191  add	x8, x8, #0x460
0xfffffff008869c68: f62301a9  stp	x22, x8, [sp, #0x10]
0xfffffff008869c6c: 680c8052  mov	w8, #0x63
0xfffffff008869c70: 004eff90  adrp	x0, #0xfffffff007229000
0xfffffff008869c74: 00782791  add	x0, x0, #0x9de
0xfffffff008869c78: f52300a9  stp	x21, x8, [sp]
0xfffffff008869c7c: f935d597  bl	#0xfffffff007db7460
0xfffffff008869c80: 7f000014  b	#0xfffffff008869e7c
0xfffffff008869c84: 4a290194  bl	#0xfffffff0088b41ac
0xfffffff008869c88: f50300aa  mov	x21, x0
0xfffffff008869c8c: c0008052  mov	w0, #6
0xfffffff008869c90: f0460094  bl	#0xfffffff00887b850
0xfffffff008869c94: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008869c98: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff008869c9c: 084eff90  adrp	x8, #0xfffffff007229000
0xfffffff008869ca0: 08592791  add	x8, x8, #0x9d6
0xfffffff008869ca4: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008869ca8: e84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff008869cac: 08811191  add	x8, x8, #0x460
0xfffffff008869cb0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008869cb4: 680c8052  mov	w8, #0x63
0xfffffff008869cb8: f52300a9  stp	x21, x8, [sp]
0xfffffff008869cbc: 004cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008869cc0: 00003a91  add	x0, x0, #0xe80
0xfffffff008869cc4: e18cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008869cc8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008869ccc: 634fffd0  adrp	x3, #0xfffffff007257000
0xfffffff008869cd0: 63242291  add	x3, x3, #0x889
0xfffffff008869cd4: 02008052  mov	w2, #0
0xfffffff008869cd8: 1625eb97  bl	#0xfffffff008333130
0xfffffff008869cdc: f4f4ffb5  cbnz	x20, #0xfffffff008869b78
0xfffffff008869ce0: 600c8052  mov	w0, #0x63
0xfffffff008869ce4: 81008052  mov	w1, #4
0xfffffff008869ce8: ba460094  bl	#0xfffffff00887b7d0
0xfffffff008869cec: 60110034  cbz	w0, #0xfffffff008869f18
0xfffffff008869cf0: 600c8052  mov	w0, #0x63
0xfffffff008869cf4: c9460094  bl	#0xfffffff00887b818
0xfffffff008869cf8: f60300aa  mov	x22, x0
0xfffffff008869cfc: 2c290194  bl	#0xfffffff0088b41ac
0xfffffff008869d00: f50300aa  mov	x21, x0
0xfffffff008869d04: 80008052  mov	w0, #4
0xfffffff008869d08: d2460094  bl	#0xfffffff00887b850
0xfffffff008869d0c: 360d0034  cbz	w22, #0xfffffff008869eb0
0xfffffff008869d10: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008869d14: 694dff90  adrp	x9, #0xfffffff007215000
0xfffffff008869d18: 29691591  add	x9, x9, #0x55a
0xfffffff008869d1c: e87f04a9  stp	x8, xzr, [sp, #0x40]
0xfffffff008869d20: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff008869d24: a8c58052  mov	w8, #0x62d
0xfffffff008869d28: 094eff90  adrp	x9, #0xfffffff007229000
0xfffffff008869d2c: 29592791  add	x9, x9, #0x9d6
0xfffffff008869d30: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008869d34: e84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff008869d38: 08811191  add	x8, x8, #0x460
