; Candidate 5858
; ADRP+ADD at VM 0xfffffff008809150 (fileoff 0x1805150): page=0x1fe9e0000 add_imm=0xe80

0xfffffff0088090d0: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088090d4: 8850ffb0  adrp	x8, #0xfffffff00721a000
0xfffffff0088090d8: 08fd2391  add	x8, x8, #0x8ff
0xfffffff0088090dc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088090e0: 880e8052  mov	w8, #0x74
0xfffffff0088090e4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088090e8: f40300f9  str	x20, [sp]
0xfffffff0088090ec: 004fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088090f0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088090f4: e18ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088090f8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088090fc: e351ff90  adrp	x3, #0xfffffff007245000
0xfffffff008809100: 63682b91  add	x3, x3, #0xada
0xfffffff008809104: 02008052  mov	w2, #0
0xfffffff008809108: 0aa8ec97  bl	#0xfffffff008333130
0xfffffff00880910c: ddffff17  b	#0xfffffff008809080
0xfffffff008809110: 27ac0294  bl	#0xfffffff0088b41ac
0xfffffff008809114: f40300aa  mov	x20, x0
0xfffffff008809118: 80008052  mov	w0, #4
0xfffffff00880911c: cdc90194  bl	#0xfffffff00887b850
0xfffffff008809120: 167d8012  mov	w22, #-0x3e9
0xfffffff008809124: f85b04a9  stp	x24, x22, [sp, #0x40]
0xfffffff008809128: f36b03a9  stp	x19, x26, [sp, #0x30]
0xfffffff00880912c: 8850ffb0  adrp	x8, #0xfffffff00721a000
0xfffffff008809130: 087d2991  add	x8, x8, #0xa5f
0xfffffff008809134: a97a8052  mov	w9, #0x3d5
0xfffffff008809138: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00880913c: 8850ffb0  adrp	x8, #0xfffffff00721a000
0xfffffff008809140: 08fd2391  add	x8, x8, #0x8ff
0xfffffff008809144: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008809148: 880e8052  mov	w8, #0x74
0xfffffff00880914c: f42300a9  stp	x20, x8, [sp]
0xfffffff008809150: 004fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008809154: 00003a91  add	x0, x0, #0xe80
0xfffffff008809158: e18ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff00880915c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008809160: e351ff90  adrp	x3, #0xfffffff007245000
0xfffffff008809164: 63002d91  add	x3, x3, #0xb40
0xfffffff008809168: 02008052  mov	w2, #0
0xfffffff00880916c: f1a7ec97  bl	#0xfffffff008333130
0xfffffff008809170: c4ffff17  b	#0xfffffff008809080
0xfffffff008809174: 0eac0294  bl	#0xfffffff0088b41ac
0xfffffff008809178: f40300aa  mov	x20, x0
0xfffffff00880917c: 80008052  mov	w0, #4
0xfffffff008809180: b4c90194  bl	#0xfffffff00887b850
0xfffffff008809184: 167d8012  mov	w22, #-0x3e9
0xfffffff008809188: f85b04a9  stp	x24, x22, [sp, #0x40]
0xfffffff00880918c: f36b03a9  stp	x19, x26, [sp, #0x30]
0xfffffff008809190: 8850ffb0  adrp	x8, #0xfffffff00721a000
0xfffffff008809194: 08452b91  add	x8, x8, #0xad1
0xfffffff008809198: 697d8052  mov	w9, #0x3eb
0xfffffff00880919c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088091a0: 8850ffb0  adrp	x8, #0xfffffff00721a000
0xfffffff0088091a4: 08fd2391  add	x8, x8, #0x8ff
0xfffffff0088091a8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088091ac: 880e8052  mov	w8, #0x74
0xfffffff0088091b0: f42300a9  stp	x20, x8, [sp]
0xfffffff0088091b4: 004fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088091b8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088091bc: e18ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088091c0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088091c4: e351ff90  adrp	x3, #0xfffffff007245000
0xfffffff0088091c8: 63d82d91  add	x3, x3, #0xb76
0xfffffff0088091cc: 02008052  mov	w2, #0
