; Candidate 16075
; ADRP+ADD at VM 0xfffffff009e12500 (fileoff 0x2e0e500): page=0x1fd891000 add_imm=0xe00

0xfffffff009e12480: 63d0feb0  adrp	x3, #0xfffffff00781f000
0xfffffff009e12484: 63743f91  add	x3, x3, #0xfdd
0xfffffff009e12488: 02008052  mov	w2, #0
0xfffffff009e1248c: 29839497  bl	#0xfffffff008333130
0xfffffff009e12490: 39000014  b	#0xfffffff009e12574
0xfffffff009e12494: e01b40f9  ldr	x0, [sp, #0x30]
0xfffffff009e12498: a2dc8397  bl	#0xfffffff007f09720
0xfffffff009e1249c: 8882f538  swpalb	w21, w8, [x20]
0xfffffff009e124a0: a8060037  tbnz	w8, #0, #0xfffffff009e12574
0xfffffff009e124a4: 602d00b0  adrp	x0, #0xfffffff00a3bf000
0xfffffff009e124a8: 00201b91  add	x0, x0, #0x6c8
0xfffffff009e124ac: 88657e97  bl	#0xfffffff007dabacc
0xfffffff009e124b0: ff1b00f9  str	xzr, [sp, #0x30]
0xfffffff009e124b4: e00313aa  mov	x0, x19
0xfffffff009e124b8: 21028052  mov	w1, #0x11
0xfffffff009e124bc: b35d0094  bl	#0xfffffff009e29b88
0xfffffff009e124c0: 000500b4  cbz	x0, #0xfffffff009e12560
0xfffffff009e124c4: f40300aa  mov	x20, x0
0xfffffff009e124c8: e1c30091  add	x1, sp, #0x30
0xfffffff009e124cc: e20313aa  mov	x2, x19
0xfffffff009e124d0: 8c5e0094  bl	#0xfffffff009e29f00
0xfffffff009e124d4: 80020036  tbz	w0, #0, #0xfffffff009e12524
0xfffffff009e124d8: f61b40f9  ldr	x22, [sp, #0x30]
0xfffffff009e124dc: b60300b4  cbz	x22, #0xfffffff009e12550
0xfffffff009e124e0: 0800b052  mov	w8, #-0xffffffff80000000
0xfffffff009e124e4: df0208eb  cmp	x22, x8
0xfffffff009e124e8: 6b050054  b.lt	#0xfffffff009e12594
0xfffffff009e124ec: 0800b012  mov	w8, #0x7fffffff
0xfffffff009e124f0: f6a300a9  stp	x22, x8, [sp, #8]
0xfffffff009e124f4: 68d0fe90  adrp	x8, #0xfffffff00781e000
0xfffffff009e124f8: 08c93391  add	x8, x8, #0xcf2
0xfffffff009e124fc: e80300f9  str	x8, [sp]
0xfffffff009e12500: 80c4feb0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e12504: 00003891  add	x0, x0, #0xe00
0xfffffff009e12508: a1f8fef0  adrp	x1, #0xfffffff007d29000
0xfffffff009e1250c: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e12510: 63d0fed0  adrp	x3, #0xfffffff007820000
0xfffffff009e12514: 63e03891  add	x3, x3, #0xe38
0xfffffff009e12518: 02008052  mov	w2, #0
0xfffffff009e1251c: 05839497  bl	#0xfffffff008333130
0xfffffff009e12520: 0c000014  b	#0xfffffff009e12550
0xfffffff009e12524: 68d0fe90  adrp	x8, #0xfffffff00781e000
0xfffffff009e12528: 08c93391  add	x8, x8, #0xcf2
0xfffffff009e1252c: e80300f9  str	x8, [sp]
0xfffffff009e12530: 80c4feb0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e12534: 00003891  add	x0, x0, #0xe00
0xfffffff009e12538: a1f8fef0  adrp	x1, #0xfffffff007d29000
0xfffffff009e1253c: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e12540: 63d0fed0  adrp	x3, #0xfffffff007820000
0xfffffff009e12544: 63983891  add	x3, x3, #0xe26
0xfffffff009e12548: 02008052  mov	w2, #0
0xfffffff009e1254c: f9829497  bl	#0xfffffff008333130
0xfffffff009e12550: e00314aa  mov	x0, x20
0xfffffff009e12554: 21008052  mov	w1, #1
0xfffffff009e12558: e20313aa  mov	x2, x19
0xfffffff009e1255c: 59fc8397  bl	#0xfffffff007f116c0
0xfffffff009e12560: 000080d2  mov	x0, #0
0xfffffff009e12564: 070a0094  bl	#0xfffffff009e14d80
0xfffffff009e12568: 602d00b0  adrp	x0, #0xfffffff00a3bf000
0xfffffff009e1256c: 00201b91  add	x0, x0, #0x6c8
0xfffffff009e12570: 73687e97  bl	#0xfffffff007dac73c
0xfffffff009e12574: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff009e12578: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff009e1257c: f65747a9  ldp	x22, x21, [sp, #0x70]
