; Candidate 12375
; ADRP+ADD at VM 0xfffffff0090970f0 (fileoff 0x20930f0): page=0x1fe3c8000 add_imm=0xce1

0xfffffff009097070: 571eff90  adrp	x23, #0xfffffff00745f000
0xfffffff009097074: f7123391  add	x23, x23, #0xcc4
0xfffffff009097078: 381effd0  adrp	x24, #0xfffffff00745d000
0xfffffff00909707c: 18433c91  add	x24, x24, #0xf10
0xfffffff009097080: 1f290071  cmp	w8, #0xa
0xfffffff009097084: a8000054  b.hi	#0xfffffff009097098
0xfffffff009097088: f85f00a9  stp	x24, x23, [sp]
0xfffffff00909708c: 001effd0  adrp	x0, #0xfffffff007459000
0xfffffff009097090: 00583191  add	x0, x0, #0xc56
0xfffffff009097094: e3ffca97  bl	#0xfffffff008357020
0xfffffff009097098: ff1f00f9  str	xzr, [sp, #0x38]
0xfffffff00909709c: e2e30091  add	x2, sp, #0x38
0xfffffff0090970a0: e00315aa  mov	x0, x21
0xfffffff0090970a4: e10314aa  mov	x1, x20
0xfffffff0090970a8: 8fffff97  bl	#0xfffffff009096ee4
0xfffffff0090970ac: 00070035  cbnz	w0, #0xfffffff00909718c
0xfffffff0090970b0: e11f40f9  ldr	x1, [sp, #0x38]
0xfffffff0090970b4: e00316aa  mov	x0, x22
0xfffffff0090970b8: e9600094  bl	#0xfffffff0090af45c
0xfffffff0090970bc: f30300aa  mov	x19, x0
0xfffffff0090970c0: e0030034  cbz	w0, #0xfffffff00909713c
0xfffffff0090970c4: 28034039  ldrb	w8, [x25]
0xfffffff0090970c8: 1f190171  cmp	w8, #0x46
0xfffffff0090970cc: 88030054  b.hi	#0xfffffff00909713c
0xfffffff0090970d0: e00314aa  mov	x0, x20
0xfffffff0090970d4: 4effff97  bl	#0xfffffff009096e0c
0xfffffff0090970d8: f60300aa  mov	x22, x0
0xfffffff0090970dc: e00315aa  mov	x0, x21
0xfffffff0090970e0: dafeff97  bl	#0xfffffff009096c48
0xfffffff0090970e4: e05702a9  stp	x0, x21, [sp, #0x20]
0xfffffff0090970e8: f65301a9  stp	x22, x20, [sp, #0x10]
0xfffffff0090970ec: f85f00a9  stp	x24, x23, [sp]
0xfffffff0090970f0: 401eff90  adrp	x0, #0xfffffff00745f000
0xfffffff0090970f4: 00843391  add	x0, x0, #0xce1
0xfffffff0090970f8: caffca97  bl	#0xfffffff008357020
0xfffffff0090970fc: a81f8052  mov	w8, #0xfd
0xfffffff009097100: 697e4093  sxtw	x9, w19
0xfffffff009097104: 4a1eff90  adrp	x10, #0xfffffff00745f000
0xfffffff009097108: 4acd3091  add	x10, x10, #0xc33
0xfffffff00909710c: eaa301a9  stp	x10, x8, [sp, #0x18]
0xfffffff009097110: 081effd0  adrp	x8, #0xfffffff007459000
0xfffffff009097114: 08b92d91  add	x8, x8, #0xb6e
0xfffffff009097118: 0b1efff0  adrp	x11, #0xfffffff00745a000
0xfffffff00909711c: 6b290291  add	x11, x11, #0x8a
0xfffffff009097120: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009097124: eb0300f9  str	x11, [sp]
0xfffffff009097128: 001effd0  adrp	x0, #0xfffffff007459000
0xfffffff00909712c: 00d42c91  add	x0, x0, #0xb35
0xfffffff009097130: bcffca97  bl	#0xfffffff008357020
0xfffffff009097134: c8088052  mov	w8, #0x46
0xfffffff009097138: 03000014  b	#0xfffffff009097144
0xfffffff00909713c: 13feff35  cbnz	w19, #0xfffffff0090970fc
0xfffffff009097140: 48018052  mov	w8, #0xa
0xfffffff009097144: 29034039  ldrb	w9, [x25]
0xfffffff009097148: 1f01096b  cmp	w8, w9
0xfffffff00909714c: 03010054  b.lo	#0xfffffff00909716c
0xfffffff009097150: e80313aa  mov	x8, x19
0xfffffff009097154: 087d4093  sxtw	x8, w8
0xfffffff009097158: f85f00a9  stp	x24, x23, [sp]
0xfffffff00909715c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009097160: 001effd0  adrp	x0, #0xfffffff007459000
0xfffffff009097164: 00903891  add	x0, x0, #0xe24
0xfffffff009097168: aeffca97  bl	#0xfffffff008357020
0xfffffff00909716c: e00313aa  mov	x0, x19
