; Candidate 1179
; ADRP+ADD at VM 0xfffffff00827a9d8 (fileoff 0x12769d8): page=0x1fee15000 add_imm=0xd86

0xfffffff00827a958: 0800e8f2  movk	x8, #0x4000, lsl #48
0xfffffff00827a95c: 0b2040b9  ldr	w11, [x0, #0x20]
0xfffffff00827a960: 0a2440b9  ldr	w10, [x0, #0x24]
0xfffffff00827a964: 200140b9  ldr	w0, [x9]
0xfffffff00827a968: 6c0e40b9  ldr	w12, [x19, #0xc]
0xfffffff00827a96c: 7f010c6b  cmp	w11, w12
0xfffffff00827a970: 42314c7a  ccmp	w10, w12, #2, lo
0xfffffff00827a974: e2030054  b.hs	#0xfffffff00827a9f0
0xfffffff00827a978: 5f010b6b  cmp	w10, w11
0xfffffff00827a97c: c2000054  b.hs	#0xfffffff00827a994
0xfffffff00827a980: 1f000b6b  cmp	w0, w11
0xfffffff00827a984: 00304a7a  ccmp	w0, w10, #0, lo
0xfffffff00827a988: c9000054  b.ls	#0xfffffff00827a9a0
0xfffffff00827a98c: 08050091  add	x8, x8, #1
0xfffffff00827a990: 0b000014  b	#0xfffffff00827a9bc
0xfffffff00827a994: 1f000b6b  cmp	w0, w11
0xfffffff00827a998: 02204a7a  ccmp	w0, w10, #2, hs
0xfffffff00827a99c: 08010054  b.hi	#0xfffffff00827a9bc
0xfffffff00827a9a0: 290540b9  ldr	w9, [x9, #4]
0xfffffff00827a9a4: 6a3240b9  ldr	w10, [x19, #0x30]
0xfffffff00827a9a8: 3f010a6b  cmp	w9, w10
0xfffffff00827a9ac: 61000054  b.ne	#0xfffffff00827a9b8
0xfffffff00827a9b0: 602e00b9  str	w0, [x19, #0x2c]
0xfffffff00827a9b4: 06000014  b	#0xfffffff00827a9cc
0xfffffff00827a9b8: 08150091  add	x8, x8, #5
0xfffffff00827a9bc: e00301aa  mov	x0, x1
0xfffffff00827a9c0: e10308aa  mov	x1, x8
0xfffffff00827a9c4: a6e7ff97  bl	#0xfffffff00827485c
0xfffffff00827a9c8: 600e40b9  ldr	w0, [x19, #0xc]
0xfffffff00827a9cc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00827a9d0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00827a9d4: ff0f5fd6  retab	
0xfffffff00827a9d8: a070ffb0  adrp	x0, #0xfffffff00708f000
0xfffffff00827a9dc: 00183691  add	x0, x0, #0xd86
0xfffffff00827a9e0: a170ffb0  adrp	x1, #0xfffffff00708f000
0xfffffff00827a9e4: 21743691  add	x1, x1, #0xd9d
0xfffffff00827a9e8: e2848052  mov	w2, #0x427
0xfffffff00827a9ec: 8a930894  bl	#0xfffffff00849f814
0xfffffff00827a9f0: 08057fb2  orr	x8, x8, #6
0xfffffff00827a9f4: f2ffff17  b	#0xfffffff00827a9bc
0xfffffff00827a9f8: 7f2303d5  pacibsp	
0xfffffff00827a9fc: ff4301d1  sub	sp, sp, #0x50
0xfffffff00827aa00: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff00827aa04: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff00827aa08: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff00827aa0c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff00827aa10: fd030191  add	x29, sp, #0x40
0xfffffff00827aa14: f50302aa  mov	x21, x2
0xfffffff00827aa18: f40301aa  mov	x20, x1
0xfffffff00827aa1c: 333c40f9  ldr	x19, [x1, #0x78]
0xfffffff00827aa20: 372840b9  ldr	w23, [x1, #0x28]
0xfffffff00827aa24: 5600176b  subs	w22, w2, w23
0xfffffff00827aa28: 64000054  b.mi	#0xfffffff00827aa34
0xfffffff00827aa2c: b6000035  cbnz	w22, #0xfffffff00827aa40
0xfffffff00827aa30: cf000014  b	#0xfffffff00827ad6c
0xfffffff00827aa34: 880e40b9  ldr	w8, [x20, #0xc]
0xfffffff00827aa38: 1601160b  add	w22, w8, w22
0xfffffff00827aa3c: 96190034  cbz	w22, #0xfffffff00827ad6c
0xfffffff00827aa40: f60f00b9  str	w22, [sp, #0xc]
0xfffffff00827aa44: 825640f9  ldr	x2, [x20, #0xa8]
0xfffffff00827aa48: e21b00b4  cbz	x2, #0xfffffff00827adc4
0xfffffff00827aa4c: 68524079  ldrh	w8, [x19, #0x28]
0xfffffff00827aa50: 1f050071  cmp	w8, #1
0xfffffff00827aa54: 80000054  b.eq	#0xfffffff00827aa64
