; Candidate 15433
; ADRP+ADD at VM 0xfffffff009b9b220 (fileoff 0x2b97220): page=0x1fda9c000 add_imm=0xd17

0xfffffff009b9b1a0: 113d80d2  mov	x17, #0x1e8
0xfffffff009b9b1a4: 1002118b  add	x16, x16, x17
0xfffffff009b9b1a8: 080240f9  ldr	x8, [x16]
0xfffffff009b9b1ac: e90310aa  mov	x9, x16
0xfffffff009b9b1b0: e00313aa  mov	x0, x19
0xfffffff009b9b1b4: 010080d2  mov	x1, #0
0xfffffff009b9b1b8: f10309aa  mov	x17, x9
0xfffffff009b9b1bc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b9b1c0: 11093fd7  blraa	x8, x17
0xfffffff009b9b1c4: f40300aa  mov	x20, x0
0xfffffff009b9b1c8: 700240f9  ldr	x16, [x19]
0xfffffff009b9b1cc: f10313aa  mov	x17, x19
0xfffffff009b9b1d0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b9b1d4: 301ac1da  autda	x16, x17
0xfffffff009b9b1d8: 114380d2  mov	x17, #0x218
0xfffffff009b9b1dc: 1002118b  add	x16, x16, x17
0xfffffff009b9b1e0: 080240f9  ldr	x8, [x16]
0xfffffff009b9b1e4: e90310aa  mov	x9, x16
0xfffffff009b9b1e8: e00313aa  mov	x0, x19
0xfffffff009b9b1ec: 010080d2  mov	x1, #0
0xfffffff009b9b1f0: f10309aa  mov	x17, x9
0xfffffff009b9b1f4: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b9b1f8: 11093fd7  blraa	x8, x17
0xfffffff009b9b1fc: c8d4fef0  adrp	x8, #0xfffffff007636000
0xfffffff009b9b200: 084d1e91  add	x8, x8, #0x793
0xfffffff009b9b204: e9d4fe90  adrp	x9, #0xfffffff007637000
0xfffffff009b9b208: 29f91d91  add	x9, x9, #0x77e
0xfffffff009b9b20c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b9b210: f40300a9  stp	x20, x0, [sp]
0xfffffff009b9b214: e0d4fe90  adrp	x0, #0xfffffff007637000
0xfffffff009b9b218: 00083191  add	x0, x0, #0xc42
0xfffffff009b9b21c: d1000014  b	#0xfffffff009b9b560
0xfffffff009b9b220: e0d4fe90  adrp	x0, #0xfffffff007637000
0xfffffff009b9b224: 005c3491  add	x0, x0, #0xd17
0xfffffff009b9b228: 5a389e97  bl	#0xfffffff008329390
0xfffffff009b9b22c: f60300aa  mov	x22, x0
0xfffffff009b9b230: 080aff90  adrp	x8, #0xfffffff007cdb000
0xfffffff009b9b234: 081945f9  ldr	x8, [x8, #0xa30]
0xfffffff009b9b238: 020140f9  ldr	x2, [x8]
0xfffffff009b9b23c: 700240f9  ldr	x16, [x19]
0xfffffff009b9b240: f10313aa  mov	x17, x19
0xfffffff009b9b244: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b9b248: 301ac1da  autda	x16, x17
0xfffffff009b9b24c: 112680d2  mov	x17, #0x130
0xfffffff009b9b250: 1002118b  add	x16, x16, x17
0xfffffff009b9b254: 080240f9  ldr	x8, [x16]
0xfffffff009b9b258: e90310aa  mov	x9, x16
0xfffffff009b9b25c: e1d4fe90  adrp	x1, #0xfffffff007637000
0xfffffff009b9b260: 21903491  add	x1, x1, #0xd24
0xfffffff009b9b264: e00313aa  mov	x0, x19
0xfffffff009b9b268: 63008052  mov	w3, #3
0xfffffff009b9b26c: f10309aa  mov	x17, x9
0xfffffff009b9b270: f141f4f2  movk	x17, #0xa20f, lsl #48
0xfffffff009b9b274: 11093fd7  blraa	x8, x17
0xfffffff009b9b278: 080aff90  adrp	x8, #0xfffffff007cdb000
0xfffffff009b9b27c: 08f544f9  ldr	x8, [x8, #0x9e8]
0xfffffff009b9b280: 010140f9  ldr	x1, [x8]
0xfffffff009b9b284: 9c229d97  bl	#0xfffffff0082e3cf4
0xfffffff009b9b288: 160b00b4  cbz	x22, #0xfffffff009b9b3e8
0xfffffff009b9b28c: e10300aa  mov	x1, x0
0xfffffff009b9b290: c00a00b4  cbz	x0, #0xfffffff009b9b3e8
0xfffffff009b9b294: e00316aa  mov	x0, x22
0xfffffff009b9b298: 020080d2  mov	x2, #0
0xfffffff009b9b29c: 41be9f97  bl	#0xfffffff00838aba0
