; Candidate 2397
; ADRP+ADD at VM 0xfffffff008646ee8 (fileoff 0x1642ee8): page=0x1feacd000 add_imm=0xe96

0xfffffff008646e68: 00b43b91  add	x0, x0, #0xeed
0xfffffff008646e6c: 85e5ff97  bl	#0xfffffff008640480
0xfffffff008646e70: 691a40f9  ldr	x9, [x19, #0x30]
0xfffffff008646e74: 280540b9  ldr	w8, [x9, #4]
0xfffffff008646e78: 1f01186b  cmp	w8, w24
0xfffffff008646e7c: c1030054  b.ne	#0xfffffff008646ef4
0xfffffff008646e80: 689cff90  adrp	x8, #0xfffffff0079d2000
0xfffffff008646e84: 080542f9  ldr	x8, [x8, #0x408]
0xfffffff008646e88: 098d48f8  ldr	x9, [x8, #0x88]!
0xfffffff008646e8c: e00313aa  mov	x0, x19
0xfffffff008646e90: e10316aa  mov	x1, x22
0xfffffff008646e94: e20315aa  mov	x2, x21
0xfffffff008646e98: e30314aa  mov	x3, x20
0xfffffff008646e9c: f10308aa  mov	x17, x8
0xfffffff008646ea0: 916afff2  movk	x17, #0xfb54, lsl #48
0xfffffff008646ea4: 31093fd7  blraa	x9, x17
0xfffffff008646ea8: 60030036  tbz	w0, #0, #0xfffffff008646f14
0xfffffff008646eac: 34008052  mov	w20, #1
0xfffffff008646eb0: 1e000014  b	#0xfffffff008646f28
0xfffffff008646eb4: f70300f9  str	x23, [sp]
0xfffffff008646eb8: 6056ffb0  adrp	x0, #0xfffffff007113000
0xfffffff008646ebc: 00803691  add	x0, x0, #0xda0
0xfffffff008646ec0: 14000014  b	#0xfffffff008646f10
0xfffffff008646ec4: f70300f9  str	x23, [sp]
0xfffffff008646ec8: 6056ffb0  adrp	x0, #0xfffffff007113000
0xfffffff008646ecc: 00c43791  add	x0, x0, #0xdf1
0xfffffff008646ed0: 10000014  b	#0xfffffff008646f10
0xfffffff008646ed4: f70300f9  str	x23, [sp]
0xfffffff008646ed8: 6056ffb0  adrp	x0, #0xfffffff007113000
0xfffffff008646edc: 00003991  add	x0, x0, #0xe40
0xfffffff008646ee0: 0c000014  b	#0xfffffff008646f10
0xfffffff008646ee4: f70300f9  str	x23, [sp]
0xfffffff008646ee8: 6056ffb0  adrp	x0, #0xfffffff007113000
0xfffffff008646eec: 00583a91  add	x0, x0, #0xe96
0xfffffff008646ef0: 08000014  b	#0xfffffff008646f10
0xfffffff008646ef4: 290140b9  ldr	w9, [x9]
0xfffffff008646ef8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008646efc: e8ca8052  mov	w8, #0x657
0xfffffff008646f00: e8e300a9  stp	x8, x24, [sp, #8]
0xfffffff008646f04: f70300f9  str	x23, [sp]
0xfffffff008646f08: 6056ffb0  adrp	x0, #0xfffffff007113000
0xfffffff008646f0c: 00d43d91  add	x0, x0, #0xf75
0xfffffff008646f10: 6de5ff97  bl	#0xfffffff0086404c4
0xfffffff008646f14: f70300f9  str	x23, [sp]
0xfffffff008646f18: 6056ffb0  adrp	x0, #0xfffffff007113000
0xfffffff008646f1c: 00943f91  add	x0, x0, #0xfe5
0xfffffff008646f20: 69e5ff97  bl	#0xfffffff0086404c4
0xfffffff008646f24: 14008052  mov	w20, #0
0xfffffff008646f28: 681640f9  ldr	x8, [x19, #0x28]
0xfffffff008646f2c: e903142a  mov	w9, w20
0xfffffff008646f30: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008646f34: 48cc8052  mov	w8, #0x662
0xfffffff008646f38: f72300a9  stp	x23, x8, [sp]
0xfffffff008646f3c: 6056ffd0  adrp	x0, #0xfffffff007114000
0xfffffff008646f40: 008c0091  add	x0, x0, #0x23
0xfffffff008646f44: 4fe5ff97  bl	#0xfffffff008640480
0xfffffff008646f48: e00314aa  mov	x0, x20
0xfffffff008646f4c: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008646f50: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008646f54: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008646f58: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008646f5c: ffc30191  add	sp, sp, #0x70
0xfffffff008646f60: ff0f5fd6  retab	
0xfffffff008646f64: 7f2303d5  pacibsp	
