; Candidate 13639
; ADRP+ADD at VM 0xfffffff0093b1198 (fileoff 0x23ad198): page=0x1fe151000 add_imm=0xd20

0xfffffff0093b1118: 01028052  mov	w1, #0x10
0xfffffff0093b111c: 74b8bd97  bl	#0xfffffff00831f2ec
0xfffffff0093b1120: f60300aa  mov	x22, x0
0xfffffff0093b1124: b00240f9  ldr	x16, [x21]
0xfffffff0093b1128: f10315aa  mov	x17, x21
0xfffffff0093b112c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093b1130: 301ac1da  autda	x16, x17
0xfffffff0093b1134: 112080d2  mov	x17, #0x100
0xfffffff0093b1138: 1002118b  add	x16, x16, x17
0xfffffff0093b113c: 080240f9  ldr	x8, [x16]
0xfffffff0093b1140: e90310aa  mov	x9, x16
0xfffffff0093b1144: 810afff0  adrp	x1, #0xfffffff007504000
0xfffffff0093b1148: 21a81091  add	x1, x1, #0x42a
0xfffffff0093b114c: e00315aa  mov	x0, x21
0xfffffff0093b1150: e20316aa  mov	x2, x22
0xfffffff0093b1154: f10309aa  mov	x17, x9
0xfffffff0093b1158: 7164f8f2  movk	x17, #0xc323, lsl #48
0xfffffff0093b115c: 11093fd7  blraa	x8, x17
0xfffffff0093b1160: 760100b4  cbz	x22, #0xfffffff0093b118c
0xfffffff0093b1164: d00240f9  ldr	x16, [x22]
0xfffffff0093b1168: f10316aa  mov	x17, x22
0xfffffff0093b116c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093b1170: 301ac1da  autda	x16, x17
0xfffffff0093b1174: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0093b1178: e90310aa  mov	x9, x16
0xfffffff0093b117c: e00316aa  mov	x0, x22
0xfffffff0093b1180: f10309aa  mov	x17, x9
0xfffffff0093b1184: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0093b1188: 11093fd7  blraa	x8, x17
0xfffffff0093b118c: 132800b4  cbz	x19, #0xfffffff0093b168c
0xfffffff0093b1190: 88024039  ldrb	w8, [x20]
0xfffffff0093b1194: 48011837  tbnz	w8, #3, #0xfffffff0093b11bc
0xfffffff0093b1198: 800affb0  adrp	x0, #0xfffffff007502000
0xfffffff0093b119c: 00803491  add	x0, x0, #0xd20
0xfffffff0093b11a0: c140ffb0  adrp	x1, #0xfffffff007bca000
0xfffffff0093b11a4: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093b11a8: 830afff0  adrp	x3, #0xfffffff007504000
0xfffffff0093b11ac: 630c3e91  add	x3, x3, #0xf83
0xfffffff0093b11b0: 02008052  mov	w2, #0
0xfffffff0093b11b4: df07be97  bl	#0xfffffff008333130
0xfffffff0093b11b8: 35010014  b	#0xfffffff0093b168c
0xfffffff0093b11bc: 808e4039  ldrb	w0, [x20, #0x23]
0xfffffff0093b11c0: 01018052  mov	w1, #8
0xfffffff0093b11c4: 4ab8bd97  bl	#0xfffffff00831f2ec
0xfffffff0093b11c8: f50300aa  mov	x21, x0
0xfffffff0093b11cc: 700240f9  ldr	x16, [x19]
0xfffffff0093b11d0: f10313aa  mov	x17, x19
0xfffffff0093b11d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093b11d8: 301ac1da  autda	x16, x17
0xfffffff0093b11dc: 112080d2  mov	x17, #0x100
0xfffffff0093b11e0: 1002118b  add	x16, x16, x17
0xfffffff0093b11e4: 080240f9  ldr	x8, [x16]
0xfffffff0093b11e8: e90310aa  mov	x9, x16
0xfffffff0093b11ec: 810afff0  adrp	x1, #0xfffffff007504000
0xfffffff0093b11f0: 21f01091  add	x1, x1, #0x43c
0xfffffff0093b11f4: e00313aa  mov	x0, x19
0xfffffff0093b11f8: e20315aa  mov	x2, x21
0xfffffff0093b11fc: f10309aa  mov	x17, x9
0xfffffff0093b1200: 7164f8f2  movk	x17, #0xc323, lsl #48
0xfffffff0093b1204: 11093fd7  blraa	x8, x17
0xfffffff0093b1208: 750100b4  cbz	x21, #0xfffffff0093b1234
0xfffffff0093b120c: b00240f9  ldr	x16, [x21]
0xfffffff0093b1210: f10315aa  mov	x17, x21
0xfffffff0093b1214: 31b4f9f2  movk	x17, #0xcda1, lsl #48
