; Candidate 15038
; ADRP+ADD at VM 0xfffffff009a5ad00 (fileoff 0x2a56d00): page=0x95d000 add_imm=0xeb8

0xfffffff009a5ac80: 031d8052  mov	w3, #0xe8
0xfffffff009a5ac84: ad23a297  bl	#0xfffffff0082e3b38
0xfffffff009a5ac88: b012ff90  adrp	x16, #0xfffffff007cae000
0xfffffff009a5ac8c: 10a22f91  add	x16, x16, #0xbe8
0xfffffff009a5ac90: 10420091  add	x16, x16, #0x10
0xfffffff009a5ac94: f10313aa  mov	x17, x19
0xfffffff009a5ac98: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a5ac9c: 300ac1da  pacda	x16, x17
0xfffffff009a5aca0: 700200f9  str	x16, [x19]
0xfffffff009a5aca4: e04a00d0  adrp	x0, #0xfffffff00a3b8000
0xfffffff009a5aca8: 00201391  add	x0, x0, #0x4c8
0xfffffff009a5acac: 97fbff97  bl	#0xfffffff009a59b08
0xfffffff009a5acb0: e04a00b0  adrp	x0, #0xfffffff00a3b7000
0xfffffff009a5acb4: 00e03a91  add	x0, x0, #0xeb8
0xfffffff009a5acb8: 81ddfef0  adrp	x1, #0xfffffff00760d000
0xfffffff009a5acbc: 21d82091  add	x1, x1, #0x836
0xfffffff009a5acc0: e20313aa  mov	x2, x19
0xfffffff009a5acc4: 031e8052  mov	w3, #0xf0
0xfffffff009a5acc8: 9c23a297  bl	#0xfffffff0082e3b38
0xfffffff009a5accc: b012ffb0  adrp	x16, #0xfffffff007caf000
0xfffffff009a5acd0: 10220991  add	x16, x16, #0x248
0xfffffff009a5acd4: 10420091  add	x16, x16, #0x10
0xfffffff009a5acd8: f10300aa  mov	x17, x0
0xfffffff009a5acdc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a5ace0: 300ac1da  pacda	x16, x17
0xfffffff009a5ace4: 100000f9  str	x16, [x0]
0xfffffff009a5ace8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009a5acec: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009a5acf0: ff0f5fd6  retab	
0xfffffff009a5acf4: 7f2303d5  pacibsp	
0xfffffff009a5acf8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009a5acfc: fd030091  mov	x29, sp
0xfffffff009a5ad00: e04a00b0  adrp	x0, #0xfffffff00a3b7000
0xfffffff009a5ad04: 00e03a91  add	x0, x0, #0xeb8
0xfffffff009a5ad08: 7b26a297  bl	#0xfffffff0082e46f4
0xfffffff009a5ad0c: e04a00d0  adrp	x0, #0xfffffff00a3b8000
0xfffffff009a5ad10: 00201391  add	x0, x0, #0x4c8
0xfffffff009a5ad14: ddfbff97  bl	#0xfffffff009a59c88
0xfffffff009a5ad18: e04a00b0  adrp	x0, #0xfffffff00a3b7000
0xfffffff009a5ad1c: 00003a91  add	x0, x0, #0xe80
0xfffffff009a5ad20: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009a5ad24: ff2303d5  autibsp	
0xfffffff009a5ad28: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009a5ad2c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009a5ad34
0xfffffff009a5ad30: 208e38d4  brk	#0xc471
0xfffffff009a5ad34: 7026a217  b	#0xfffffff0082e46f4
0xfffffff009a5ad38: 7f2303d5  pacibsp	
0xfffffff009a5ad3c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009a5ad40: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009a5ad44: fd430091  add	x29, sp, #0x10
0xfffffff009a5ad48: f30300aa  mov	x19, x0
0xfffffff009a5ad4c: 1f8400f8  str	xzr, [x0], #8
0xfffffff009a5ad50: 725fa397  bl	#0xfffffff008332b18
0xfffffff009a5ad54: 39f2a397  bl	#0xfffffff008357638
0xfffffff009a5ad58: 600e00f9  str	x0, [x19, #0x18]
0xfffffff009a5ad5c: e00313aa  mov	x0, x19
0xfffffff009a5ad60: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009a5ad64: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009a5ad68: ff0f5fd6  retab	
0xfffffff009a5ad6c: 7f2303d5  pacibsp	
0xfffffff009a5ad70: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009a5ad74: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009a5ad78: fd430091  add	x29, sp, #0x10
0xfffffff009a5ad7c: f30300aa  mov	x19, x0
