; Candidate 15926
; ADRP+ADD at VM 0xfffffff009de7fd0 (fileoff 0x2de3fd0): page=0x5d7000 add_imm=0xd28

0xfffffff009de7f50: 098240f9  ldr	x9, [x16, #0x100]
0xfffffff009de7f54: e00313aa  mov	x0, x19
0xfffffff009de7f58: e20316aa  mov	x2, x22
0xfffffff009de7f5c: f10308aa  mov	x17, x8
0xfffffff009de7f60: 7164f8f2  movk	x17, #0xc323, lsl #48
0xfffffff009de7f64: 31093fd7  blraa	x9, x17
0xfffffff009de7f68: e00315aa  mov	x0, x21
0xfffffff009de7f6c: e10314aa  mov	x1, x20
0xfffffff009de7f70: e20313aa  mov	x2, x19
0xfffffff009de7f74: 62010094  bl	#0xfffffff009de84fc
0xfffffff009de7f78: f40300aa  mov	x20, x0
0xfffffff009de7f7c: 700240f9  ldr	x16, [x19]
0xfffffff009de7f80: f10313aa  mov	x17, x19
0xfffffff009de7f84: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009de7f88: 301ac1da  autda	x16, x17
0xfffffff009de7f8c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009de7f90: e90310aa  mov	x9, x16
0xfffffff009de7f94: e00313aa  mov	x0, x19
0xfffffff009de7f98: f10309aa  mov	x17, x9
0xfffffff009de7f9c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009de7fa0: 11093fd7  blraa	x8, x17
0xfffffff009de7fa4: e00314aa  mov	x0, x20
0xfffffff009de7fa8: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009de7fac: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009de7fb0: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff009de7fb4: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff009de7fb8: ff0f5fd6  retab	
0xfffffff009de7fbc: 7f2303d5  pacibsp	
0xfffffff009de7fc0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009de7fc4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009de7fc8: fd430091  add	x29, sp, #0x10
0xfffffff009de7fcc: f40300aa  mov	x20, x0
0xfffffff009de7fd0: a02e00f0  adrp	x0, #0xfffffff00a3be000
0xfffffff009de7fd4: 00a03491  add	x0, x0, #0xd28
0xfffffff009de7fd8: 100040f9  ldr	x16, [x0]
0xfffffff009de7fdc: f10300aa  mov	x17, x0
0xfffffff009de7fe0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009de7fe4: 301ac1da  autda	x16, x17
0xfffffff009de7fe8: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff009de7fec: e90310aa  mov	x9, x16
0xfffffff009de7ff0: f10309aa  mov	x17, x9
0xfffffff009de7ff4: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff009de7ff8: 11093fd7  blraa	x8, x17
0xfffffff009de7ffc: f30300aa  mov	x19, x0
0xfffffff009de8000: 000200b4  cbz	x0, #0xfffffff009de8040
0xfffffff009de8004: e00313aa  mov	x0, x19
0xfffffff009de8008: e10314aa  mov	x1, x20
0xfffffff009de800c: 11000094  bl	#0xfffffff009de8050
0xfffffff009de8010: 80010037  tbnz	w0, #0, #0xfffffff009de8040
0xfffffff009de8014: 700240f9  ldr	x16, [x19]
0xfffffff009de8018: f10313aa  mov	x17, x19
0xfffffff009de801c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009de8020: 301ac1da  autda	x16, x17
0xfffffff009de8024: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009de8028: e90310aa  mov	x9, x16
0xfffffff009de802c: e00313aa  mov	x0, x19
0xfffffff009de8030: f10309aa  mov	x17, x9
0xfffffff009de8034: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009de8038: 11093fd7  blraa	x8, x17
0xfffffff009de803c: 130080d2  mov	x19, #0
0xfffffff009de8040: e00313aa  mov	x0, x19
0xfffffff009de8044: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009de8048: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009de804c: ff0f5fd6  retab	
