; Candidate 1330
; ADRP+ADD at VM 0xfffffff008353844 (fileoff 0x134f844): page=0x1fed50000 add_imm=0xd29

0xfffffff0083537c4: 730e0011  add	w19, w19, #3
0xfffffff0083537c8: 0b000014  b	#0xfffffff0083537f4
0xfffffff0083537cc: e9578052  mov	w9, #0x2bf
0xfffffff0083537d0: 0900bc72  movk	w9, #0xe000, lsl #16
0xfffffff0083537d4: 2a0040f9  ldr	x10, [x1]
0xfffffff0083537d8: 4a1d40b9  ldr	w10, [x10, #0x1c]
0xfffffff0083537dc: 33210011  add	w19, w9, #8
0xfffffff0083537e0: 5f01086b  cmp	w10, w8
0xfffffff0083537e4: 80000054  b.eq	#0xfffffff0083537f4
0xfffffff0083537e8: 806aff90  adrp	x0, #0xfffffff0070a3000
0xfffffff0083537ec: 00a43491  add	x0, x0, #0xd29
0xfffffff0083537f0: 483ffe97  bl	#0xfffffff0082e3510
0xfffffff0083537f4: e00313aa  mov	x0, x19
0xfffffff0083537f8: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0083537fc: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008353800: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008353804: ff0f5fd6  retab	
0xfffffff008353808: e00314aa  mov	x0, x20
0xfffffff00835380c: e10315aa  mov	x1, x21
0xfffffff008353810: 517b0394  bl	#0xfffffff008432554
0xfffffff008353814: f30300aa  mov	x19, x0
0xfffffff008353818: e0feff35  cbnz	w0, #0xfffffff0083537f4
0xfffffff00835381c: e865ffb0  adrp	x8, #0xfffffff007010000
0xfffffff008353820: 000dc33d  ldr	q0, [x8, #0xc30]
0xfffffff008353824: c042823c  stur	q0, [x22, #0x24]
0xfffffff008353828: 88078052  mov	w8, #0x3c
0xfffffff00835382c: c80600b9  str	w8, [x22, #4]
0xfffffff008353830: e865ff90  adrp	x8, #0xfffffff00700f000
0xfffffff008353834: 008941fd  ldr	d0, [x8, #0x310]
0xfffffff008353838: c0c201fc  stur	d0, [x22, #0x1c]
0xfffffff00835383c: df4203f8  stur	xzr, [x22, #0x34]
0xfffffff008353840: edffff17  b	#0xfffffff0083537f4
0xfffffff008353844: 806aff90  adrp	x0, #0xfffffff0070a3000
0xfffffff008353848: 00a43491  add	x0, x0, #0xd29
0xfffffff00835384c: 313ffe97  bl	#0xfffffff0082e3510
0xfffffff008353850: 200020d4  brk	#1
0xfffffff008353854: 5f2403d5  bti	c
0xfffffff008353858: 20f600b0  adrp	x0, #0xfffffff00a218000
0xfffffff00835385c: 00002091  add	x0, x0, #0x800
0xfffffff008353860: c0035fd6  ret	
0xfffffff008353864: 5f2403d5  bti	c
0xfffffff008353868: e10300aa  mov	x1, x0
0xfffffff00835386c: 08008092  mov	x8, #-1
0xfffffff008353870: 080000f9  str	x8, [x0]
0xfffffff008353874: 40b1fff0  adrp	x0, #0xfffffff00797e000
0xfffffff008353878: 00c01791  add	x0, x0, #0x5f0
0xfffffff00835387c: 02038052  mov	w2, #0x18
0xfffffff008353880: 874ffe17  b	#0xfffffff0082e769c
0xfffffff008353884: 5f2403d5  bti	c
0xfffffff008353888: 08008092  mov	x8, #-1
0xfffffff00835388c: 080000f9  str	x8, [x0]
0xfffffff008353890: c0035fd6  ret	
0xfffffff008353894: 7f2303d5  pacibsp	
0xfffffff008353898: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00835389c: fd030091  mov	x29, sp
0xfffffff0083538a0: 48b1fff0  adrp	x8, #0xfffffff00797e000
0xfffffff0083538a4: 081d46b9  ldr	w8, [x8, #0x61c]
0xfffffff0083538a8: 08511d12  and	w8, w8, #0xfffff8
0xfffffff0083538ac: 1f610071  cmp	w8, #0x18
0xfffffff0083538b0: 22010054  b.hs	#0xfffffff0083538d4
0xfffffff0083538b4: c0aeffd0  adrp	x0, #0xfffffff00792d000
0xfffffff0083538b8: 00c01c91  add	x0, x0, #0x730
0xfffffff0083538bc: 01038052  mov	w1, #0x18
0xfffffff0083538c0: 82008252  mov	w2, #0x1004
