; Candidate 4928
; ADRP+ADD at VM 0xfffffff0087cd958 (fileoff 0x17c9958): page=0x1fea1c000 add_imm=0xe80

0xfffffff0087cd8d8: e1008052  mov	w1, #7
0xfffffff0087cd8dc: bdb70294  bl	#0xfffffff00887b7d0
0xfffffff0087cd8e0: c0140034  cbz	w0, #0xfffffff0087cdb78
0xfffffff0087cd8e4: a00f8052  mov	w0, #0x7d
0xfffffff0087cd8e8: ccb70294  bl	#0xfffffff00887b818
0xfffffff0087cd8ec: f40300aa  mov	x20, x0
0xfffffff0087cd8f0: 2f9a0394  bl	#0xfffffff0088b41ac
0xfffffff0087cd8f4: f50300aa  mov	x21, x0
0xfffffff0087cd8f8: e0008052  mov	w0, #7
0xfffffff0087cd8fc: d5b70294  bl	#0xfffffff00887b850
0xfffffff0087cd900: 74110034  cbz	w20, #0xfffffff0087cdb2c
0xfffffff0087cd904: 681b40b9  ldr	w8, [x27, #0x18]
0xfffffff0087cd908: 69734bb9  ldr	w9, [x27, #0xb70]
0xfffffff0087cd90c: 6a6b4bb9  ldr	w10, [x27, #0xb68]
0xfffffff0087cd910: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff0087cd914: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cd918: a80f8052  mov	w8, #0x7d
0xfffffff0087cd91c: f52300a9  stp	x21, x8, [sp]
0xfffffff0087cd920: 0052fff0  adrp	x0, #0xfffffff007210000
0xfffffff0087cd924: 00340f91  add	x0, x0, #0x3cd
0xfffffff0087cd928: cea6d797  bl	#0xfffffff007db7460
0xfffffff0087cd92c: 93000014  b	#0xfffffff0087cdb78
0xfffffff0087cd930: 1f9a0394  bl	#0xfffffff0088b41ac
0xfffffff0087cd934: f40300aa  mov	x20, x0
0xfffffff0087cd938: e0008052  mov	w0, #7
0xfffffff0087cd93c: c5b70294  bl	#0xfffffff00887b850
0xfffffff0087cd940: 681b40b9  ldr	w8, [x27, #0x18]
0xfffffff0087cd944: a98358b8  ldur	w9, [x29, #-0x78]
0xfffffff0087cd948: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087cd94c: a80f8052  mov	w8, #0x7d
0xfffffff0087cd950: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087cd954: f40300f9  str	x20, [sp]
0xfffffff0087cd958: e050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cd95c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cd960: c191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087cd964: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cd968: 6353ff90  adrp	x3, #0xfffffff007239000
0xfffffff0087cd96c: 631c3991  add	x3, x3, #0xe47
0xfffffff0087cd970: 02008052  mov	w2, #0
0xfffffff0087cd974: ef95ed97  bl	#0xfffffff008333130
0xfffffff0087cd978: 686f4bb9  ldr	w8, [x27, #0xb6c]
0xfffffff0087cd97c: 681f088b  add	x8, x27, x8, lsl #7
0xfffffff0087cd980: 01a10b91  add	x1, x8, #0x2e8
0xfffffff0087cd984: a28358b8  ldur	w2, [x29, #-0x78]
0xfffffff0087cd988: 0ef0ff97  bl	#0xfffffff0087c99c0
0xfffffff0087cd98c: 600500b4  cbz	x0, #0xfffffff0087cda38
0xfffffff0087cd990: f50300aa  mov	x21, x0
0xfffffff0087cd994: 170440f9  ldr	x23, [x0, #8]
0xfffffff0087cd998: e0031baa  mov	x0, x27
0xfffffff0087cd99c: e10315aa  mov	x1, x21
0xfffffff0087cd9a0: cce8ff97  bl	#0xfffffff0087c7cd0
0xfffffff0087cd9a4: e0060036  tbz	w0, #0, #0xfffffff0087cda80
0xfffffff0087cd9a8: b9559552  mov	w25, #0xaaad
0xfffffff0087cd9ac: 5955b772  movk	w25, #0xbaaa, lsl #16
0xfffffff0087cd9b0: 613f51f9  ldr	x1, [x27, #0x2278]
0xfffffff0087cd9b4: e0031baa  mov	x0, x27
0xfffffff0087cd9b8: c6e8ff97  bl	#0xfffffff0087c7cd0
0xfffffff0087cd9bc: 80290036  tbz	w0, #0, #0xfffffff0087cdeec
0xfffffff0087cd9c0: f3031baa  mov	x19, x27
0xfffffff0087cd9c4: 613f51f9  ldr	x1, [x27, #0x2278]
0xfffffff0087cd9c8: 375f00b4  cbz	x23, #0xfffffff0087ce5ac
0xfffffff0087cd9cc: e20317aa  mov	x2, x23
0xfffffff0087cd9d0: 1cf4ff97  bl	#0xfffffff0087caa40
0xfffffff0087cd9d4: 805f0037  tbnz	w0, #0, #0xfffffff0087ce5c4
