; Candidate 5475
; ADRP+ADD at VM 0xfffffff0087f2d40 (fileoff 0x17eed40): page=0x1fe9f7000 add_imm=0xe80

0xfffffff0087f2cc0: e94b40f9  ldr	x9, [sp, #0x90]
0xfffffff0087f2cc4: c80200a9  stp	x8, x0, [x22]
0xfffffff0087f2cc8: c92a01a9  stp	x9, x10, [x22, #0x10]
0xfffffff0087f2ccc: 33000014  b	#0xfffffff0087f2d98
0xfffffff0087f2cd0: 611a40b9  ldr	w1, [x19, #0x18]
0xfffffff0087f2cd4: a9040036  tbz	w9, #0, #0xfffffff0087f2d68
0xfffffff0087f2cd8: a22301d1  sub	x2, x29, #0x48
0xfffffff0087f2cdc: a34301d1  sub	x3, x29, #0x50
0xfffffff0087f2ce0: e00314aa  mov	x0, x20
0xfffffff0087f2ce4: 040080d2  mov	x4, #0
0xfffffff0087f2ce8: 75640294  bl	#0xfffffff00888bebc
0xfffffff0087f2cec: a9237ba9  ldp	x9, x8, [x29, #-0x50]
0xfffffff0087f2cf0: c87e00a9  stp	x8, xzr, [x22]
0xfffffff0087f2cf4: c97e01a9  stp	x9, xzr, [x22, #0x10]
0xfffffff0087f2cf8: 480500b4  cbz	x8, #0xfffffff0087f2da0
0xfffffff0087f2cfc: 17008052  mov	w23, #0
0xfffffff0087f2d00: 65000014  b	#0xfffffff0087f2e94
0xfffffff0087f2d04: 2a050394  bl	#0xfffffff0088b41ac
0xfffffff0087f2d08: f70300aa  mov	x23, x0
0xfffffff0087f2d0c: 80008052  mov	w0, #4
0xfffffff0087f2d10: d0220294  bl	#0xfffffff00887b850
0xfffffff0087f2d14: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff0087f2d18: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff0087f2d1c: 0851fff0  adrp	x8, #0xfffffff007215000
0xfffffff0087f2d20: 08d11a91  add	x8, x8, #0x6b4
0xfffffff0087f2d24: 29148052  mov	w9, #0xa1
0xfffffff0087f2d28: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f2d2c: 0851fff0  adrp	x8, #0xfffffff007215000
0xfffffff0087f2d30: 089d1991  add	x8, x8, #0x667
0xfffffff0087f2d34: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f2d38: e80e8052  mov	w8, #0x77
0xfffffff0087f2d3c: f72300a9  stp	x23, x8, [sp]
0xfffffff0087f2d40: a04ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f2d44: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f2d48: a190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f2d4c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f2d50: 6352ffd0  adrp	x3, #0xfffffff007240000
0xfffffff0087f2d54: 63a80591  add	x3, x3, #0x16a
0xfffffff0087f2d58: 02008052  mov	w2, #0
0xfffffff0087f2d5c: f500ed97  bl	#0xfffffff008333130
0xfffffff0087f2d60: 177d8012  mov	w23, #-0x3e9
0xfffffff0087f2d64: 4c000014  b	#0xfffffff0087f2e94
0xfffffff0087f2d68: e00314aa  mov	x0, x20
0xfffffff0087f2d6c: 02008052  mov	w2, #0
0xfffffff0087f2d70: 8f620294  bl	#0xfffffff00888b7ac
0xfffffff0087f2d74: a0831bf8  stur	x0, [x29, #-0x48]
0xfffffff0087f2d78: a80680b9  ldrsw	x8, [x21, #4]
0xfffffff0087f2d7c: 0900088b  add	x9, x0, x8
0xfffffff0087f2d80: a80e80b9  ldrsw	x8, [x21, #0xc]
0xfffffff0087f2d84: 2801088b  add	x8, x9, x8
0xfffffff0087f2d88: c80200a9  stp	x8, x0, [x22]
0xfffffff0087f2d8c: aa0280b9  ldrsw	x10, [x21]
0xfffffff0087f2d90: 0a010a8b  add	x10, x8, x10
0xfffffff0087f2d94: ca2601a9  stp	x10, x9, [x22, #0x10]
0xfffffff0087f2d98: 080100aa  orr	x8, x8, x0
0xfffffff0087f2d9c: 08fbffb5  cbnz	x8, #0xfffffff0087f2cfc
0xfffffff0087f2da0: e00e8052  mov	w0, #0x77
0xfffffff0087f2da4: 81008052  mov	w1, #4
0xfffffff0087f2da8: 8a220294  bl	#0xfffffff00887b7d0
0xfffffff0087f2dac: 20070034  cbz	w0, #0xfffffff0087f2e90
0xfffffff0087f2db0: e00e8052  mov	w0, #0x77
0xfffffff0087f2db4: 99220294  bl	#0xfffffff00887b818
0xfffffff0087f2db8: f80300aa  mov	x24, x0
0xfffffff0087f2dbc: fc040394  bl	#0xfffffff0088b41ac
