; Candidate 13420
; ADRP+ADD at VM 0xfffffff0092cf958 (fileoff 0x22cb958): page=0x1fe210000 add_imm=0xe26

0xfffffff0092cf8d8: 400300b4  cbz	x0, #0xfffffff0092cf940
0xfffffff0092cf8dc: 700240f9  ldr	x16, [x19]
0xfffffff0092cf8e0: f10313aa  mov	x17, x19
0xfffffff0092cf8e4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf8e8: 301ac1da  autda	x16, x17
0xfffffff0092cf8ec: 116e80d2  mov	x17, #0x370
0xfffffff0092cf8f0: 1002118b  add	x16, x16, x17
0xfffffff0092cf8f4: 080240f9  ldr	x8, [x16]
0xfffffff0092cf8f8: e90310aa  mov	x9, x16
0xfffffff0092cf8fc: e00313aa  mov	x0, x19
0xfffffff0092cf900: f10309aa  mov	x17, x9
0xfffffff0092cf904: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092cf908: 11093fd7  blraa	x8, x17
0xfffffff0092cf90c: 100040f9  ldr	x16, [x0]
0xfffffff0092cf910: f10300aa  mov	x17, x0
0xfffffff0092cf914: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf918: 301ac1da  autda	x16, x17
0xfffffff0092cf91c: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cf920: 1002118b  add	x16, x16, x17
0xfffffff0092cf924: 080240f9  ldr	x8, [x16]
0xfffffff0092cf928: e90310aa  mov	x9, x16
0xfffffff0092cf92c: 010080d2  mov	x1, #0
0xfffffff0092cf930: f10309aa  mov	x17, x9
0xfffffff0092cf934: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cf938: 11093fd7  blraa	x8, x17
0xfffffff0092cf93c: 03000014  b	#0xfffffff0092cf948
0xfffffff0092cf940: 6010fff0  adrp	x0, #0xfffffff0074de000
0xfffffff0092cf944: 00102191  add	x0, x0, #0x844
0xfffffff0092cf948: a8024079  ldrh	w8, [x21]
0xfffffff0092cf94c: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092cf950: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092cf954: f60300f9  str	x22, [sp]
0xfffffff0092cf958: 8010ff90  adrp	x0, #0xfffffff0074df000
0xfffffff0092cf95c: 00983891  add	x0, x0, #0xe26
0xfffffff0092cf960: b01dc297  bl	#0xfffffff008357020
0xfffffff0092cf964: 75723a91  add	x21, x19, #0xe9c
0xfffffff0092cf968: 9410ff90  adrp	x20, #0xfffffff0074df000
0xfffffff0092cf96c: 94023191  add	x20, x20, #0xc40
0xfffffff0092cf970: e00314aa  mov	x0, x20
0xfffffff0092cf974: e10315aa  mov	x1, x21
0xfffffff0092cf978: 42008052  mov	w2, #2
0xfffffff0092cf97c: 8f75c697  bl	#0xfffffff00846cfb8
0xfffffff0092cf980: c0070034  cbz	w0, #0xfffffff0092cfa78
0xfffffff0092cf984: 700240f9  ldr	x16, [x19]
0xfffffff0092cf988: f10313aa  mov	x17, x19
0xfffffff0092cf98c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf990: 301ac1da  autda	x16, x17
0xfffffff0092cf994: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cf998: 1002118b  add	x16, x16, x17
0xfffffff0092cf99c: 080240f9  ldr	x8, [x16]
0xfffffff0092cf9a0: e90310aa  mov	x9, x16
0xfffffff0092cf9a4: e00313aa  mov	x0, x19
0xfffffff0092cf9a8: 010080d2  mov	x1, #0
0xfffffff0092cf9ac: f10309aa  mov	x17, x9
0xfffffff0092cf9b0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cf9b4: 11093fd7  blraa	x8, x17
0xfffffff0092cf9b8: f60300aa  mov	x22, x0
0xfffffff0092cf9bc: 700240f9  ldr	x16, [x19]
0xfffffff0092cf9c0: f10313aa  mov	x17, x19
0xfffffff0092cf9c4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf9c8: 301ac1da  autda	x16, x17
0xfffffff0092cf9cc: 116e80d2  mov	x17, #0x370
0xfffffff0092cf9d0: 1002118b  add	x16, x16, x17
0xfffffff0092cf9d4: 080240f9  ldr	x8, [x16]
