; Candidate 7054
; ADRP+ADD at VM 0xfffffff008854048 (fileoff 0x1850048): page=0x1fe995000 add_imm=0xe80

0xfffffff008853fc8: 415b40b9  ldr	w1, [x26, #0x58]
0xfffffff008853fcc: 624240b9  ldr	w2, [x19, #0x40]
0xfffffff008853fd0: 20130011  add	w0, w25, #4
0xfffffff008853fd4: 030080d2  mov	x3, #0
0xfffffff008853fd8: 040080d2  mov	x4, #0
0xfffffff008853fdc: 050080d2  mov	x5, #0
0xfffffff008853fe0: c9a7e497  bl	#0xfffffff00817df04
0xfffffff008853fe4: 6cffff17  b	#0xfffffff008853d94
0xfffffff008853fe8: 71800194  bl	#0xfffffff0088b41ac
0xfffffff008853fec: f70300aa  mov	x23, x0
0xfffffff008853ff0: a0008052  mov	w0, #5
0xfffffff008853ff4: 179e0094  bl	#0xfffffff00887b850
0xfffffff008853ff8: a80e40f9  ldr	x8, [x21, #0x18]
0xfffffff008853ffc: 891a40b9  ldr	w9, [x20, #0x18]
0xfffffff008854000: 4a5b40b9  ldr	w10, [x26, #0x58]
0xfffffff008854004: ab1240b9  ldr	w11, [x21, #0x10]
0xfffffff008854008: ac5240b9  ldr	w12, [x21, #0x50]
0xfffffff00885400c: e83306a9  stp	x8, x12, [sp, #0x60]
0xfffffff008854010: f52f05a9  stp	x21, x11, [sp, #0x50]
0xfffffff008854014: fa2b04a9  stp	x26, x10, [sp, #0x40]
0xfffffff008854018: f42703a9  stp	x20, x9, [sp, #0x30]
0xfffffff00885401c: 48ab8052  mov	w8, #0x55a
0xfffffff008854020: 894effd0  adrp	x9, #0xfffffff007226000
0xfffffff008854024: 29cd2191  add	x9, x9, #0x873
0xfffffff008854028: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00885402c: 884efff0  adrp	x8, #0xfffffff007227000
0xfffffff008854030: 08811191  add	x8, x8, #0x460
0xfffffff008854034: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008854038: 880c8052  mov	w8, #0x64
0xfffffff00885403c: e34ffff0  adrp	x3, #0xfffffff007253000
0xfffffff008854040: 63241991  add	x3, x3, #0x649
0xfffffff008854044: f72300a9  stp	x23, x8, [sp]
0xfffffff008854048: a04cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885404c: 00003a91  add	x0, x0, #0xe80
0xfffffff008854050: a18dff90  adrp	x1, #0xfffffff007a08000
0xfffffff008854054: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008854058: 02008052  mov	w2, #0
0xfffffff00885405c: 357ceb97  bl	#0xfffffff008333130
0xfffffff008854060: daffff17  b	#0xfffffff008853fc8
0xfffffff008854064: 7f2303d5  pacibsp	
0xfffffff008854068: ff4305d1  sub	sp, sp, #0x150
0xfffffff00885406c: fc6f0fa9  stp	x28, x27, [sp, #0xf0]
0xfffffff008854070: fa6710a9  stp	x26, x25, [sp, #0x100]
0xfffffff008854074: f85f11a9  stp	x24, x23, [sp, #0x110]
0xfffffff008854078: f65712a9  stp	x22, x21, [sp, #0x120]
0xfffffff00885407c: f44f13a9  stp	x20, x19, [sp, #0x130]
0xfffffff008854080: fd7b14a9  stp	x29, x30, [sp, #0x140]
0xfffffff008854084: fd030591  add	x29, sp, #0x140
0xfffffff008854088: f50302aa  mov	x21, x2
0xfffffff00885408c: f40301aa  mov	x20, x1
0xfffffff008854090: f30300aa  mov	x19, x0
0xfffffff008854094: bf431ab8  stur	wzr, [x29, #-0x5c]
0xfffffff008854098: 800c8052  mov	w0, #0x64
0xfffffff00885409c: 01018052  mov	w1, #8
0xfffffff0088540a0: cc9d0094  bl	#0xfffffff00887b7d0
0xfffffff0088540a4: e0020034  cbz	w0, #0xfffffff008854100
0xfffffff0088540a8: 800c8052  mov	w0, #0x64
0xfffffff0088540ac: db9d0094  bl	#0xfffffff00887b818
0xfffffff0088540b0: f70300aa  mov	x23, x0
0xfffffff0088540b4: 3e800194  bl	#0xfffffff0088b41ac
0xfffffff0088540b8: f60300aa  mov	x22, x0
0xfffffff0088540bc: 00018052  mov	w0, #8
0xfffffff0088540c0: e49d0094  bl	#0xfffffff00887b850
0xfffffff0088540c4: 37030034  cbz	w23, #0xfffffff008854128
