; Candidate 16720
; ADRP+ADD at VM 0xfffffff009f33ca4 (fileoff 0x2f2fca4): page=0x1fd92a000 add_imm=0xde5

0xfffffff009f33c24: e90200cb  sub	x9, x23, x0
0xfffffff009f33c28: 2a011a8b  add	x10, x9, x26
0xfffffff009f33c2c: c87240f9  ldr	x8, [x22, #0xe0]
0xfffffff009f33c30: 5f0108eb  cmp	x10, x8
0xfffffff009f33c34: a2130054  b.hs	#0xfffffff009f33ea8
0xfffffff009f33c38: 093e8452  mov	w9, #0x21f0
0xfffffff009f33c3c: 8902098b  add	x9, x20, x9
0xfffffff009f33c40: e22303a9  stp	x2, x8, [sp, #0x30]
0xfffffff009f33c44: e82340f9  ldr	x8, [sp, #0x40]
0xfffffff009f33c48: fa2302a9  stp	x26, x8, [sp, #0x20]
0xfffffff009f33c4c: 686d8052  mov	w8, #0x36b
0xfffffff009f33c50: 4ac9fed0  adrp	x10, #0xfffffff00785d000
0xfffffff009f33c54: 4a2d3791  add	x10, x10, #0xdcb
0xfffffff009f33c58: ea2300a9  stp	x10, x8, [sp]
0xfffffff009f33c5c: 40c9fed0  adrp	x0, #0xfffffff00785d000
0xfffffff009f33c60: 00c43891  add	x0, x0, #0xe31
0xfffffff009f33c64: e95f01a9  stp	x9, x23, [sp, #0x10]
0xfffffff009f33c68: 172ffd97  bl	#0xfffffff009e7f8c4
0xfffffff009f33c6c: ba008052  mov	w26, #5
0xfffffff009f33c70: f65740b9  ldr	w22, [sp, #0x54]
0xfffffff009f33c74: 10000014  b	#0xfffffff009f33cb4
0xfffffff009f33c78: a9c8fef0  adrp	x9, #0xfffffff00784a000
0xfffffff009f33c7c: 299d0691  add	x9, x9, #0x1a7
0xfffffff009f33c80: ea2340f9  ldr	x10, [sp, #0x40]
0xfffffff009f33c84: f65740b9  ldr	w22, [sp, #0x54]
0xfffffff009f33c88: e9eb02a9  stp	x9, x26, [sp, #0x28]
0xfffffff009f33c8c: e92f40f9  ldr	x9, [sp, #0x58]
0xfffffff009f33c90: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009f33c94: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f33c98: 48c9fed0  adrp	x8, #0xfffffff00785d000
0xfffffff009f33c9c: 082d3791  add	x8, x8, #0xdcb
0xfffffff009f33ca0: 896c8052  mov	w9, #0x364
0xfffffff009f33ca4: 40c9fed0  adrp	x0, #0xfffffff00785d000
0xfffffff009f33ca8: 00943791  add	x0, x0, #0xde5
0xfffffff009f33cac: e82700a9  stp	x8, x9, [sp]
0xfffffff009f33cb0: 052ffd97  bl	#0xfffffff009e7f8c4
0xfffffff009f33cb4: e03f40f9  ldr	x0, [sp, #0x78]
0xfffffff009f33cb8: 08868a97  bl	#0xfffffff0081d54d8
0xfffffff009f33cbc: 680340f9  ldr	x8, [x27]
0xfffffff009f33cc0: 680100b4  cbz	x8, #0xfffffff009f33cec
0xfffffff009f33cc4: 090540f9  ldr	x9, [x8, #8]
0xfffffff009f33cc8: 3f011beb  cmp	x9, x27
0xfffffff009f33ccc: 81140054  b.ne	#0xfffffff009f33f5c
0xfffffff009f33cd0: 690740f9  ldr	x9, [x27, #8]
0xfffffff009f33cd4: 2a0140f9  ldr	x10, [x9]
0xfffffff009f33cd8: 5f011beb  cmp	x10, x27
0xfffffff009f33cdc: 01130054  b.ne	#0xfffffff009f33f3c
0xfffffff009f33ce0: 090500f9  str	x9, [x8, #8]
0xfffffff009f33ce4: 690740f9  ldr	x9, [x27, #8]
0xfffffff009f33ce8: 06000014  b	#0xfffffff009f33d00
0xfffffff009f33cec: 690740f9  ldr	x9, [x27, #8]
0xfffffff009f33cf0: 2a0140f9  ldr	x10, [x9]
0xfffffff009f33cf4: 5f011beb  cmp	x10, x27
0xfffffff009f33cf8: 21120054  b.ne	#0xfffffff009f33f3c
0xfffffff009f33cfc: 690e00f9  str	x9, [x19, #0x18]
0xfffffff009f33d00: 280100f9  str	x8, [x9]
0xfffffff009f33d04: 600b40f9  ldr	x0, [x27, #0x10]
0xfffffff009f33d08: 86567f97  bl	#0xfffffff007f09720
0xfffffff009f33d0c: 20f0feb0  adrp	x0, #0xfffffff007d38000
0xfffffff009f33d10: 00603291  add	x0, x0, #0xc98
0xfffffff009f33d14: e1031baa  mov	x1, x27
0xfffffff009f33d18: 7d8a9097  bl	#0xfffffff00835670c
0xfffffff009f33d1c: 082500b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009f33d20: 08212a91  add	x8, x8, #0xa88
