; Candidate 6253
; ADRP+ADD at VM 0xfffffff00881d520 (fileoff 0x1819520): page=0x1fe9cc000 add_imm=0xe80

0xfffffff00881d4a0: 800e8052  mov	w0, #0x74
0xfffffff00881d4a4: dd780194  bl	#0xfffffff00887b818
0xfffffff00881d4a8: f80300aa  mov	x24, x0
0xfffffff00881d4ac: 405b0294  bl	#0xfffffff0088b41ac
0xfffffff00881d4b0: f70300aa  mov	x23, x0
0xfffffff00881d4b4: c0008052  mov	w0, #6
0xfffffff00881d4b8: e6780194  bl	#0xfffffff00887b850
0xfffffff00881d4bc: b8010034  cbz	w24, #0xfffffff00881d4f0
0xfffffff00881d4c0: e80316aa  mov	x8, x22
0xfffffff00881d4c4: f52303a9  stp	x21, x8, [sp, #0x30]
0xfffffff00881d4c8: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00881d4cc: 0850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff00881d4d0: 08bd3091  add	x8, x8, #0xc2f
0xfffffff00881d4d4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881d4d8: 880e8052  mov	w8, #0x74
0xfffffff00881d4dc: c04fffb0  adrp	x0, #0xfffffff007216000
0xfffffff00881d4e0: 00ac3d91  add	x0, x0, #0xf6b
0xfffffff00881d4e4: f72300a9  stp	x23, x8, [sp]
0xfffffff00881d4e8: de67d697  bl	#0xfffffff007db7460
0xfffffff00881d4ec: 15000014  b	#0xfffffff00881d540
0xfffffff00881d4f0: 2f5b0294  bl	#0xfffffff0088b41ac
0xfffffff00881d4f4: f70300aa  mov	x23, x0
0xfffffff00881d4f8: c0008052  mov	w0, #6
0xfffffff00881d4fc: d5780194  bl	#0xfffffff00887b850
0xfffffff00881d500: e80316aa  mov	x8, x22
0xfffffff00881d504: f52303a9  stp	x21, x8, [sp, #0x30]
0xfffffff00881d508: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00881d50c: 0850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff00881d510: 08bd3091  add	x8, x8, #0xc2f
0xfffffff00881d514: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881d518: 880e8052  mov	w8, #0x74
0xfffffff00881d51c: f72300a9  stp	x23, x8, [sp]
0xfffffff00881d520: 604eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00881d524: 00003a91  add	x0, x0, #0xe80
0xfffffff00881d528: 418ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff00881d52c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881d530: 6351ffb0  adrp	x3, #0xfffffff00724a000
0xfffffff00881d534: 63940091  add	x3, x3, #0x25
0xfffffff00881d538: 02008052  mov	w2, #0
0xfffffff00881d53c: fd56ec97  bl	#0xfffffff008333130
0xfffffff00881d540: e00316aa  mov	x0, x22
0xfffffff00881d544: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff00881d548: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff00881d54c: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff00881d550: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff00881d554: ff830291  add	sp, sp, #0xa0
0xfffffff00881d558: ff0f5fd6  retab	
0xfffffff00881d55c: 145b0294  bl	#0xfffffff0088b41ac
0xfffffff00881d560: f70300aa  mov	x23, x0
0xfffffff00881d564: 80008052  mov	w0, #4
0xfffffff00881d568: ba780194  bl	#0xfffffff00887b850
0xfffffff00881d56c: e80316aa  mov	x8, x22
0xfffffff00881d570: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00881d574: e82b00f9  str	x8, [sp, #0x50]
0xfffffff00881d578: e80315aa  mov	x8, x21
0xfffffff00881d57c: f42304a9  stp	x20, x8, [sp, #0x40]
0xfffffff00881d580: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff00881d584: 884ffff0  adrp	x8, #0xfffffff007210000
0xfffffff00881d588: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881d58c: 496b8152  mov	w9, #0xb5a
0xfffffff00881d590: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00881d594: 0850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff00881d598: 08bd3091  add	x8, x8, #0xc2f
0xfffffff00881d59c: e02301a9  stp	x0, x8, [sp, #0x10]
