; Candidate 1875
; ADRP+ADD at VM 0xfffffff008538d48 (fileoff 0x1534d48): page=0x1feba9000 add_imm=0xe53

0xfffffff008538cc8: 1bb1f697  bl	#0xfffffff0082e5134
0xfffffff008538ccc: e00313aa  mov	x0, x19
0xfffffff008538cd0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008538cd4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008538cd8: ff0f5fd6  retab	
0xfffffff008538cdc: 5f2403d5  bti	c
0xfffffff008538ce0: 85aef617  b	#0xfffffff0082e46f4
0xfffffff008538ce4: 5f2403d5  bti	c
0xfffffff008538ce8: 83aef617  b	#0xfffffff0082e46f4
0xfffffff008538cec: 7f2303d5  pacibsp	
0xfffffff008538cf0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008538cf4: fd030091  mov	x29, sp
0xfffffff008538cf8: 405dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008538cfc: 00603791  add	x0, x0, #0xdd8
0xfffffff008538d00: 4ec1f797  bl	#0xfffffff008329238
0xfffffff008538d04: e8ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008538d08: 00c904f9  str	x0, [x8, #0x990]
0xfffffff008538d0c: 405dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008538d10: 00083891  add	x0, x0, #0xe02
0xfffffff008538d14: 49c1f797  bl	#0xfffffff008329238
0xfffffff008538d18: e8ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008538d1c: 00cd04f9  str	x0, [x8, #0x998]
0xfffffff008538d20: 405dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008538d24: 00883891  add	x0, x0, #0xe22
0xfffffff008538d28: 44c1f797  bl	#0xfffffff008329238
0xfffffff008538d2c: e8ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008538d30: 00d104f9  str	x0, [x8, #0x9a0]
0xfffffff008538d34: 405dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008538d38: 00e43891  add	x0, x0, #0xe39
0xfffffff008538d3c: 3fc1f797  bl	#0xfffffff008329238
0xfffffff008538d40: e8ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008538d44: 00d504f9  str	x0, [x8, #0x9a8]
0xfffffff008538d48: 405dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008538d4c: 004c3991  add	x0, x0, #0xe53
0xfffffff008538d50: 3ac1f797  bl	#0xfffffff008329238
0xfffffff008538d54: e8ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008538d58: 00d904f9  str	x0, [x8, #0x9b0]
0xfffffff008538d5c: 405dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008538d60: 00bc3991  add	x0, x0, #0xe6f
0xfffffff008538d64: 35c1f797  bl	#0xfffffff008329238
0xfffffff008538d68: e8ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008538d6c: 00dd04f9  str	x0, [x8, #0x9b8]
0xfffffff008538d70: e0ec00b0  adrp	x0, #0xfffffff00a2d5000
0xfffffff008538d74: 00002791  add	x0, x0, #0x9c0
0xfffffff008538d78: 215dffd0  adrp	x1, #0xfffffff0070de000
0xfffffff008538d7c: 21601991  add	x1, x1, #0x658
0xfffffff008538d80: e2ec00b0  adrp	x2, #0xfffffff00a2d5000
0xfffffff008538d84: 42403c91  add	x2, x2, #0xf10
0xfffffff008538d88: 036f8052  mov	w3, #0x378
0xfffffff008538d8c: 6babf697  bl	#0xfffffff0082e3b38
0xfffffff008538d90: 30a3ff90  adrp	x16, #0xfffffff00799c000
0xfffffff008538d94: 10e20791  add	x16, x16, #0x1f8
0xfffffff008538d98: 10420091  add	x16, x16, #0x10
0xfffffff008538d9c: f10300aa  mov	x17, x0
0xfffffff008538da0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008538da4: 300ac1da  pacda	x16, x17
0xfffffff008538da8: 100000f9  str	x16, [x0]
0xfffffff008538dac: e0ec00b0  adrp	x0, #0xfffffff00a2d5000
0xfffffff008538db0: 00a02791  add	x0, x0, #0x9e8
0xfffffff008538db4: 215dffd0  adrp	x1, #0xfffffff0070de000
0xfffffff008538db8: 21cc1991  add	x1, x1, #0x673
0xfffffff008538dbc: e2ec00b0  adrp	x2, #0xfffffff00a2d5000
0xfffffff008538dc0: 42e03c91  add	x2, x2, #0xf38
0xfffffff008538dc4: 031a8052  mov	w3, #0xd0
