; Candidate 868
; ADRP+ADD at VM 0xfffffff0080e5298 (fileoff 0x10e1298): page=0x1fef92000 add_imm=0xd41

0xfffffff0080e5218: 0801090a  and	w8, w8, w9
0xfffffff0080e521c: 684602b9  str	w8, [x19, #0x244]
0xfffffff0080e5220: 99000037  tbnz	w25, #0, #0xfffffff0080e5230
0xfffffff0080e5224: 08834bb9  ldr	w8, [x24, #0xb80]
0xfffffff0080e5228: 1f791c72  tst	w8, #0xfffffff7
0xfffffff0080e522c: a1080054  b.ne	#0xfffffff0080e5340
0xfffffff0080e5230: e00317aa  mov	x0, x23
0xfffffff0080e5234: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0080e5238: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0080e523c: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0080e5240: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0080e5244: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff0080e5248: fc6f41a9  ldp	x28, x27, [sp, #0x10]
0xfffffff0080e524c: ffc30191  add	sp, sp, #0x70
0xfffffff0080e5250: ff0f5fd6  retab	
0xfffffff0080e5254: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff0080e5258: 082540f9  ldr	x8, [x8, #0x48]
0xfffffff0080e525c: 084140f9  ldr	x8, [x8, #0x80]
0xfffffff0080e5260: e00313aa  mov	x0, x19
0xfffffff0080e5264: 01008052  mov	w1, #0
0xfffffff0080e5268: e20314aa  mov	x2, x20
0xfffffff0080e526c: 030080d2  mov	x3, #0
0xfffffff0080e5270: 040080d2  mov	x4, #0
0xfffffff0080e5274: e50316aa  mov	x5, x22
0xfffffff0080e5278: b13985d2  mov	x17, #0x29cd
0xfffffff0080e527c: 11093fd7  blraa	x8, x17
0xfffffff0080e5280: f70300aa  mov	x23, x0
0xfffffff0080e5284: dafb0736  tbz	w26, #0, #0xfffffff0080e51fc
0xfffffff0080e5288: dfffff17  b	#0xfffffff0080e5204
0xfffffff0080e528c: 48c4ffd0  adrp	x8, #0xfffffff00796f000
0xfffffff0080e5290: 169544f9  ldr	x22, [x8, #0x928]
0xfffffff0080e5294: 7cffff17  b	#0xfffffff0080e5084
0xfffffff0080e5298: 807cffd0  adrp	x0, #0xfffffff007077000
0xfffffff0080e529c: 00043591  add	x0, x0, #0xd41
0xfffffff0080e52a0: 817cffb0  adrp	x1, #0xfffffff007076000
0xfffffff0080e52a4: 21bc1e91  add	x1, x1, #0x7af
0xfffffff0080e52a8: c2268152  mov	w2, #0x936
0xfffffff0080e52ac: 5ae90e94  bl	#0xfffffff00849f814
0xfffffff0080e52b0: 807cffd0  adrp	x0, #0xfffffff007077000
0xfffffff0080e52b4: 000c1691  add	x0, x0, #0x583
0xfffffff0080e52b8: 817cffb0  adrp	x1, #0xfffffff007076000
0xfffffff0080e52bc: 21bc1e91  add	x1, x1, #0x7af
0xfffffff0080e52c0: e2268152  mov	w2, #0x937
0xfffffff0080e52c4: 54e90e94  bl	#0xfffffff00849f814
0xfffffff0080e52c8: 807cffd0  adrp	x0, #0xfffffff007077000
0xfffffff0080e52cc: 00401691  add	x0, x0, #0x590
0xfffffff0080e52d0: 817cffb0  adrp	x1, #0xfffffff007076000
0xfffffff0080e52d4: 21bc1e91  add	x1, x1, #0x7af
0xfffffff0080e52d8: 02278152  mov	w2, #0x938
0xfffffff0080e52dc: 4ee90e94  bl	#0xfffffff00849f814
0xfffffff0080e52e0: 807cffd0  adrp	x0, #0xfffffff007077000
0xfffffff0080e52e4: 00701691  add	x0, x0, #0x59c
0xfffffff0080e52e8: 817cffb0  adrp	x1, #0xfffffff007076000
0xfffffff0080e52ec: 21bc1e91  add	x1, x1, #0x7af
0xfffffff0080e52f0: 22278152  mov	w2, #0x939
0xfffffff0080e52f4: 48e90e94  bl	#0xfffffff00849f814
0xfffffff0080e52f8: 807cffd0  adrp	x0, #0xfffffff007077000
0xfffffff0080e52fc: 009c1691  add	x0, x0, #0x5a7
0xfffffff0080e5300: 817cffb0  adrp	x1, #0xfffffff007076000
0xfffffff0080e5304: 21bc1e91  add	x1, x1, #0x7af
0xfffffff0080e5308: 42278152  mov	w2, #0x93a
0xfffffff0080e530c: 42e90e94  bl	#0xfffffff00849f814
0xfffffff0080e5310: 807cffd0  adrp	x0, #0xfffffff007077000
0xfffffff0080e5314: 00401791  add	x0, x0, #0x5d0
