; Candidate 9398
; ADRP+ADD at VM 0xfffffff008a3ba98 (fileoff 0x1a37a98): page=0x1fe85e000 add_imm=0xe40

0xfffffff008a3ba18: 1801981a  csel	w24, w8, w24, eq
0xfffffff008a3ba1c: 900240f9  ldr	x16, [x20]
0xfffffff008a3ba20: f10314aa  mov	x17, x20
0xfffffff008a3ba24: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a3ba28: 301ac1da  autda	x16, x17
0xfffffff008a3ba2c: 113d80d2  mov	x17, #0x1e8
0xfffffff008a3ba30: 1002118b  add	x16, x16, x17
0xfffffff008a3ba34: 080240f9  ldr	x8, [x16]
0xfffffff008a3ba38: e90310aa  mov	x9, x16
0xfffffff008a3ba3c: e00314aa  mov	x0, x20
0xfffffff008a3ba40: 010080d2  mov	x1, #0
0xfffffff008a3ba44: f10309aa  mov	x17, x9
0xfffffff008a3ba48: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a3ba4c: 11093fd7  blraa	x8, x17
0xfffffff008a3ba50: 900240f9  ldr	x16, [x20]
0xfffffff008a3ba54: f10314aa  mov	x17, x20
0xfffffff008a3ba58: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a3ba5c: 301ac1da  autda	x16, x17
0xfffffff008a3ba60: 113d80d2  mov	x17, #0x1e8
0xfffffff008a3ba64: 1002118b  add	x16, x16, x17
0xfffffff008a3ba68: 080240f9  ldr	x8, [x16]
0xfffffff008a3ba6c: e90310aa  mov	x9, x16
0xfffffff008a3ba70: e00314aa  mov	x0, x20
0xfffffff008a3ba74: 010080d2  mov	x1, #0
0xfffffff008a3ba78: f10309aa  mov	x17, x9
0xfffffff008a3ba7c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a3ba80: 11093fd7  blraa	x8, x17
0xfffffff008a3ba84: e81f40b9  ldr	w8, [sp, #0x1c]
0xfffffff008a3ba88: 1543fff0  adrp	x21, #0xfffffff00729e000
0xfffffff008a3ba8c: b5da0e91  add	x21, x21, #0x3b6
0xfffffff008a3ba90: f5a300a9  stp	x21, x8, [sp, #8]
0xfffffff008a3ba94: e00300f9  str	x0, [sp]
0xfffffff008a3ba98: e042ffd0  adrp	x0, #0xfffffff007299000
0xfffffff008a3ba9c: 00003991  add	x0, x0, #0xe40
0xfffffff008a3baa0: 8180ff90  adrp	x1, #0xfffffff007a4b000
0xfffffff008a3baa4: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a3baa8: 2343ffd0  adrp	x3, #0xfffffff0072a1000
0xfffffff008a3baac: 63a81491  add	x3, x3, #0x52a
0xfffffff008a3bab0: 02028052  mov	w2, #0x10
0xfffffff008a3bab4: 9fdde397  bl	#0xfffffff008333130
0xfffffff008a3bab8: 900240f9  ldr	x16, [x20]
0xfffffff008a3babc: f10314aa  mov	x17, x20
0xfffffff008a3bac0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a3bac4: 301ac1da  autda	x16, x17
0xfffffff008a3bac8: f10310aa  mov	x17, x16
0xfffffff008a3bacc: f147c1da  xpacd	x17
0xfffffff008a3bad0: 1f0211eb  cmp	x16, x17
0xfffffff008a3bad4: 40000054  b.eq	#0xfffffff008a3badc
0xfffffff008a3bad8: 408e38d4  brk	#0xc472
0xfffffff008a3badc: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a3bae0: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a3bae4: e00314aa  mov	x0, x20
0xfffffff008a3bae8: 010080d2  mov	x1, #0
0xfffffff008a3baec: f10308aa  mov	x17, x8
0xfffffff008a3baf0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a3baf4: 31093fd7  blraa	x9, x17
0xfffffff008a3baf8: e81f40b9  ldr	w8, [sp, #0x1c]
0xfffffff008a3bafc: f5a300a9  stp	x21, x8, [sp, #8]
0xfffffff008a3bb00: e00300f9  str	x0, [sp]
0xfffffff008a3bb04: 0043fff0  adrp	x0, #0xfffffff00729e000
0xfffffff008a3bb08: 00480e91  add	x0, x0, #0x392
0xfffffff008a3bb0c: 456de497  bl	#0xfffffff008357020
0xfffffff008a3bb10: 700240f9  ldr	x16, [x19]
0xfffffff008a3bb14: f10313aa  mov	x17, x19
