; Candidate 8421
; ADRP+ADD at VM 0xfffffff0088a9b78 (fileoff 0x18a5b78): page=0x1fe940000 add_imm=0xe80

0xfffffff0088a9af8: fc0300aa  mov	x28, x0
0xfffffff0088a9afc: 00018052  mov	w0, #8
0xfffffff0088a9b00: 5447ff97  bl	#0xfffffff00887b850
0xfffffff0088a9b04: f5010034  cbz	w21, #0xfffffff0088a9b40
0xfffffff0088a9b08: 08835ef8  ldur	x8, [x24, #-0x18]
0xfffffff0088a9b0c: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff0088a9b10: 0a035fb8  ldur	w10, [x24, #-0x10]
0xfffffff0088a9b14: 0caf7f29  ldp	w12, w11, [x24, #-4]
0xfffffff0088a9b18: eb3305a9  stp	x11, x12, [sp, #0x50]
0xfffffff0088a9b1c: e82b04a9  stp	x8, x10, [sp, #0x40]
0xfffffff0088a9b20: e95f03a9  stp	x9, x23, [sp, #0x30]
0xfffffff0088a9b24: fa4f02a9  stp	x26, x19, [sp, #0x20]
0xfffffff0088a9b28: e06f01a9  stp	x0, x27, [sp, #0x10]
0xfffffff0088a9b2c: fc6700a9  stp	x28, x25, [sp]
0xfffffff0088a9b30: 404cffd0  adrp	x0, #0xfffffff007233000
0xfffffff0088a9b34: 00e00391  add	x0, x0, #0xf8
0xfffffff0088a9b38: 4a36d497  bl	#0xfffffff007db7460
0xfffffff0088a9b3c: 17000014  b	#0xfffffff0088a9b98
0xfffffff0088a9b40: 9b290094  bl	#0xfffffff0088b41ac
0xfffffff0088a9b44: f50300aa  mov	x21, x0
0xfffffff0088a9b48: 00018052  mov	w0, #8
0xfffffff0088a9b4c: 4147ff97  bl	#0xfffffff00887b850
0xfffffff0088a9b50: 08835ef8  ldur	x8, [x24, #-0x18]
0xfffffff0088a9b54: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff0088a9b58: 0a035fb8  ldur	w10, [x24, #-0x10]
0xfffffff0088a9b5c: 0caf7f29  ldp	w12, w11, [x24, #-4]
0xfffffff0088a9b60: eb3305a9  stp	x11, x12, [sp, #0x50]
0xfffffff0088a9b64: e82b04a9  stp	x8, x10, [sp, #0x40]
0xfffffff0088a9b68: e95f03a9  stp	x9, x23, [sp, #0x30]
0xfffffff0088a9b6c: fa4f02a9  stp	x26, x19, [sp, #0x20]
0xfffffff0088a9b70: e06f01a9  stp	x0, x27, [sp, #0x10]
0xfffffff0088a9b74: f56700a9  stp	x21, x25, [sp]
0xfffffff0088a9b78: 004aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a9b7c: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a9b80: e18afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a9b84: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a9b88: 02008052  mov	w2, #0
0xfffffff0088a9b8c: c34dffd0  adrp	x3, #0xfffffff007263000
0xfffffff0088a9b90: 63640691  add	x3, x3, #0x199
0xfffffff0088a9b94: 6725ea97  bl	#0xfffffff008333130
0xfffffff0088a9b98: f7060091  add	x23, x23, #1
0xfffffff0088a9b9c: 18830091  add	x24, x24, #0x20
0xfffffff0088a9ba0: df0217eb  cmp	x22, x23
0xfffffff0088a9ba4: a1f9ff54  b.ne	#0xfffffff0088a9ad8
0xfffffff0088a9ba8: 18008052  mov	w24, #0
0xfffffff0088a9bac: e83740f9  ldr	x8, [sp, #0x68]
0xfffffff0088a9bb0: 160100b9  str	w22, [x8]
0xfffffff0088a9bb4: f60308aa  mov	x22, x8
0xfffffff0088a9bb8: b7035af8  ldur	x23, [x29, #-0x60]
0xfffffff0088a9bbc: 23000014  b	#0xfffffff0088a9c48
0xfffffff0088a9bc0: 7b290094  bl	#0xfffffff0088b41ac
0xfffffff0088a9bc4: f80300aa  mov	x24, x0
0xfffffff0088a9bc8: 80008052  mov	w0, #4
0xfffffff0088a9bcc: 2147ff97  bl	#0xfffffff00887b850
0xfffffff0088a9bd0: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff0088a9bd4: e90317aa  mov	x9, x23
0xfffffff0088a9bd8: ea0314aa  mov	x10, x20
0xfffffff0088a9bdc: e9db04a9  stp	x9, x22, [sp, #0x48]
0xfffffff0088a9be0: e8ab03a9  stp	x8, x10, [sp, #0x38]
0xfffffff0088a9be4: 484cffd0  adrp	x8, #0xfffffff007233000
0xfffffff0088a9be8: 081d0391  add	x8, x8, #0xc7
0xfffffff0088a9bec: 49308052  mov	w9, #0x182
0xfffffff0088a9bf0: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088a9bf4: 484cffb0  adrp	x8, #0xfffffff007232000
