; Candidate 8417
; ADRP+ADD at VM 0xfffffff0088a9668 (fileoff 0x18a5668): page=0x1fe940000 add_imm=0xe80

0xfffffff0088a95e8: c1008052  mov	w1, #6
0xfffffff0088a95ec: 7948ff97  bl	#0xfffffff00887b7d0
0xfffffff0088a95f0: c0040034  cbz	w0, #0xfffffff0088a9688
0xfffffff0088a95f4: c00f8052  mov	w0, #0x7e
0xfffffff0088a95f8: 8848ff97  bl	#0xfffffff00887b818
0xfffffff0088a95fc: f60300aa  mov	x22, x0
0xfffffff0088a9600: eb2a0094  bl	#0xfffffff0088b41ac
0xfffffff0088a9604: f50300aa  mov	x21, x0
0xfffffff0088a9608: c0008052  mov	w0, #6
0xfffffff0088a960c: 9148ff97  bl	#0xfffffff00887b850
0xfffffff0088a9610: 76010034  cbz	w22, #0xfffffff0088a963c
0xfffffff0088a9614: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088a9618: 484cffb0  adrp	x8, #0xfffffff007232000
0xfffffff0088a961c: 08193e91  add	x8, x8, #0xf86
0xfffffff0088a9620: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a9624: c80f8052  mov	w8, #0x7e
0xfffffff0088a9628: f52300a9  stp	x21, x8, [sp]
0xfffffff0088a962c: 604bff90  adrp	x0, #0xfffffff007215000
0xfffffff0088a9630: 00a81591  add	x0, x0, #0x56a
0xfffffff0088a9634: 8b37d497  bl	#0xfffffff007db7460
0xfffffff0088a9638: 14000014  b	#0xfffffff0088a9688
0xfffffff0088a963c: dc2a0094  bl	#0xfffffff0088b41ac
0xfffffff0088a9640: f50300aa  mov	x21, x0
0xfffffff0088a9644: c0008052  mov	w0, #6
0xfffffff0088a9648: 8248ff97  bl	#0xfffffff00887b850
0xfffffff0088a964c: e80314aa  mov	x8, x20
0xfffffff0088a9650: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff0088a9654: 484cffb0  adrp	x8, #0xfffffff007232000
0xfffffff0088a9658: 08193e91  add	x8, x8, #0xf86
0xfffffff0088a965c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a9660: c80f8052  mov	w8, #0x7e
0xfffffff0088a9664: f52300a9  stp	x21, x8, [sp]
0xfffffff0088a9668: 004aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a966c: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a9670: e18afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a9674: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a9678: c34dffd0  adrp	x3, #0xfffffff007263000
0xfffffff0088a967c: 63ac0291  add	x3, x3, #0xab
0xfffffff0088a9680: 02008052  mov	w2, #0
0xfffffff0088a9684: ab26ea97  bl	#0xfffffff008333130
0xfffffff0088a9688: e00314aa  mov	x0, x20
0xfffffff0088a968c: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0088a9690: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0088a9694: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0088a9698: ffc30191  add	sp, sp, #0x70
0xfffffff0088a969c: ff0f5fd6  retab	
0xfffffff0088a96a0: 7f2303d5  pacibsp	
0xfffffff0088a96a4: ff8303d1  sub	sp, sp, #0xe0
0xfffffff0088a96a8: fc6f08a9  stp	x28, x27, [sp, #0x80]
0xfffffff0088a96ac: fa6709a9  stp	x26, x25, [sp, #0x90]
0xfffffff0088a96b0: f85f0aa9  stp	x24, x23, [sp, #0xa0]
0xfffffff0088a96b4: f6570ba9  stp	x22, x21, [sp, #0xb0]
0xfffffff0088a96b8: f44f0ca9  stp	x20, x19, [sp, #0xc0]
0xfffffff0088a96bc: fd7b0da9  stp	x29, x30, [sp, #0xd0]
0xfffffff0088a96c0: fd430391  add	x29, sp, #0xd0
0xfffffff0088a96c4: a4831af8  stur	x4, [x29, #-0x58]
0xfffffff0088a96c8: f60303aa  mov	x22, x3
0xfffffff0088a96cc: f70302aa  mov	x23, x2
0xfffffff0088a96d0: f40301aa  mov	x20, x1
0xfffffff0088a96d4: f30300aa  mov	x19, x0
0xfffffff0088a96d8: c00f8052  mov	w0, #0x7e
0xfffffff0088a96dc: e1008052  mov	w1, #7
0xfffffff0088a96e0: 3c48ff97  bl	#0xfffffff00887b7d0
0xfffffff0088a96e4: a0050034  cbz	w0, #0xfffffff0088a9798
