; Candidate 15819
; ADRP+ADD at VM 0xfffffff009d34ba0 (fileoff 0x2d30ba0): page=0x1fd93a000 add_imm=0xd95

0xfffffff009d34b20: 213840b9  ldr	w1, [x1, #0x38]
0xfffffff009d34b24: 42008052  mov	w2, #2
0xfffffff009d34b28: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009d34b2c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009d34b30: ff2303d5  autibsp	
0xfffffff009d34b34: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009d34b38: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009d34b40
0xfffffff009d34b3c: 208e38d4  brk	#0xc471
0xfffffff009d34b40: 62799a17  b	#0xfffffff0083d30c8
0xfffffff009d34b44: 5f2403d5  bti	c
0xfffffff009d34b48: 006c40f9  ldr	x0, [x0, #0xd8]
0xfffffff009d34b4c: c0035fd6  ret	
0xfffffff009d34b50: 7f2303d5  pacibsp	
0xfffffff009d34b54: ff0301d1  sub	sp, sp, #0x40
0xfffffff009d34b58: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff009d34b5c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009d34b60: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009d34b64: fdc30091  add	x29, sp, #0x30
0xfffffff009d34b68: f30300aa  mov	x19, x0
0xfffffff009d34b6c: 55340090  adrp	x21, #0xfffffff00a3bc000
0xfffffff009d34b70: b5421491  add	x21, x21, #0x510
0xfffffff009d34b74: a80240b9  ldr	w8, [x21]
0xfffffff009d34b78: d4c9fed0  adrp	x20, #0xfffffff00766e000
0xfffffff009d34b7c: 94a23691  add	x20, x20, #0xda8
0xfffffff009d34b80: c8000036  tbz	w8, #0, #0xfffffff009d34b98
0xfffffff009d34b84: f35300a9  stp	x19, x20, [sp]
0xfffffff009d34b88: c0c9fed0  adrp	x0, #0xfffffff00766e000
0xfffffff009d34b8c: 00543691  add	x0, x0, #0xd95
0xfffffff009d34b90: 70ea9c97  bl	#0xfffffff00846f550
0xfffffff009d34b94: a80240b9  ldr	w8, [x21]
0xfffffff009d34b98: a8000836  tbz	w8, #1, #0xfffffff009d34bac
0xfffffff009d34b9c: f35300a9  stp	x19, x20, [sp]
0xfffffff009d34ba0: c0c9fed0  adrp	x0, #0xfffffff00766e000
0xfffffff009d34ba4: 00543691  add	x0, x0, #0xd95
0xfffffff009d34ba8: 1e899897  bl	#0xfffffff008357020
0xfffffff009d34bac: 700240f9  ldr	x16, [x19]
0xfffffff009d34bb0: f10313aa  mov	x17, x19
0xfffffff009d34bb4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d34bb8: 301ac1da  autda	x16, x17
0xfffffff009d34bbc: 115e80d2  mov	x17, #0x2f0
0xfffffff009d34bc0: 1002118b  add	x16, x16, x17
0xfffffff009d34bc4: 080240f9  ldr	x8, [x16]
0xfffffff009d34bc8: e90310aa  mov	x9, x16
0xfffffff009d34bcc: e00313aa  mov	x0, x19
0xfffffff009d34bd0: 01008052  mov	w1, #0
0xfffffff009d34bd4: f10309aa  mov	x17, x9
0xfffffff009d34bd8: b1d8ebf2  movk	x17, #0x5ec5, lsl #48
0xfffffff009d34bdc: 11093fd7  blraa	x8, x17
0xfffffff009d34be0: 1f000071  cmp	w0, #0
0xfffffff009d34be4: 88578052  mov	w8, #0x2bc
0xfffffff009d34be8: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff009d34bec: e013881a  csel	w0, wzr, w8, ne
0xfffffff009d34bf0: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009d34bf4: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009d34bf8: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff009d34bfc: ff030191  add	sp, sp, #0x40
0xfffffff009d34c00: ff0f5fd6  retab	
0xfffffff009d34c04: 7f2303d5  pacibsp	
0xfffffff009d34c08: ff0301d1  sub	sp, sp, #0x40
0xfffffff009d34c0c: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff009d34c10: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009d34c14: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009d34c18: fdc30091  add	x29, sp, #0x30
0xfffffff009d34c1c: f30300aa  mov	x19, x0
