; Candidate 9385
; ADRP+ADD at VM 0xfffffff008a36a1c (fileoff 0x1a32a1c): page=0x1fe863000 add_imm=0xe40

0xfffffff008a3699c: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008a369a0: 16a50051  sub	w22, w8, #0x29
0xfffffff008a369a4: 700240f9  ldr	x16, [x19]
0xfffffff008a369a8: f10313aa  mov	x17, x19
0xfffffff008a369ac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a369b0: 301ac1da  autda	x16, x17
0xfffffff008a369b4: 113d80d2  mov	x17, #0x1e8
0xfffffff008a369b8: 1002118b  add	x16, x16, x17
0xfffffff008a369bc: 080240f9  ldr	x8, [x16]
0xfffffff008a369c0: e90310aa  mov	x9, x16
0xfffffff008a369c4: e00313aa  mov	x0, x19
0xfffffff008a369c8: 010080d2  mov	x1, #0
0xfffffff008a369cc: f10309aa  mov	x17, x9
0xfffffff008a369d0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a369d4: 11093fd7  blraa	x8, x17
0xfffffff008a369d8: 700240f9  ldr	x16, [x19]
0xfffffff008a369dc: f10313aa  mov	x17, x19
0xfffffff008a369e0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a369e4: 301ac1da  autda	x16, x17
0xfffffff008a369e8: 113d80d2  mov	x17, #0x1e8
0xfffffff008a369ec: 1002118b  add	x16, x16, x17
0xfffffff008a369f0: 080240f9  ldr	x8, [x16]
0xfffffff008a369f4: e90310aa  mov	x9, x16
0xfffffff008a369f8: e00313aa  mov	x0, x19
0xfffffff008a369fc: 010080d2  mov	x1, #0
0xfffffff008a36a00: f10309aa  mov	x17, x9
0xfffffff008a36a04: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a36a08: 11093fd7  blraa	x8, x17
0xfffffff008a36a0c: f45b01a9  stp	x20, x22, [sp, #0x10]
0xfffffff008a36a10: 5743ff90  adrp	x23, #0xfffffff00729e000
0xfffffff008a36a14: f7620591  add	x23, x23, #0x158
0xfffffff008a36a18: e05f00a9  stp	x0, x23, [sp]
0xfffffff008a36a1c: 0043fff0  adrp	x0, #0xfffffff007299000
0xfffffff008a36a20: 00003991  add	x0, x0, #0xe40
0xfffffff008a36a24: a180ffb0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a36a28: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a36a2c: 4343fff0  adrp	x3, #0xfffffff0072a1000
0xfffffff008a36a30: 63041291  add	x3, x3, #0x481
0xfffffff008a36a34: 02028052  mov	w2, #0x10
0xfffffff008a36a38: bef1e397  bl	#0xfffffff008333130
0xfffffff008a36a3c: 700240f9  ldr	x16, [x19]
0xfffffff008a36a40: f10313aa  mov	x17, x19
0xfffffff008a36a44: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a36a48: 301ac1da  autda	x16, x17
0xfffffff008a36a4c: f10310aa  mov	x17, x16
0xfffffff008a36a50: f147c1da  xpacd	x17
0xfffffff008a36a54: 1f0211eb  cmp	x16, x17
0xfffffff008a36a58: 40000054  b.eq	#0xfffffff008a36a60
0xfffffff008a36a5c: 408e38d4  brk	#0xc472
0xfffffff008a36a60: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a36a64: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a36a68: e00313aa  mov	x0, x19
0xfffffff008a36a6c: 010080d2  mov	x1, #0
0xfffffff008a36a70: f10308aa  mov	x17, x8
0xfffffff008a36a74: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a36a78: 31093fd7  blraa	x9, x17
0xfffffff008a36a7c: f45b01a9  stp	x20, x22, [sp, #0x10]
0xfffffff008a36a80: e05f00a9  stp	x0, x23, [sp]
0xfffffff008a36a84: 4043ff90  adrp	x0, #0xfffffff00729e000
0xfffffff008a36a88: 00440a91  add	x0, x0, #0x291
0xfffffff008a36a8c: 6581e497  bl	#0xfffffff008357020
0xfffffff008a36a90: 95eeffb5  cbnz	x21, #0xfffffff008a36860
0xfffffff008a36a94: 7dffff17  b	#0xfffffff008a36888
0xfffffff008a36a98: e00317aa  mov	x0, x23
