; Candidate 11450
; ADRP+ADD at VM 0xfffffff008f4df94 (fileoff 0x1f49f94): page=0x1fe4ce000 add_imm=0xe8b

0xfffffff008f4df14: 680000b4  cbz	x8, #0xfffffff008f4df20
0xfffffff008f4df18: 20008052  mov	w0, #1
0xfffffff008f4df1c: 26000014  b	#0xfffffff008f4dfb4
0xfffffff008f4df20: 740e40f9  ldr	x20, [x19, #0x18]
0xfffffff008f4df24: 700240f9  ldr	x16, [x19]
0xfffffff008f4df28: f10313aa  mov	x17, x19
0xfffffff008f4df2c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f4df30: 301ac1da  autda	x16, x17
0xfffffff008f4df34: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff008f4df38: e90310aa  mov	x9, x16
0xfffffff008f4df3c: e00313aa  mov	x0, x19
0xfffffff008f4df40: f10309aa  mov	x17, x9
0xfffffff008f4df44: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff008f4df48: 11093fd7  blraa	x8, x17
0xfffffff008f4df4c: 835ace97  bl	#0xfffffff0082e4958
0xfffffff008f4df50: 8826ff90  adrp	x8, #0xfffffff00741d000
0xfffffff008f4df54: 08311791  add	x8, x8, #0x5cc
0xfffffff008f4df58: 540200b4  cbz	x20, #0xfffffff008f4dfa0
0xfffffff008f4df5c: e02300a9  stp	x0, x8, [sp]
0xfffffff008f4df60: 8226ff90  adrp	x2, #0xfffffff00741d000
0xfffffff008f4df64: 42cc1791  add	x2, x2, #0x5f3
0xfffffff008f4df68: e00314aa  mov	x0, x20
0xfffffff008f4df6c: 21008052  mov	w1, #1
0xfffffff008f4df70: b5d94094  bl	#0xfffffff009f84644
0xfffffff008f4df74: 0f000014  b	#0xfffffff008f4dfb0
0xfffffff008f4df78: 098d42f8  ldr	x9, [x8, #0x28]!
0xfffffff008f4df7c: e00314aa  mov	x0, x20
0xfffffff008f4df80: f10308aa  mov	x17, x8
0xfffffff008f4df84: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008f4df88: 31093fd7  blraa	x9, x17
0xfffffff008f4df8c: 09000014  b	#0xfffffff008f4dfb0
0xfffffff008f4df90: e02300a9  stp	x0, x8, [sp]
0xfffffff008f4df94: 6026ffd0  adrp	x0, #0xfffffff00741b000
0xfffffff008f4df98: 002c3a91  add	x0, x0, #0xe8b
0xfffffff008f4df9c: 04000014  b	#0xfffffff008f4dfac
0xfffffff008f4dfa0: e02300a9  stp	x0, x8, [sp]
0xfffffff008f4dfa4: 8026ff90  adrp	x0, #0xfffffff00741d000
0xfffffff008f4dfa8: 00cc1791  add	x0, x0, #0x5f3
0xfffffff008f4dfac: 1d24d097  bl	#0xfffffff008357020
0xfffffff008f4dfb0: 00008052  mov	w0, #0
0xfffffff008f4dfb4: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff008f4dfb8: a95eff90  adrp	x9, #0xfffffff007b21000
0xfffffff008f4dfbc: 297544f9  ldr	x9, [x9, #0x8e8]
0xfffffff008f4dfc0: 290140f9  ldr	x9, [x9]
0xfffffff008f4dfc4: 3f0108eb  cmp	x9, x8
0xfffffff008f4dfc8: c1000054  b.ne	#0xfffffff008f4dfe0
0xfffffff008f4dfcc: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008f4dfd0: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008f4dfd4: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008f4dfd8: ff830191  add	sp, sp, #0x60
0xfffffff008f4dfdc: ff0f5fd6  retab	
0xfffffff008f4dfe0: 9b3fb897  bl	#0xfffffff007d5de4c
0xfffffff008f4dfe4: 7f2303d5  pacibsp	
0xfffffff008f4dfe8: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff008f4dfec: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008f4dff0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008f4dff4: fd830091  add	x29, sp, #0x20
0xfffffff008f4dff8: f30301aa  mov	x19, x1
0xfffffff008f4dffc: f60300aa  mov	x22, x0
0xfffffff008f4e000: 885efff0  adrp	x8, #0xfffffff007b21000
0xfffffff008f4e004: 083144f9  ldr	x8, [x8, #0x860]
0xfffffff008f4e008: 150140f9  ldr	x21, [x8]
0xfffffff008f4e00c: e00302aa  mov	x0, x2
0xfffffff008f4e010: e10315aa  mov	x1, x21
