; Candidate 7646
; ADRP+ADD at VM 0xfffffff0088763a8 (fileoff 0x18723a8): page=0x1fe973000 add_imm=0xe80

0xfffffff008876328: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff00887632c: 08148052  mov	w8, #0xa0
0xfffffff008876330: e94cff90  adrp	x9, #0xfffffff007212000
0xfffffff008876334: 29213591  add	x9, x9, #0xd48
0xfffffff008876338: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00887633c: a84dffb0  adrp	x8, #0xfffffff00722b000
0xfffffff008876340: 08250691  add	x8, x8, #0x189
0xfffffff008876344: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008876348: 680b8052  mov	w8, #0x5b
0xfffffff00887634c: a04dff90  adrp	x0, #0xfffffff00722a000
0xfffffff008876350: 00e83b91  add	x0, x0, #0xefa
0xfffffff008876354: f52300a9  stp	x21, x8, [sp]
0xfffffff008876358: 4204d597  bl	#0xfffffff007db7460
0xfffffff00887635c: 1b000014  b	#0xfffffff0088763c8
0xfffffff008876360: 93f70094  bl	#0xfffffff0088b41ac
0xfffffff008876364: f50300aa  mov	x21, x0
0xfffffff008876368: 80008052  mov	w0, #4
0xfffffff00887636c: 39150094  bl	#0xfffffff00887b850
0xfffffff008876370: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008876374: e85304a9  stp	x8, x20, [sp, #0x40]
0xfffffff008876378: a84dff90  adrp	x8, #0xfffffff00722a000
0xfffffff00887637c: 08d13c91  add	x8, x8, #0xf34
0xfffffff008876380: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008876384: 08148052  mov	w8, #0xa0
0xfffffff008876388: e94cff90  adrp	x9, #0xfffffff007212000
0xfffffff00887638c: 29213591  add	x9, x9, #0xd48
0xfffffff008876390: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008876394: a84dffb0  adrp	x8, #0xfffffff00722b000
0xfffffff008876398: 08250691  add	x8, x8, #0x189
0xfffffff00887639c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088763a0: 680b8052  mov	w8, #0x5b
0xfffffff0088763a4: f52300a9  stp	x21, x8, [sp]
0xfffffff0088763a8: 804bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088763ac: 00003a91  add	x0, x0, #0xe80
0xfffffff0088763b0: 818cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088763b4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088763b8: 034ffff0  adrp	x3, #0xfffffff007259000
0xfffffff0088763bc: 63482c91  add	x3, x3, #0xb12
0xfffffff0088763c0: 02008052  mov	w2, #0
0xfffffff0088763c4: 5bf3ea97  bl	#0xfffffff008333130
0xfffffff0088763c8: 347d8012  mov	w20, #-0x3ea
0xfffffff0088763cc: 600b8052  mov	w0, #0x5b
0xfffffff0088763d0: c1008052  mov	w1, #6
0xfffffff0088763d4: ff140094  bl	#0xfffffff00887b7d0
0xfffffff0088763d8: e0050034  cbz	w0, #0xfffffff008876494
0xfffffff0088763dc: 600b8052  mov	w0, #0x5b
0xfffffff0088763e0: 0e150094  bl	#0xfffffff00887b818
0xfffffff0088763e4: f60300aa  mov	x22, x0
0xfffffff0088763e8: 71f70094  bl	#0xfffffff0088b41ac
0xfffffff0088763ec: f50300aa  mov	x21, x0
0xfffffff0088763f0: c0008052  mov	w0, #6
0xfffffff0088763f4: 17150094  bl	#0xfffffff00887b850
0xfffffff0088763f8: 16020034  cbz	w22, #0xfffffff008876438
0xfffffff0088763fc: e80314aa  mov	x8, x20
0xfffffff008876400: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff008876404: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff008876408: e84cff90  adrp	x8, #0xfffffff007212000
0xfffffff00887640c: 08213591  add	x8, x8, #0xd48
0xfffffff008876410: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008876414: a84dffb0  adrp	x8, #0xfffffff00722b000
0xfffffff008876418: 08250691  add	x8, x8, #0x189
0xfffffff00887641c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008876420: 680b8052  mov	w8, #0x5b
0xfffffff008876424: c04cfff0  adrp	x0, #0xfffffff007211000
