; Candidate 5998
; ADRP+ADD at VM 0xfffffff00880e188 (fileoff 0x180a188): page=0x1fe9db000 add_imm=0xe80

0xfffffff00880e108: fb0300aa  mov	x27, x0
0xfffffff00880e10c: 80008052  mov	w0, #4
0xfffffff00880e110: d0b50194  bl	#0xfffffff00887b850
0xfffffff00880e114: dc0b0034  cbz	w28, #0xfffffff00880e28c
0xfffffff00880e118: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff00880e11c: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff00880e120: 0850ffd0  adrp	x8, #0xfffffff007210000
0xfffffff00880e124: 08b92791  add	x8, x8, #0x9ee
0xfffffff00880e128: 09278052  mov	w9, #0x138
0xfffffff00880e12c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00880e130: 6850ffb0  adrp	x8, #0xfffffff00721b000
0xfffffff00880e134: 08c93b91  add	x8, x8, #0xef2
0xfffffff00880e138: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00880e13c: 880e8052  mov	w8, #0x74
0xfffffff00880e140: 6050ffb0  adrp	x0, #0xfffffff00721b000
0xfffffff00880e144: 00843d91  add	x0, x0, #0xf61
0xfffffff00880e148: fb2300a9  stp	x27, x8, [sp]
0xfffffff00880e14c: c5a4d697  bl	#0xfffffff007db7460
0xfffffff00880e150: 66000014  b	#0xfffffff00880e2e8
0xfffffff00880e154: 16980294  bl	#0xfffffff0088b41ac
0xfffffff00880e158: f90300aa  mov	x25, x0
0xfffffff00880e15c: e0008052  mov	w0, #7
0xfffffff00880e160: bcb50194  bl	#0xfffffff00887b850
0xfffffff00880e164: f76304a9  stp	x23, x24, [sp, #0x40]
0xfffffff00880e168: e80316aa  mov	x8, x22
0xfffffff00880e16c: f52303a9  stp	x21, x8, [sp, #0x30]
0xfffffff00880e170: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00880e174: 6850ffb0  adrp	x8, #0xfffffff00721b000
0xfffffff00880e178: 08c93b91  add	x8, x8, #0xef2
0xfffffff00880e17c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00880e180: 880e8052  mov	w8, #0x74
0xfffffff00880e184: f92300a9  stp	x25, x8, [sp]
0xfffffff00880e188: c04efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00880e18c: 00003a91  add	x0, x0, #0xe80
0xfffffff00880e190: c18fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00880e194: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880e198: c351ffb0  adrp	x3, #0xfffffff007247000
0xfffffff00880e19c: 63880091  add	x3, x3, #0x22
0xfffffff00880e1a0: 02008052  mov	w2, #0
0xfffffff00880e1a4: e393ec97  bl	#0xfffffff008333130
0xfffffff00880e1a8: f3f6ffb5  cbnz	x19, #0xfffffff00880e084
0xfffffff00880e1ac: c00e8052  mov	w0, #0x76
0xfffffff00880e1b0: 81008052  mov	w1, #4
0xfffffff00880e1b4: 87b50194  bl	#0xfffffff00887b7d0
0xfffffff00880e1b8: e0020034  cbz	w0, #0xfffffff00880e214
0xfffffff00880e1bc: c00e8052  mov	w0, #0x76
0xfffffff00880e1c0: 96b50194  bl	#0xfffffff00887b818
0xfffffff00880e1c4: fa0300aa  mov	x26, x0
0xfffffff00880e1c8: f9970294  bl	#0xfffffff0088b41ac
0xfffffff00880e1cc: f90300aa  mov	x25, x0
0xfffffff00880e1d0: 80008052  mov	w0, #4
0xfffffff00880e1d4: 9fb50194  bl	#0xfffffff00887b850
0xfffffff00880e1d8: 9a020034  cbz	w26, #0xfffffff00880e228
0xfffffff00880e1dc: f56304a9  stp	x21, x24, [sp, #0x40]
0xfffffff00880e1e0: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff00880e1e4: 6850ffb0  adrp	x8, #0xfffffff00721b000
0xfffffff00880e1e8: 08353c91  add	x8, x8, #0xf0d
0xfffffff00880e1ec: e9258052  mov	w9, #0x12f
0xfffffff00880e1f0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00880e1f4: 6850ffb0  adrp	x8, #0xfffffff00721b000
0xfffffff00880e1f8: 08c93b91  add	x8, x8, #0xef2
0xfffffff00880e1fc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00880e200: c80e8052  mov	w8, #0x76
0xfffffff00880e204: 2050fff0  adrp	x0, #0xfffffff007215000
