; Candidate 8857
; ADRP+ADD at VM 0xfffffff0088df794 (fileoff 0x18db794): page=0x1fe98c000 add_imm=0xe4d

0xfffffff0088df714: a8000054  b.hi	#0xfffffff0088df728
0xfffffff0088df718: a889ffb0  adrp	x8, #0xfffffff007a14000
0xfffffff0088df71c: 08e13c91  add	x8, x8, #0xf38
0xfffffff0088df720: 00d961f8  ldr	x0, [x8, w1, sxtw #3]
0xfffffff0088df724: c0035fd6  ret	
0xfffffff0088df728: 604cff90  adrp	x0, #0xfffffff00726b000
0xfffffff0088df72c: 00503b91  add	x0, x0, #0xed4
0xfffffff0088df730: c0035fd6  ret	
0xfffffff0088df734: 7f2303d5  pacibsp	
0xfffffff0088df738: ff0301d1  sub	sp, sp, #0x40
0xfffffff0088df73c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0088df740: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0088df744: fdc30091  add	x29, sp, #0x30
0xfffffff0088df748: f30301aa  mov	x19, x1
0xfffffff0088df74c: f40300aa  mov	x20, x0
0xfffffff0088df750: 100040f9  ldr	x16, [x0]
0xfffffff0088df754: f10300aa  mov	x17, x0
0xfffffff0088df758: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088df75c: 301ac1da  autda	x16, x17
0xfffffff0088df760: 113d80d2  mov	x17, #0x1e8
0xfffffff0088df764: 1002118b  add	x16, x16, x17
0xfffffff0088df768: 080240f9  ldr	x8, [x16]
0xfffffff0088df76c: e90310aa  mov	x9, x16
0xfffffff0088df770: 010080d2  mov	x1, #0
0xfffffff0088df774: f10309aa  mov	x17, x9
0xfffffff0088df778: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088df77c: 11093fd7  blraa	x8, x17
0xfffffff0088df780: e803132a  mov	w8, w19
0xfffffff0088df784: 694cff90  adrp	x9, #0xfffffff00726b000
0xfffffff0088df788: 295d3991  add	x9, x9, #0xe57
0xfffffff0088df78c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0088df790: e00300f9  str	x0, [sp]
0xfffffff0088df794: 604cff90  adrp	x0, #0xfffffff00726b000
0xfffffff0088df798: 00343991  add	x0, x0, #0xe4d
0xfffffff0088df79c: 21dee997  bl	#0xfffffff008357020
0xfffffff0088df7a0: 900240f9  ldr	x16, [x20]
0xfffffff0088df7a4: f10314aa  mov	x17, x20
0xfffffff0088df7a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088df7ac: 301ac1da  autda	x16, x17
0xfffffff0088df7b0: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff0088df7b4: e90310aa  mov	x9, x16
0xfffffff0088df7b8: 614cff90  adrp	x1, #0xfffffff00726b000
0xfffffff0088df7bc: 219c3991  add	x1, x1, #0xe67
0xfffffff0088df7c0: e00314aa  mov	x0, x20
0xfffffff0088df7c4: e20313aa  mov	x2, x19
0xfffffff0088df7c8: f10309aa  mov	x17, x9
0xfffffff0088df7cc: d145e2f2  movk	x17, #0x122e, lsl #48
0xfffffff0088df7d0: 11093fd7  blraa	x8, x17
0xfffffff0088df7d4: 00008052  mov	w0, #0
0xfffffff0088df7d8: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0088df7dc: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0088df7e0: ff030191  add	sp, sp, #0x40
0xfffffff0088df7e4: ff0f5fd6  retab	
0xfffffff0088df7e8: 7f2303d5  pacibsp	
0xfffffff0088df7ec: ff0301d1  sub	sp, sp, #0x40
0xfffffff0088df7f0: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0088df7f4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0088df7f8: fdc30091  add	x29, sp, #0x30
0xfffffff0088df7fc: f30301aa  mov	x19, x1
0xfffffff0088df800: f40300aa  mov	x20, x0
0xfffffff0088df804: 100040f9  ldr	x16, [x0]
0xfffffff0088df808: f10300aa  mov	x17, x0
0xfffffff0088df80c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088df810: 301ac1da  autda	x16, x17
