; Candidate 10988
; ADRP+ADD at VM 0xfffffff008df04c0 (fileoff 0x1dec4c0): page=0x1fe5d4000 add_imm=0xe15

0xfffffff008df0440: 75ffff97  bl	#0xfffffff008df0214
0xfffffff008df0444: 7f020071  cmp	w19, #0
0xfffffff008df0448: c8088052  mov	w8, #0x46
0xfffffff008df044c: 49018052  mov	w9, #0xa
0xfffffff008df0450: 2801881a  csel	w8, w9, w8, eq
0xfffffff008df0454: e9466c39  ldrb	w9, [x23, #0xb11]
0xfffffff008df0458: 1f01096b  cmp	w8, w9
0xfffffff008df045c: 03010054  b.lo	#0xfffffff008df047c
0xfffffff008df0460: e80313aa  mov	x8, x19
0xfffffff008df0464: 087d4093  sxtw	x8, w8
0xfffffff008df0468: f65700a9  stp	x22, x21, [sp]
0xfffffff008df046c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008df0470: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df0474: 00503591  add	x0, x0, #0xd54
0xfffffff008df0478: ea9ad597  bl	#0xfffffff008357020
0xfffffff008df047c: e00313aa  mov	x0, x19
0xfffffff008df0480: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008df0484: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008df0488: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008df048c: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008df0490: ffc30191  add	sp, sp, #0x70
0xfffffff008df0494: ff0f5fd6  retab	
0xfffffff008df0498: a80b8052  mov	w8, #0x5d
0xfffffff008df049c: a92eff90  adrp	x9, #0xfffffff0073c4000
0xfffffff008df04a0: 29593991  add	x9, x9, #0xe56
0xfffffff008df04a4: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008df04a8: a82eff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008df04ac: 08493991  add	x8, x8, #0xe52
0xfffffff008df04b0: aa2eff90  adrp	x10, #0xfffffff0073c4000
0xfffffff008df04b4: 4a1d3991  add	x10, x10, #0xe47
0xfffffff008df04b8: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008df04bc: ea0300f9  str	x10, [sp]
0xfffffff008df04c0: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df04c4: 00543891  add	x0, x0, #0xe15
0xfffffff008df04c8: d69ad597  bl	#0xfffffff008357020
0xfffffff008df04cc: c8088052  mov	w8, #0x46
0xfffffff008df04d0: 53008012  mov	w19, #-3
0xfffffff008df04d4: e0ffff17  b	#0xfffffff008df0454
0xfffffff008df04d8: f30300aa  mov	x19, x0
0xfffffff008df04dc: 687e4093  sxtw	x8, w19
0xfffffff008df04e0: 090c8052  mov	w9, #0x60
0xfffffff008df04e4: aa2eff90  adrp	x10, #0xfffffff0073c4000
0xfffffff008df04e8: 4a593991  add	x10, x10, #0xe56
0xfffffff008df04ec: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008df04f0: a92eff90  adrp	x9, #0xfffffff0073c4000
0xfffffff008df04f4: 29493991  add	x9, x9, #0xe52
0xfffffff008df04f8: ab2eff90  adrp	x11, #0xfffffff0073c4000
0xfffffff008df04fc: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008df0500: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008df0504: eb0300f9  str	x11, [sp]
0xfffffff008df0508: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df050c: 00543891  add	x0, x0, #0xe15
0xfffffff008df0510: c49ad597  bl	#0xfffffff008357020
0xfffffff008df0514: c8ffff17  b	#0xfffffff008df0434
0xfffffff008df0518: 7f2303d5  pacibsp	
0xfffffff008df051c: ff8301d1  sub	sp, sp, #0x60
0xfffffff008df0520: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008df0524: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008df0528: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008df052c: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008df0530: fd430191  add	x29, sp, #0x50
0xfffffff008df0534: f30302aa  mov	x19, x2
0xfffffff008df0538: f40301aa  mov	x20, x1
0xfffffff008df053c: f50300aa  mov	x21, x0
