; Candidate 12486
; ADRP+ADD at VM 0xfffffff0090a7654 (fileoff 0x20a3654): page=0x1fe3b2000 add_imm=0xe24

0xfffffff0090a75d4: e3e30091  add	x3, sp, #0x38
0xfffffff0090a75d8: e4c30091  add	x4, sp, #0x30
0xfffffff0090a75dc: e00317aa  mov	x0, x23
0xfffffff0090a75e0: e10316aa  mov	x1, x22
0xfffffff0090a75e4: 42008052  mov	w2, #2
0xfffffff0090a75e8: 04010094  bl	#0xfffffff0090a79f8
0xfffffff0090a75ec: f70300aa  mov	x23, x0
0xfffffff0090a75f0: 60100035  cbnz	w0, #0xfffffff0090a77fc
0xfffffff0090a75f4: e11f40f9  ldr	x1, [sp, #0x38]
0xfffffff0090a75f8: 48018052  mov	w8, #0xa
0xfffffff0090a75fc: e10100b4  cbz	x1, #0xfffffff0090a7638
0xfffffff0090a7600: e21b40f9  ldr	x2, [sp, #0x30]
0xfffffff0090a7604: a20100b4  cbz	x2, #0xfffffff0090a7638
0xfffffff0090a7608: b80b00b4  cbz	x24, #0xfffffff0090a777c
0xfffffff0090a760c: 000340f9  ldr	x0, [x24]
0xfffffff0090a7610: 600b00b4  cbz	x0, #0xfffffff0090a777c
0xfffffff0090a7614: 080f40f9  ldr	x8, [x24, #0x18]
0xfffffff0090a7618: 280b00b4  cbz	x8, #0xfffffff0090a777c
0xfffffff0090a761c: 030740f9  ldr	x3, [x24, #8]
0xfffffff0090a7620: 041340b9  ldr	w4, [x24, #0x10]
0xfffffff0090a7624: 51a697d2  mov	x17, #0xbd32
0xfffffff0090a7628: 11093fd7  blraa	x8, x17
0xfffffff0090a762c: f70300aa  mov	x23, x0
0xfffffff0090a7630: e0100035  cbnz	w0, #0xfffffff0090a784c
0xfffffff0090a7634: 48018052  mov	w8, #0xa
0xfffffff0090a7638: 69034039  ldrb	w9, [x27]
0xfffffff0090a763c: 1f01096b  cmp	w8, w9
0xfffffff0090a7640: 03010054  b.lo	#0xfffffff0090a7660
0xfffffff0090a7644: e80317aa  mov	x8, x23
0xfffffff0090a7648: 087d4093  sxtw	x8, w8
0xfffffff0090a764c: fc6700a9  stp	x28, x25, [sp]
0xfffffff0090a7650: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090a7654: 801dffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090a7658: 00903891  add	x0, x0, #0xe24
0xfffffff0090a765c: 71beca97  bl	#0xfffffff008357020
0xfffffff0090a7660: 570d0035  cbnz	w23, #0xfffffff0090a7808
0xfffffff0090a7664: e01740f9  ldr	x0, [sp, #0x28]
0xfffffff0090a7668: e10316aa  mov	x1, x22
0xfffffff0090a766c: e20315aa  mov	x2, x21
0xfffffff0090a7670: e30314aa  mov	x3, x20
0xfffffff0090a7674: e40313aa  mov	x4, x19
0xfffffff0090a7678: e0000094  bl	#0xfffffff0090a79f8
0xfffffff0090a767c: f70300aa  mov	x23, x0
0xfffffff0090a7680: e0050035  cbnz	w0, #0xfffffff0090a773c
0xfffffff0090a7684: 48018052  mov	w8, #0xa
0xfffffff0090a7688: 69034039  ldrb	w9, [x27]
0xfffffff0090a768c: 1f01096b  cmp	w8, w9
0xfffffff0090a7690: 43010054  b.lo	#0xfffffff0090a76b8
0xfffffff0090a7694: e80317aa  mov	x8, x23
0xfffffff0090a7698: 087d4093  sxtw	x8, w8
0xfffffff0090a769c: a91dffd0  adrp	x9, #0xfffffff00745d000
0xfffffff0090a76a0: 29413c91  add	x9, x9, #0xf10
0xfffffff0090a76a4: e96b00a9  stp	x9, x26, [sp]
0xfffffff0090a76a8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090a76ac: 801dffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090a76b0: 00903891  add	x0, x0, #0xe24
0xfffffff0090a76b4: 5bbeca97  bl	#0xfffffff008357020
0xfffffff0090a76b8: e00317aa  mov	x0, x23
0xfffffff0090a76bc: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0090a76c0: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0090a76c4: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0090a76c8: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0090a76cc: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff0090a76d0: fc6f44a9  ldp	x28, x27, [sp, #0x40]
