; Candidate 12813
; ADRP+ADD at VM 0xfffffff00915e090 (fileoff 0x215a090): page=0x1fe32c000 add_imm=0xe17

0xfffffff00915e010: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00915e014: fd830091  add	x29, sp, #0x20
0xfffffff00915e018: f40301aa  mov	x20, x1
0xfffffff00915e01c: f30300aa  mov	x19, x0
0xfffffff00915e020: 0850ff90  adrp	x8, #0xfffffff007b5e000
0xfffffff00915e024: 083141f9  ldr	x8, [x8, #0x260]
0xfffffff00915e028: 09010b91  add	x9, x8, #0x2c0
0xfffffff00915e02c: 086141f9  ldr	x8, [x8, #0x2c0]
0xfffffff00915e030: f10309aa  mov	x17, x9
0xfffffff00915e034: 118de7f2  movk	x17, #0x3c68, lsl #48
0xfffffff00915e038: 11093fd7  blraa	x8, x17
0xfffffff00915e03c: 40010036  tbz	w0, #0, #0xfffffff00915e064
0xfffffff00915e040: 0850ffd0  adrp	x8, #0xfffffff007b60000
0xfffffff00915e044: 08610291  add	x8, x8, #0x98
0xfffffff00915e048: 010140f9  ldr	x1, [x8]
0xfffffff00915e04c: e00314aa  mov	x0, x20
0xfffffff00915e050: 2917c697  bl	#0xfffffff0082e3cf4
0xfffffff00915e054: 606e00f9  str	x0, [x19, #0xd8]
0xfffffff00915e058: 400200b4  cbz	x0, #0xfffffff00915e0a0
0xfffffff00915e05c: 20008052  mov	w0, #1
0xfffffff00915e060: 3d000014  b	#0xfffffff00915e154
0xfffffff00915e064: b38d00f0  adrp	x19, #0xfffffff00a315000
0xfffffff00915e068: 73d21f91  add	x19, x19, #0x7f4
0xfffffff00915e06c: 68024039  ldrb	w8, [x19]
0xfffffff00915e070: 28040036  tbz	w8, #0, #0xfffffff00915e0f4
0xfffffff00915e074: a88d00f0  adrp	x8, #0xfffffff00a315000
0xfffffff00915e078: 08611e91  add	x8, x8, #0x798
0xfffffff00915e07c: 08014039  ldrb	w8, [x8]
0xfffffff00915e080: e8020034  cbz	w8, #0xfffffff00915e0dc
0xfffffff00915e084: 4819ffb0  adrp	x8, #0xfffffff007487000
0xfffffff00915e088: 08751b91  add	x8, x8, #0x6dd
0xfffffff00915e08c: e80300f9  str	x8, [sp]
0xfffffff00915e090: 6019ff90  adrp	x0, #0xfffffff00748a000
0xfffffff00915e094: 005c3891  add	x0, x0, #0xe17
0xfffffff00915e098: f264b197  bl	#0xfffffff007db7460
0xfffffff00915e09c: 16000014  b	#0xfffffff00915e0f4
0xfffffff00915e0a0: b38d00f0  adrp	x19, #0xfffffff00a315000
0xfffffff00915e0a4: 73d21f91  add	x19, x19, #0x7f4
0xfffffff00915e0a8: 68024039  ldrb	w8, [x19]
0xfffffff00915e0ac: e8030036  tbz	w8, #0, #0xfffffff00915e128
0xfffffff00915e0b0: a88d00f0  adrp	x8, #0xfffffff00a315000
0xfffffff00915e0b4: 08611e91  add	x8, x8, #0x798
0xfffffff00915e0b8: 08014039  ldrb	w8, [x8]
0xfffffff00915e0bc: a8020034  cbz	w8, #0xfffffff00915e110
0xfffffff00915e0c0: 4819ffb0  adrp	x8, #0xfffffff007487000
0xfffffff00915e0c4: 08751b91  add	x8, x8, #0x6dd
0xfffffff00915e0c8: e80300f9  str	x8, [sp]
0xfffffff00915e0cc: 6019ff90  adrp	x0, #0xfffffff00748a000
0xfffffff00915e0d0: 00303991  add	x0, x0, #0xe4c
0xfffffff00915e0d4: e364b197  bl	#0xfffffff007db7460
0xfffffff00915e0d8: 14000014  b	#0xfffffff00915e128
0xfffffff00915e0dc: 4819ffb0  adrp	x8, #0xfffffff007487000
0xfffffff00915e0e0: 08751b91  add	x8, x8, #0x6dd
0xfffffff00915e0e4: e80300f9  str	x8, [sp]
0xfffffff00915e0e8: 6019ff90  adrp	x0, #0xfffffff00748a000
0xfffffff00915e0ec: 005c3891  add	x0, x0, #0xe17
0xfffffff00915e0f0: 1845cc97  bl	#0xfffffff00846f550
0xfffffff00915e0f4: 68024039  ldrb	w8, [x19]
0xfffffff00915e0f8: c8020836  tbz	w8, #1, #0xfffffff00915e150
0xfffffff00915e0fc: 68bfb597  bl	#0xfffffff007ecde9c
0xfffffff00915e100: a0020034  cbz	w0, #0xfffffff00915e154
0xfffffff00915e104: 6019ff90  adrp	x0, #0xfffffff00748a000
0xfffffff00915e108: 005c3891  add	x0, x0, #0xe17
0xfffffff00915e10c: 0d000014  b	#0xfffffff00915e140
