; Candidate 13540
; ADRP+ADD at VM 0xfffffff009385c88 (fileoff 0x2381c88): page=0x1fe83e000 add_imm=0xde0

0xfffffff009385c08: 10621d91  add	x16, x16, #0x758
0xfffffff009385c0c: 10420091  add	x16, x16, #0x10
0xfffffff009385c10: f10300aa  mov	x17, x0
0xfffffff009385c14: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009385c18: 300ac1da  pacda	x16, x17
0xfffffff009385c1c: 100000f9  str	x16, [x0]
0xfffffff009385c20: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009385c24: ff0f5fd6  retab	
0xfffffff009385c28: 5f2403d5  bti	c
0xfffffff009385c2c: 17611914  b	#0xfffffff0099de088
0xfffffff009385c30: 5f2403d5  bti	c
0xfffffff009385c34: 15611914  b	#0xfffffff0099de088
0xfffffff009385c38: 7f2303d5  pacibsp	
0xfffffff009385c3c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009385c40: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009385c44: fd430091  add	x29, sp, #0x10
0xfffffff009385c48: f30300aa  mov	x19, x0
0xfffffff009385c4c: 0f611994  bl	#0xfffffff0099de088
0xfffffff009385c50: e041ffd0  adrp	x0, #0xfffffff007bc3000
0xfffffff009385c54: 00803791  add	x0, x0, #0xde0
0xfffffff009385c58: e10313aa  mov	x1, x19
0xfffffff009385c5c: 02298052  mov	w2, #0x148
0xfffffff009385c60: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009385c64: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009385c68: ff2303d5  autibsp	
0xfffffff009385c6c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009385c70: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009385c78
0xfffffff009385c74: 208e38d4  brk	#0xc471
0xfffffff009385c78: 8986bd17  b	#0xfffffff0082e769c
0xfffffff009385c7c: 5f2403d5  bti	c
0xfffffff009385c80: e20301aa  mov	x2, x1
0xfffffff009385c84: e10300aa  mov	x1, x0
0xfffffff009385c88: e041ffd0  adrp	x0, #0xfffffff007bc3000
0xfffffff009385c8c: 00803791  add	x0, x0, #0xde0
0xfffffff009385c90: 8386bd17  b	#0xfffffff0082e769c
0xfffffff009385c94: 5f2403d5  bti	c
0xfffffff009385c98: c07f00f0  adrp	x0, #0xfffffff00a380000
0xfffffff009385c9c: 00600391  add	x0, x0, #0xd8
0xfffffff009385ca0: c0035fd6  ret	
0xfffffff009385ca4: 7f2303d5  pacibsp	
0xfffffff009385ca8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009385cac: fd030091  mov	x29, sp
0xfffffff009385cb0: c10bff90  adrp	x1, #0xfffffff0074fd000
0xfffffff009385cb4: 215c3591  add	x1, x1, #0xd57
0xfffffff009385cb8: e241ffb0  adrp	x2, #0xfffffff007bc2000
0xfffffff009385cbc: 424443f9  ldr	x2, [x2, #0x688]
0xfffffff009385cc0: 03298052  mov	w3, #0x148
0xfffffff009385cc4: 9d77bd97  bl	#0xfffffff0082e3b38
0xfffffff009385cc8: f041ffb0  adrp	x16, #0xfffffff007bc2000
0xfffffff009385ccc: 10623991  add	x16, x16, #0xe58
0xfffffff009385cd0: 10420091  add	x16, x16, #0x10
0xfffffff009385cd4: f10300aa  mov	x17, x0
0xfffffff009385cd8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009385cdc: 300ac1da  pacda	x16, x17
0xfffffff009385ce0: 100000f9  str	x16, [x0]
0xfffffff009385ce4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009385ce8: ff0f5fd6  retab	
0xfffffff009385cec: 7f2303d5  pacibsp	
0xfffffff009385cf0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009385cf4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009385cf8: fd430091  add	x29, sp, #0x10
0xfffffff009385cfc: e041ffd0  adrp	x0, #0xfffffff007bc3000
0xfffffff009385d00: 00803791  add	x0, x0, #0xde0
0xfffffff009385d04: 01298052  mov	w1, #0x148
