; Candidate 5550
; ADRP+ADD at VM 0xfffffff0087f7bc0 (fileoff 0x17f3bc0): page=0x1fe9f2000 add_imm=0xe80

0xfffffff0087f7b40: 63c81491  add	x3, x3, #0x532
0xfffffff0087f7b44: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f7b48: f40300f9  str	x20, [sp]
0xfffffff0087f7b4c: 804fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f7b50: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f7b54: 8190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f7b58: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f7b5c: 02008052  mov	w2, #0
0xfffffff0087f7b60: 74edec97  bl	#0xfffffff008333130
0xfffffff0087f7b64: dcf6ff17  b	#0xfffffff0087f56d4
0xfffffff0087f7b68: 91f10294  bl	#0xfffffff0088b41ac
0xfffffff0087f7b6c: f40300aa  mov	x20, x0
0xfffffff0087f7b70: 80008052  mov	w0, #4
0xfffffff0087f7b74: 370f0294  bl	#0xfffffff00887b850
0xfffffff0087f7b78: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff0087f7b7c: 0a5b40b9  ldr	w10, [x24, #0x58]
0xfffffff0087f7b80: f65f06a9  stp	x22, x23, [sp, #0x60]
0xfffffff0087f7b84: e84340f9  ldr	x8, [sp, #0x80]
0xfffffff0087f7b88: ff2305a9  stp	xzr, x8, [sp, #0x50]
0xfffffff0087f7b8c: f82b04a9  stp	x24, x10, [sp, #0x40]
0xfffffff0087f7b90: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff0087f7b94: c850ffd0  adrp	x8, #0xfffffff007211000
0xfffffff0087f7b98: 089d2c91  add	x8, x8, #0xb27
0xfffffff0087f7b9c: 09a48052  mov	w9, #0x520
0xfffffff0087f7ba0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f7ba4: e850ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f7ba8: 08213591  add	x8, x8, #0xd48
0xfffffff0087f7bac: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f7bb0: e80e8052  mov	w8, #0x77
0xfffffff0087f7bb4: 4352ffd0  adrp	x3, #0xfffffff007241000
0xfffffff0087f7bb8: 63401291  add	x3, x3, #0x490
0xfffffff0087f7bbc: f42300a9  stp	x20, x8, [sp]
0xfffffff0087f7bc0: 804fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f7bc4: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f7bc8: 8190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f7bcc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f7bd0: 02008052  mov	w2, #0
0xfffffff0087f7bd4: 57edec97  bl	#0xfffffff008333130
0xfffffff0087f7bd8: bff6ff17  b	#0xfffffff0087f56d4
0xfffffff0087f7bdc: 74f10294  bl	#0xfffffff0088b41ac
0xfffffff0087f7be0: f40300aa  mov	x20, x0
0xfffffff0087f7be4: 80008052  mov	w0, #4
0xfffffff0087f7be8: 1a0f0294  bl	#0xfffffff00887b850
0xfffffff0087f7bec: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff0087f7bf0: 0a5b40b9  ldr	w10, [x24, #0x58]
0xfffffff0087f7bf4: f65f06a9  stp	x22, x23, [sp, #0x60]
0xfffffff0087f7bf8: e84340f9  ldr	x8, [sp, #0x80]
0xfffffff0087f7bfc: e82f00f9  str	x8, [sp, #0x58]
0xfffffff0087f7c00: e84b40f9  ldr	x8, [sp, #0x90]
0xfffffff0087f7c04: eaa304a9  stp	x10, x8, [sp, #0x48]
0xfffffff0087f7c08: e9e303a9  stp	x9, x24, [sp, #0x38]
0xfffffff0087f7c0c: e850fff0  adrp	x8, #0xfffffff007216000
0xfffffff0087f7c10: 08a52f91  add	x8, x8, #0xbe9
0xfffffff0087f7c14: c9a48052  mov	w9, #0x526
0xfffffff0087f7c18: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087f7c1c: e850ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f7c20: 08213591  add	x8, x8, #0xd48
0xfffffff0087f7c24: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f7c28: e80e8052  mov	w8, #0x77
0xfffffff0087f7c2c: 4352ffd0  adrp	x3, #0xfffffff007241000
0xfffffff0087f7c30: 63741391  add	x3, x3, #0x4dd
0xfffffff0087f7c34: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f7c38: f40300f9  str	x20, [sp]
0xfffffff0087f7c3c: 804fffd0  adrp	x0, #0xfffffff0071e9000
