; Candidate 16081
; ADRP+ADD at VM 0xfffffff009e13f70 (fileoff 0x2e0ff70): page=0x1fd890000 add_imm=0xe00

0xfffffff009e13ef0: e8e301b9  str	w8, [sp, #0x1e0]
0xfffffff009e13ef4: e8cb0379  strh	w8, [sp, #0x1e4]
0xfffffff009e13ef8: e15f01f9  str	x1, [sp, #0x2b8]
0xfffffff009e13efc: e06b01f9  str	x0, [sp, #0x2d0]
0xfffffff009e13f00: 3ae88297  bl	#0xfffffff007ecdfe8
0xfffffff009e13f04: 4b5c7f97  bl	#0xfffffff007deb030
0xfffffff009e13f08: f40300aa  mov	x20, x0
0xfffffff009e13f0c: f7630091  add	x23, sp, #0x18
0xfffffff009e13f10: f8420091  add	x24, x23, #0x10
0xfffffff009e13f14: f9620091  add	x25, x23, #0x18
0xfffffff009e13f18: f5c20091  add	x21, x23, #0x30
0xfffffff009e13f1c: 762d0090  adrp	x22, #0xfffffff00a3bf000
0xfffffff009e13f20: d6c20e91  add	x22, x22, #0x3b0
0xfffffff009e13f24: 88c4feb0  adrp	x8, #0xfffffff0076a4000
0xfffffff009e13f28: 081942fd  ldr	d8, [x8, #0x430]
0xfffffff009e13f2c: daf8fed0  adrp	x26, #0xfffffff007d2d000
0xfffffff009e13f30: 5ae31391  add	x26, x26, #0x4f8
0xfffffff009e13f34: e00316aa  mov	x0, x22
0xfffffff009e13f38: e10314aa  mov	x1, x20
0xfffffff009e13f3c: e20313aa  mov	x2, x19
0xfffffff009e13f40: 53000094  bl	#0xfffffff009e1408c
0xfffffff009e13f44: 800600b4  cbz	x0, #0xfffffff009e14014
0xfffffff009e13f48: fb0300aa  mov	x27, x0
0xfffffff009e13f4c: e0830791  add	x0, sp, #0x1e0
0xfffffff009e13f50: f5050094  bl	#0xfffffff009e15724
0xfffffff009e13f54: 60060035  cbnz	w0, #0xfffffff009e14020
0xfffffff009e13f58: 681340f9  ldr	x8, [x27, #0x20]
0xfffffff009e13f5c: e96f41f9  ldr	x9, [sp, #0x2d8]
0xfffffff009e13f60: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009e13f64: 28d0fef0  adrp	x8, #0xfffffff00781a000
0xfffffff009e13f68: 08791691  add	x8, x8, #0x59e
0xfffffff009e13f6c: e80300f9  str	x8, [sp]
0xfffffff009e13f70: 80c4fe90  adrp	x0, #0xfffffff0076a3000
0xfffffff009e13f74: 00003891  add	x0, x0, #0xe00
0xfffffff009e13f78: a1f8fed0  adrp	x1, #0xfffffff007d29000
0xfffffff009e13f7c: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e13f80: 42008052  mov	w2, #2
0xfffffff009e13f84: 63d0feb0  adrp	x3, #0xfffffff007820000
0xfffffff009e13f88: 63340491  add	x3, x3, #0x10d
0xfffffff009e13f8c: 697c9497  bl	#0xfffffff008333130
0xfffffff009e13f90: 7c3b4079  ldrh	w28, [x27, #0x1c]
0xfffffff009e13f94: b0f8fed0  adrp	x16, #0xfffffff007d29000
0xfffffff009e13f98: 103a44f9  ldr	x16, [x16, #0x870]
0xfffffff009e13f9c: f10317aa  mov	x17, x23
0xfffffff009e13fa0: 315cedf2  movk	x17, #0x6ae1, lsl #48
0xfffffff009e13fa4: 300ac1da  pacda	x16, x17
0xfffffff009e13fa8: f00f00f9  str	x16, [sp, #0x18]
0xfffffff009e13fac: e81300fd  str	d8, [sp, #0x20]
0xfffffff009e13fb0: 100000b0  adrp	x16, #0xfffffff009e14000
0xfffffff009e13fb4: 10f20691  add	x16, x16, #0x1bc
0xfffffff009e13fb8: 1003c1da  pacia	x16, x24
0xfffffff009e13fbc: f01700f9  str	x16, [sp, #0x28]
0xfffffff009e13fc0: b0f8fef0  adrp	x16, #0xfffffff007d2a000
0xfffffff009e13fc4: 10021b91  add	x16, x16, #0x6c0
0xfffffff009e13fc8: f10319aa  mov	x17, x25
0xfffffff009e13fcc: 7117f8f2  movk	x17, #0xc0bb, lsl #48
0xfffffff009e13fd0: 300ac1da  pacda	x16, x17
0xfffffff009e13fd4: f04f03a9  stp	x16, x19, [sp, #0x30]
0xfffffff009e13fd8: fb2300f9  str	x27, [sp, #0x40]
0xfffffff009e13fdc: e1830791  add	x1, sp, #0x1e0
0xfffffff009e13fe0: e00315aa  mov	x0, x21
0xfffffff009e13fe4: 02338052  mov	w2, #0x198
0xfffffff009e13fe8: 6ae27c97  bl	#0xfffffff007d4c990
0xfffffff009e13fec: e1630091  add	x1, sp, #0x18
