; Candidate 6232
; ADRP+ADD at VM 0xfffffff00881c080 (fileoff 0x1818080): page=0x1fe9cd000 add_imm=0xe80

0xfffffff00881c000: f60300f9  str	x22, [sp]
0xfffffff00881c004: 604effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881c008: 00003a91  add	x0, x0, #0xe80
0xfffffff00881c00c: 618fff90  adrp	x1, #0xfffffff007a08000
0xfffffff00881c010: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881c014: 6351ffb0  adrp	x3, #0xfffffff007249000
0xfffffff00881c018: 63982b91  add	x3, x3, #0xae6
0xfffffff00881c01c: 02008052  mov	w2, #0
0xfffffff00881c020: 445cec97  bl	#0xfffffff008333130
0xfffffff00881c024: 167d8012  mov	w22, #-0x3e9
0xfffffff00881c028: 97000014  b	#0xfffffff00881c284
0xfffffff00881c02c: 60600294  bl	#0xfffffff0088b41ac
0xfffffff00881c030: f70300aa  mov	x23, x0
0xfffffff00881c034: 80008052  mov	w0, #4
0xfffffff00881c038: 067e0194  bl	#0xfffffff00887b850
0xfffffff00881c03c: e80316aa  mov	x8, x22
0xfffffff00881c040: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00881c044: e82b00f9  str	x8, [sp, #0x50]
0xfffffff00881c048: e80315aa  mov	x8, x21
0xfffffff00881c04c: f42304a9  stp	x20, x8, [sp, #0x40]
0xfffffff00881c050: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff00881c054: a84fff90  adrp	x8, #0xfffffff007210000
0xfffffff00881c058: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881c05c: c9548152  mov	w9, #0xaa6
0xfffffff00881c060: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00881c064: 0850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff00881c068: 08312691  add	x8, x8, #0x98c
0xfffffff00881c06c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881c070: 880e8052  mov	w8, #0x74
0xfffffff00881c074: 6351ffb0  adrp	x3, #0xfffffff007249000
0xfffffff00881c078: 636c2c91  add	x3, x3, #0xb1b
0xfffffff00881c07c: f72300a9  stp	x23, x8, [sp]
0xfffffff00881c080: 604effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881c084: 00003a91  add	x0, x0, #0xe80
0xfffffff00881c088: 618fff90  adrp	x1, #0xfffffff007a08000
0xfffffff00881c08c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881c090: 02008052  mov	w2, #0
0xfffffff00881c094: 275cec97  bl	#0xfffffff008333130
0xfffffff00881c098: 7b000014  b	#0xfffffff00881c284
0xfffffff00881c09c: 800e8052  mov	w0, #0x74
0xfffffff00881c0a0: 81008052  mov	w1, #4
0xfffffff00881c0a4: cb7d0194  bl	#0xfffffff00887b7d0
0xfffffff00881c0a8: c00e0034  cbz	w0, #0xfffffff00881c280
0xfffffff00881c0ac: 800e8052  mov	w0, #0x74
0xfffffff00881c0b0: da7d0194  bl	#0xfffffff00887b818
0xfffffff00881c0b4: f70300aa  mov	x23, x0
0xfffffff00881c0b8: 3d600294  bl	#0xfffffff0088b41ac
0xfffffff00881c0bc: f60300aa  mov	x22, x0
0xfffffff00881c0c0: 80008052  mov	w0, #4
0xfffffff00881c0c4: e37d0194  bl	#0xfffffff00887b850
0xfffffff00881c0c8: 17070034  cbz	w23, #0xfffffff00881c1a8
0xfffffff00881c0cc: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff00881c0d0: e90315aa  mov	x9, x21
0xfffffff00881c0d4: e9ff04a9  stp	x9, xzr, [sp, #0x48]
0xfffffff00881c0d8: e8d303a9  stp	x8, x20, [sp, #0x38]
0xfffffff00881c0dc: 0850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff00881c0e0: 08e51191  add	x8, x8, #0x479
0xfffffff00881c0e4: 69558152  mov	w9, #0xaab
0xfffffff00881c0e8: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881c0ec: 0850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff00881c0f0: 08312691  add	x8, x8, #0x98c
0xfffffff00881c0f4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881c0f8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00881c0fc: 880e8052  mov	w8, #0x74
