; Candidate 2759
; ADRP+ADD at VM 0xfffffff0086e6bf8 (fileoff 0x16e2bf8): page=0x1fea4b000 add_imm=0xd90

0xfffffff0086e6b78: eb030caa  mov	x11, x12
0xfffffff0086e6b7c: 29050071  subs	w9, w9, #1
0xfffffff0086e6b80: a1feff54  b.ne	#0xfffffff0086e6b54
0xfffffff0086e6b84: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e6b88: 290140b9  ldr	w9, [x9]
0xfffffff0086e6b8c: 3f011a6a  tst	w9, w26
0xfffffff0086e6b90: 80010054  b.eq	#0xfffffff0086e6bc0
0xfffffff0086e6b94: f42300a9  stp	x20, x8, [sp]
0xfffffff0086e6b98: 4052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086e6b9c: 00403691  add	x0, x0, #0xd90
0xfffffff0086e6ba0: a198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e6ba4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e6ba8: 6352ffb0  adrp	x3, #0xfffffff007133000
0xfffffff0086e6bac: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e6bb0: 02008052  mov	w2, #0
0xfffffff0086e6bb4: 5f31f197  bl	#0xfffffff008333130
0xfffffff0086e6bb8: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e6bbc: 080240b9  ldr	w8, [x16]
0xfffffff0086e6bc0: 967e1f53  lsr	w22, w20, #0x1f
0xfffffff0086e6bc4: 897a1f53  lsl	w9, w20, #1
0xfffffff0086e6bc8: 290200b9  str	w9, [x17]
0xfffffff0086e6bcc: 08050051  sub	w8, w8, #1
0xfffffff0086e6bd0: 080200b9  str	w8, [x16]
0xfffffff0086e6bd4: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e6bd8: 290140b9  ldr	w9, [x9]
0xfffffff0086e6bdc: 3f011a6a  tst	w9, w26
0xfffffff0086e6be0: e0010054  b.eq	#0xfffffff0086e6c1c
0xfffffff0086e6be4: f62301a9  stp	x22, x8, [sp, #0x10]
0xfffffff0086e6be8: 4853ffd0  adrp	x8, #0xfffffff007150000
0xfffffff0086e6bec: 08a91591  add	x8, x8, #0x56a
0xfffffff0086e6bf0: 29008052  mov	w9, #1
0xfffffff0086e6bf4: e92300a9  stp	x9, x8, [sp]
0xfffffff0086e6bf8: 4052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086e6bfc: 00403691  add	x0, x0, #0xd90
0xfffffff0086e6c00: a198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e6c04: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e6c08: 6352ffb0  adrp	x3, #0xfffffff007133000
0xfffffff0086e6c0c: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086e6c10: 02008052  mov	w2, #0
0xfffffff0086e6c14: 4731f197  bl	#0xfffffff008333130
0xfffffff0086e6c18: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e6c1c: 190080d2  mov	x25, #0
0xfffffff0086e6c20: 5452fff0  adrp	x20, #0xfffffff007131000
0xfffffff0086e6c24: 94423691  add	x20, x20, #0xd90
0xfffffff0086e6c28: b598fff0  adrp	x21, #0xfffffff0079fd000
0xfffffff0086e6c2c: b5de41f9  ldr	x21, [x21, #0x3b8]
0xfffffff0086e6c30: 682a40f9  ldr	x8, [x19, #0x50]
0xfffffff0086e6c34: 16f10039  strb	w22, [x8, #0x3c]
0xfffffff0086e6c38: 1c0080d2  mov	x28, #0
0xfffffff0086e6c3c: 080240b9  ldr	w8, [x16]
0xfffffff0086e6c40: 68000034  cbz	w8, #0xfffffff0086e6c4c
0xfffffff0086e6c44: 360240b9  ldr	w22, [x17]
0xfffffff0086e6c48: 1e000014  b	#0xfffffff0086e6cc0
0xfffffff0086e6c4c: 16008052  mov	w22, #0
0xfffffff0086e6c50: 7f2e00b9  str	wzr, [x19, #0x2c]
0xfffffff0086e6c54: 89008052  mov	w9, #4
0xfffffff0086e6c58: 6b2a41a9  ldp	x11, x10, [x19, #0x10]
0xfffffff0086e6c5c: d65e1853  lsl	w22, w22, #8
0xfffffff0086e6c60: 7f010aeb  cmp	x11, x10
0xfffffff0086e6c64: 02010054  b.hs	#0xfffffff0086e6c84
0xfffffff0086e6c68: 08210011  add	w8, w8, #8
0xfffffff0086e6c6c: 682e00b9  str	w8, [x19, #0x2c]
0xfffffff0086e6c70: 6c050091  add	x12, x11, #1
0xfffffff0086e6c74: 6c0a00f9  str	x12, [x19, #0x10]
