; Candidate 11353
; ADRP+ADD at VM 0xfffffff008ef5060 (fileoff 0x1ef1060): page=0x1fe515000 add_imm=0xd07

0xfffffff008ef4fe0: a828ffd0  adrp	x8, #0xfffffff00740a000
0xfffffff008ef4fe4: 08252a91  add	x8, x8, #0xa89
0xfffffff008ef4fe8: 69008052  mov	w9, #3
0xfffffff008ef4fec: 7f2200a9  stp	xzr, x8, [x19]
0xfffffff008ef4ff0: 690200b9  str	w9, [x19]
0xfffffff008ef4ff4: 48088052  mov	w8, #0x42
0xfffffff008ef4ff8: 680a00f9  str	x8, [x19, #0x10]
0xfffffff008ef4ffc: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008ef5000: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008ef5004: ff430191  add	sp, sp, #0x50
0xfffffff008ef5008: ff0f5fd6  retab	
0xfffffff008ef500c: 7f2303d5  pacibsp	
0xfffffff008ef5010: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008ef5014: fd030091  mov	x29, sp
0xfffffff008ef5018: f060fff0  adrp	x16, #0xfffffff007b14000
0xfffffff008ef501c: 10021f91  add	x16, x16, #0x7c0
0xfffffff008ef5020: 10420091  add	x16, x16, #0x10
0xfffffff008ef5024: f10300aa  mov	x17, x0
0xfffffff008ef5028: 31f3f1f2  movk	x17, #0x8f99, lsl #48
0xfffffff008ef502c: 300ac1da  pacda	x16, x17
0xfffffff008ef5030: 100000f9  str	x16, [x0]
0xfffffff008ef5034: 080440f9  ldr	x8, [x0, #8]
0xfffffff008ef5038: 480100b5  cbnz	x8, #0xfffffff008ef5060
0xfffffff008ef503c: e10300aa  mov	x1, x0
0xfffffff008ef5040: 0061ff90  adrp	x0, #0xfffffff007b15000
0xfffffff008ef5044: 00001691  add	x0, x0, #0x580
0xfffffff008ef5048: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008ef504c: ff2303d5  autibsp	
0xfffffff008ef5050: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008ef5054: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008ef505c
0xfffffff008ef5058: 208e38d4  brk	#0xc471
0xfffffff008ef505c: ac85d117  b	#0xfffffff00835670c
0xfffffff008ef5060: a028ffb0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef5064: 001c3491  add	x0, x0, #0xd07
0xfffffff008ef5068: abf1ff97  bl	#0xfffffff008ef1714
0xfffffff008ef506c: 7f2303d5  pacibsp	
0xfffffff008ef5070: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008ef5074: fd030091  mov	x29, sp
0xfffffff008ef5078: f060fff0  adrp	x16, #0xfffffff007b14000
0xfffffff008ef507c: 10021f91  add	x16, x16, #0x7c0
0xfffffff008ef5080: 10420091  add	x16, x16, #0x10
0xfffffff008ef5084: f10300aa  mov	x17, x0
0xfffffff008ef5088: 31f3f1f2  movk	x17, #0x8f99, lsl #48
0xfffffff008ef508c: 300ac1da  pacda	x16, x17
0xfffffff008ef5090: 100000f9  str	x16, [x0]
0xfffffff008ef5094: 080440f9  ldr	x8, [x0, #8]
0xfffffff008ef5098: 680000b5  cbnz	x8, #0xfffffff008ef50a4
0xfffffff008ef509c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008ef50a0: ff0f5fd6  retab	
0xfffffff008ef50a4: a028ffb0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef50a8: 001c3491  add	x0, x0, #0xd07
0xfffffff008ef50ac: 9af1ff97  bl	#0xfffffff008ef1714
0xfffffff008ef50b0: 7f2303d5  pacibsp	
0xfffffff008ef50b4: ff0302d1  sub	sp, sp, #0x80
0xfffffff008ef50b8: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008ef50bc: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008ef50c0: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008ef50c4: fdc30191  add	x29, sp, #0x70
0xfffffff008ef50c8: f30308aa  mov	x19, x8
0xfffffff008ef50cc: 480040b9  ldr	w8, [x2]
0xfffffff008ef50d0: 1f190071  cmp	w8, #6
0xfffffff008ef50d4: 29008052  mov	w9, #1
0xfffffff008ef50d8: 2821c81a  lsl	w8, w9, w8
0xfffffff008ef50dc: 090b8052  mov	w9, #0x58
