; Candidate 279
; ADRP+ADD at VM 0xfffffff007e907a0 (fileoff 0xe8c7a0): page=0x2367000 add_imm=0xe68

0xfffffff007e90720: 93d038d5  mrs	x19, tpidr_el1
0xfffffff007e90724: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff007e90728: 351b01f0  adrp	x21, #0xfffffff00a1f7000
0xfffffff007e9072c: b5c23991  add	x21, x21, #0xe70
0xfffffff007e90730: a97ee8c8  casa	x8, x9, [x21]
0xfffffff007e90734: 1f0100f1  cmp	x8, #0
0xfffffff007e90738: 41030054  b.ne	#0xfffffff007e907a0
0xfffffff007e9073c: 88a24039  ldrb	w8, [x20, #0x28]
0xfffffff007e90740: c8010035  cbnz	w8, #0xfffffff007e90778
0xfffffff007e90744: 28008052  mov	w8, #1
0xfffffff007e90748: 88a20039  strb	w8, [x20, #0x28]
0xfffffff007e9074c: 880640b9  ldr	w8, [x20, #4]
0xfffffff007e90750: e9130432  mov	w9, #-0xfffffff
0xfffffff007e90754: 0a01090b  add	w10, w8, w9
0xfffffff007e90758: 5f01096b  cmp	w10, w9
0xfffffff007e9075c: c9030054  b.ls	#0xfffffff007e907d4
0xfffffff007e90760: 08050011  add	w8, w8, #1
0xfffffff007e90764: 880600b9  str	w8, [x20, #4]
0xfffffff007e90768: 281b01f0  adrp	x8, #0xfffffff00a1f7000
0xfffffff007e9076c: 09654eb9  ldr	w9, [x8, #0xe64]
0xfffffff007e90770: 29050011  add	w9, w9, #1
0xfffffff007e90774: 09650eb9  str	w9, [x8, #0xe64]
0xfffffff007e90778: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff007e9077c: e20308aa  mov	x2, x8
0xfffffff007e90780: bffea288  casl	w2, wzr, [x21]
0xfffffff007e90784: 5f00086b  cmp	w2, w8
0xfffffff007e90788: c1010054  b.ne	#0xfffffff007e907c0
0xfffffff007e9078c: 00008052  mov	w0, #0
0xfffffff007e90790: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007e90794: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff007e90798: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff007e9079c: ff0f5fd6  retab	
0xfffffff007e907a0: 201b01f0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e907a4: 00a03991  add	x0, x0, #0xe68
0xfffffff007e907a8: e10313aa  mov	x1, x19
0xfffffff007e907ac: 02008052  mov	w2, #0
0xfffffff007e907b0: d26cfc97  bl	#0xfffffff007dabaf8
0xfffffff007e907b4: 88a24039  ldrb	w8, [x20, #0x28]
0xfffffff007e907b8: 08feff35  cbnz	w8, #0xfffffff007e90778
0xfffffff007e907bc: e2ffff17  b	#0xfffffff007e90744
0xfffffff007e907c0: 201b01f0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e907c4: 00a03991  add	x0, x0, #0xe68
0xfffffff007e907c8: e10313aa  mov	x1, x19
0xfffffff007e907cc: e66ffc97  bl	#0xfffffff007dac764
0xfffffff007e907d0: efffff17  b	#0xfffffff007e9078c
0xfffffff007e907d4: 80120091  add	x0, x20, #4
0xfffffff007e907d8: 8d3e1894  bl	#0xfffffff0084a020c
0xfffffff007e907dc: 7f2303d5  pacibsp	
0xfffffff007e907e0: ff8300d1  sub	sp, sp, #0x20
0xfffffff007e907e4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff007e907e8: fd430091  add	x29, sp, #0x10
0xfffffff007e907ec: e88dfff0  adrp	x8, #0xfffffff00704f000
0xfffffff007e907f0: 087d2891  add	x8, x8, #0xa1f
0xfffffff007e907f4: c9388052  mov	w9, #0x1c6
0xfffffff007e907f8: e82700a9  stp	x8, x9, [sp]
0xfffffff007e907fc: e08dfff0  adrp	x0, #0xfffffff00704f000
0xfffffff007e90800: 008c2d91  add	x0, x0, #0xb63
0xfffffff007e90804: 420f1894  bl	#0xfffffff00849450c
0xfffffff007e90808: 7f2303d5  pacibsp	
0xfffffff007e9080c: ff8300d1  sub	sp, sp, #0x20
0xfffffff007e90810: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff007e90814: fd430091  add	x29, sp, #0x10
0xfffffff007e90818: e88dfff0  adrp	x8, #0xfffffff00704f000
0xfffffff007e9081c: 087d2891  add	x8, x8, #0xa1f
