; Candidate 8892
; ADRP+ADD at VM 0xfffffff0088ea9b4 (fileoff 0x18e69b4): page=0x1ff130000 add_imm=0xeb0

0xfffffff0088ea934: 00eae797  bl	#0xfffffff0082e5134
0xfffffff0088ea938: e00313aa  mov	x0, x19
0xfffffff0088ea93c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0088ea940: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0088ea944: ff0f5fd6  retab	
0xfffffff0088ea948: 7f2303d5  pacibsp	
0xfffffff0088ea94c: ff4301d1  sub	sp, sp, #0x50
0xfffffff0088ea950: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff0088ea954: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0088ea958: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0088ea95c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0088ea960: fd030191  add	x29, sp, #0x40
0xfffffff0088ea964: f30301aa  mov	x19, x1
0xfffffff0088ea968: 1f8800b9  str	wzr, [x0, #0x88]
0xfffffff0088ea96c: 1f4800f9  str	xzr, [x0, #0x90]
0xfffffff0088ea970: 810400b4  cbz	x1, #0xfffffff0088eaa00
0xfffffff0088ea974: f40300aa  mov	x20, x0
0xfffffff0088ea978: ff0700f9  str	xzr, [sp, #8]
0xfffffff0088ea97c: e2330091  add	x2, sp, #0xc
0xfffffff0088ea980: e10313aa  mov	x1, x19
0xfffffff0088ea984: 56000094  bl	#0xfffffff0088eaadc
0xfffffff0088ea988: f60300aa  mov	x22, x0
0xfffffff0088ea98c: e2230091  add	x2, sp, #8
0xfffffff0088ea990: e00314aa  mov	x0, x20
0xfffffff0088ea994: e10313aa  mov	x1, x19
0xfffffff0088ea998: a0010094  bl	#0xfffffff0088eb018
0xfffffff0088ea99c: f50300aa  mov	x21, x0
0xfffffff0088ea9a0: e9234129  ldp	w9, w8, [sp, #8]
0xfffffff0088ea9a4: 2801082b  adds	w8, w9, w8
0xfffffff0088ea9a8: 888a00b9  str	w8, [x20, #0x88]
0xfffffff0088ea9ac: 20030054  b.eq	#0xfffffff0088eaa10
0xfffffff0088ea9b0: 017d7dd3  ubfiz	x1, x8, #3, #0x20
0xfffffff0088ea9b4: 8089ff90  adrp	x0, #0xfffffff007a1a000
0xfffffff0088ea9b8: 00c03a91  add	x0, x0, #0xeb0
0xfffffff0088ea9bc: 05b1e997  bl	#0xfffffff008356dd0
0xfffffff0088ea9c0: 804a00f9  str	x0, [x20, #0x90]
0xfffffff0088ea9c4: a00500b4  cbz	x0, #0xfffffff0088eaa78
0xfffffff0088ea9c8: b60000b4  cbz	x22, #0xfffffff0088ea9dc
0xfffffff0088ea9cc: e80f40b9  ldr	w8, [sp, #0xc]
0xfffffff0088ea9d0: 02f17dd3  lsl	x2, x8, #3
0xfffffff0088ea9d4: e10316aa  mov	x1, x22
0xfffffff0088ea9d8: ee87d197  bl	#0xfffffff007d4c990
0xfffffff0088ea9dc: f50400b4  cbz	x21, #0xfffffff0088eaa78
0xfffffff0088ea9e0: 884a40f9  ldr	x8, [x20, #0x90]
0xfffffff0088ea9e4: e90f40b9  ldr	w9, [sp, #0xc]
0xfffffff0088ea9e8: 000d098b  add	x0, x8, x9, lsl #3
0xfffffff0088ea9ec: e80b40b9  ldr	w8, [sp, #8]
0xfffffff0088ea9f0: 02f17dd3  lsl	x2, x8, #3
0xfffffff0088ea9f4: e10315aa  mov	x1, x21
0xfffffff0088ea9f8: e687d197  bl	#0xfffffff007d4c990
0xfffffff0088ea9fc: 1f000014  b	#0xfffffff0088eaa78
0xfffffff0088eaa00: 204cff90  adrp	x0, #0xfffffff00726e000
0xfffffff0088eaa04: 00d41491  add	x0, x0, #0x535
0xfffffff0088eaa08: 86b1e997  bl	#0xfffffff008357020
0xfffffff0088eaa0c: 2c000014  b	#0xfffffff0088eaabc
0xfffffff0088eaa10: 214cff90  adrp	x1, #0xfffffff00726e000
0xfffffff0088eaa14: 21401691  add	x1, x1, #0x590
0xfffffff0088eaa18: e00313aa  mov	x0, x19
0xfffffff0088eaa1c: 9568f697  bl	#0xfffffff008684c70
0xfffffff0088eaa20: c00200b4  cbz	x0, #0xfffffff0088eaa78
0xfffffff0088eaa24: f70300aa  mov	x23, x0
0xfffffff0088eaa28: 8089ff90  adrp	x0, #0xfffffff007a1a000
0xfffffff0088eaa2c: 00003c91  add	x0, x0, #0xf00
0xfffffff0088eaa30: 01018052  mov	w1, #8
