; Candidate 11383
; ADRP+ADD at VM 0xfffffff008effb90 (fileoff 0x1efbb90): page=0x1fe50e000 add_imm=0xe9a

0xfffffff008effb10: 51c9e5f2  movk	x17, #0x2e4a, lsl #48
0xfffffff008effb14: 11093fd7  blraa	x8, x17
0xfffffff008effb18: 601e40f9  ldr	x0, [x19, #0x38]
0xfffffff008effb1c: 400100b4  cbz	x0, #0xfffffff008effb44
0xfffffff008effb20: 100040f9  ldr	x16, [x0]
0xfffffff008effb24: f10300aa  mov	x17, x0
0xfffffff008effb28: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008effb2c: 301ac1da  autda	x16, x17
0xfffffff008effb30: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008effb34: e90310aa  mov	x9, x16
0xfffffff008effb38: f10309aa  mov	x17, x9
0xfffffff008effb3c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008effb40: 11093fd7  blraa	x8, x17
0xfffffff008effb44: 7c1e00f9  str	x28, [x19, #0x38]
0xfffffff008effb48: bc0400b4  cbz	x28, #0xfffffff008effbdc
0xfffffff008effb4c: 601a40f9  ldr	x0, [x19, #0x30]
0xfffffff008effb50: 100040f9  ldr	x16, [x0]
0xfffffff008effb54: f10300aa  mov	x17, x0
0xfffffff008effb58: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008effb5c: 301ac1da  autda	x16, x17
0xfffffff008effb60: 11ab80d2  mov	x17, #0x558
0xfffffff008effb64: 1002118b  add	x16, x16, x17
0xfffffff008effb68: 080240f9  ldr	x8, [x16]
0xfffffff008effb6c: e90310aa  mov	x9, x16
0xfffffff008effb70: f10309aa  mov	x17, x9
0xfffffff008effb74: 51a1e0f2  movk	x17, #0x50a, lsl #48
0xfffffff008effb78: 11093fd7  blraa	x8, x17
0xfffffff008effb7c: 9b0300b5  cbnz	x27, #0xfffffff008effbec
0xfffffff008effb80: 25000014  b	#0xfffffff008effc14
0xfffffff008effb84: 6028ffd0  adrp	x0, #0xfffffff00740d000
0xfffffff008effb88: 00e83991  add	x0, x0, #0xe7a
0xfffffff008effb8c: 06000014  b	#0xfffffff008effba4
0xfffffff008effb90: 6028ffd0  adrp	x0, #0xfffffff00740d000
0xfffffff008effb94: 00683a91  add	x0, x0, #0xe9a
0xfffffff008effb98: 03000014  b	#0xfffffff008effba4
0xfffffff008effb9c: 6028ffd0  adrp	x0, #0xfffffff00740d000
0xfffffff008effba0: 00543b91  add	x0, x0, #0xed5
0xfffffff008effba4: 1f5dd197  bl	#0xfffffff008357020
0xfffffff008effba8: 00008052  mov	w0, #0
0xfffffff008effbac: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008effbb0: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff008effbb4: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008effbb8: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008effbbc: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff008effbc0: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff008effbc4: ff430291  add	sp, sp, #0x90
0xfffffff008effbc8: ff0f5fd6  retab	
0xfffffff008effbcc: 6028ffd0  adrp	x0, #0xfffffff00740d000
0xfffffff008effbd0: 00903e91  add	x0, x0, #0xfa4
0xfffffff008effbd4: 135dd197  bl	#0xfffffff008357020
0xfffffff008effbd8: 0f000014  b	#0xfffffff008effc14
0xfffffff008effbdc: 6028ffd0  adrp	x0, #0xfffffff00740d000
0xfffffff008effbe0: 00483f91  add	x0, x0, #0xfd2
0xfffffff008effbe4: 0f5dd197  bl	#0xfffffff008357020
0xfffffff008effbe8: 7b0100b4  cbz	x27, #0xfffffff008effc14
0xfffffff008effbec: 700340f9  ldr	x16, [x27]
0xfffffff008effbf0: f1031baa  mov	x17, x27
0xfffffff008effbf4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008effbf8: 301ac1da  autda	x16, x17
0xfffffff008effbfc: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008effc00: e90310aa  mov	x9, x16
0xfffffff008effc04: e0031baa  mov	x0, x27
0xfffffff008effc08: f10309aa  mov	x17, x9
0xfffffff008effc0c: f150e7f2  movk	x17, #0x3a87, lsl #48
