; Candidate 4635
; ADRP+ADD at VM 0xfffffff0087bed80 (fileoff 0x17bad80): page=0x1fe973000 add_imm=0xd90

0xfffffff0087bed00: 70f1ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bed04: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087bed08: 008109b9  str	w0, [x8, #0x980]
0xfffffff0087bed0c: 1f280071  cmp	w0, #0xa
0xfffffff0087bed10: e90b0054  b.ls	#0xfffffff0087bee8c
0xfffffff0087bed14: 084dff90  adrp	x8, #0xfffffff00715e000
0xfffffff0087bed18: 08793b91  add	x8, x8, #0xede
0xfffffff0087bed1c: e80300a9  stp	x8, x0, [sp]
0xfffffff0087bed20: 804bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087bed24: 00403691  add	x0, x0, #0xd90
0xfffffff0087bed28: e191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bed2c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bed30: 634cfff0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bed34: 634c3091  add	x3, x3, #0xc13
0xfffffff0087bed38: 02008052  mov	w2, #0
0xfffffff0087bed3c: fdd0ed97  bl	#0xfffffff008333130
0xfffffff0087bed40: 74ffff17  b	#0xfffffff0087beb10
0xfffffff0087bed44: 084dff90  adrp	x8, #0xfffffff00715e000
0xfffffff0087bed48: 08793b91  add	x8, x8, #0xede
0xfffffff0087bed4c: e80300a9  stp	x8, x0, [sp]
0xfffffff0087bed50: 804bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087bed54: 00403691  add	x0, x0, #0xd90
0xfffffff0087bed58: e191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bed5c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bed60: 634cfff0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bed64: 631c2f91  add	x3, x3, #0xbc7
0xfffffff0087bed68: 02008052  mov	w2, #0
0xfffffff0087bed6c: f1d0ed97  bl	#0xfffffff008333130
0xfffffff0087bed70: 68ffff17  b	#0xfffffff0087beb10
0xfffffff0087bed74: 084dff90  adrp	x8, #0xfffffff00715e000
0xfffffff0087bed78: 08793b91  add	x8, x8, #0xede
0xfffffff0087bed7c: e80300a9  stp	x8, x0, [sp]
0xfffffff0087bed80: 804bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087bed84: 00403691  add	x0, x0, #0xd90
0xfffffff0087bed88: e191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bed8c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bed90: 634cfff0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bed94: 63b42f91  add	x3, x3, #0xbed
0xfffffff0087bed98: 02008052  mov	w2, #0
0xfffffff0087bed9c: e5d0ed97  bl	#0xfffffff008333130
0xfffffff0087beda0: 5cffff17  b	#0xfffffff0087beb10
0xfffffff0087beda4: 28cd288b  add	x8, x9, w8, sxtw #3
0xfffffff0087beda8: 089d43f9  ldr	x8, [x8, #0x738]
0xfffffff0087bedac: 28ebffb4  cbz	x8, #0xfffffff0087beb10
0xfffffff0087bedb0: 0ac14f39  ldrb	w10, [x8, #0x3f0]
0xfffffff0087bedb4: eaeaff34  cbz	w10, #0xfffffff0087beb10
0xfffffff0087bedb8: 20e12391  add	x0, x9, #0x8f8
0xfffffff0087bedbc: 34f95179  ldrh	w20, [x9, #0x8fc]
0xfffffff0087bedc0: 01d10f91  add	x1, x8, #0x3f4
0xfffffff0087bedc4: 82518052  mov	w2, #0x28c
0xfffffff0087bedc8: f236d697  bl	#0xfffffff007d4c990
0xfffffff0087bedcc: 00008052  mov	w0, #0
0xfffffff0087bedd0: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087bedd4: 14fd08b9  str	w20, [x8, #0x8fc]
0xfffffff0087bedd8: 4fffff17  b	#0xfffffff0087beb14
0xfffffff0087beddc: 1700001b  madd	w23, w0, w0, w0
0xfffffff0087bede0: 090949b9  ldr	w9, [x8, #0x908]
0xfffffff0087bede4: 3f010071  cmp	w9, #0
0xfffffff0087bede8: f5d79f1a  cset	w21, gt
0xfffffff0087bedec: 49040034  cbz	w9, #0xfffffff0087bee74
0xfffffff0087bedf0: e97a1f53  lsl	w9, w23, #1
0xfffffff0087bedf4: 09020034  cbz	w9, #0xfffffff0087bee34
0xfffffff0087bedf8: 180080d2  mov	x24, #0
0xfffffff0087bedfc: 397d7ed3  ubfiz	x25, x9, #2, #0x20
