; Candidate 117
; ADRP+ADD at VM 0xfffffff007e28be4 (fileoff 0xe24be4): page=0x23a9000 add_imm=0xd20

0xfffffff007e28b64: a5030094  bl	#0xfffffff007e299f8
0xfffffff007e28b68: 18008052  mov	w24, #0
0xfffffff007e28b6c: 39008052  mov	w25, #1
0xfffffff007e28b70: a0000034  cbz	w0, #0xfffffff007e28b84
0xfffffff007e28b74: df120071  cmp	w22, #4
0xfffffff007e28b78: 62000054  b.hs	#0xfffffff007e28b84
0xfffffff007e28b7c: 18008052  mov	w24, #0
0xfffffff007e28b80: 19008052  mov	w25, #0
0xfffffff007e28b84: 080080d2  mov	x8, #0
0xfffffff007e28b88: 891a44b9  ldr	w9, [x20, #0x418]
0xfffffff007e28b8c: 8a4a41b9  ldr	w10, [x20, #0x148]
0xfffffff007e28b90: 4a050011  add	w10, w10, #1
0xfffffff007e28b94: 8a4a01b9  str	w10, [x20, #0x148]
0xfffffff007e28b98: 290564b2  orr	x9, x9, #0x30000000
0xfffffff007e28b9c: 897fe8c8  casa	x8, x9, [x28]
0xfffffff007e28ba0: 1f0100f1  cmp	x8, #0
0xfffffff007e28ba4: c1020054  b.ne	#0xfffffff007e28bfc
0xfffffff007e28ba8: f60240f9  ldr	x22, [x23]
0xfffffff007e28bac: df0217eb  cmp	x22, x23
0xfffffff007e28bb0: e8079f1a  cset	w8, ne
0xfffffff007e28bb4: 2803080a  and	w8, w25, w8
0xfffffff007e28bb8: 08f30737  tbnz	w8, #0, #0xfffffff007e28a18
0xfffffff007e28bbc: 16000014  b	#0xfffffff007e28c14
0xfffffff007e28bc0: 401d01b0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e28bc4: 00803491  add	x0, x0, #0xd20
0xfffffff007e28bc8: e10314aa  mov	x1, x20
0xfffffff007e28bcc: e60efe97  bl	#0xfffffff007dac764
0xfffffff007e28bd0: a3ffff17  b	#0xfffffff007e28a5c
0xfffffff007e28bd4: e00316aa  mov	x0, x22
0xfffffff007e28bd8: e10314aa  mov	x1, x20
0xfffffff007e28bdc: e20efe97  bl	#0xfffffff007dac764
0xfffffff007e28be0: acffff17  b	#0xfffffff007e28a90
0xfffffff007e28be4: 401d01b0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e28be8: 00803491  add	x0, x0, #0xd20
0xfffffff007e28bec: e10314aa  mov	x1, x20
0xfffffff007e28bf0: 42008052  mov	w2, #2
0xfffffff007e28bf4: c10bfe97  bl	#0xfffffff007dabaf8
0xfffffff007e28bf8: b3ffff17  b	#0xfffffff007e28ac4
0xfffffff007e28bfc: 401d01b0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e28c00: 00803491  add	x0, x0, #0xd20
0xfffffff007e28c04: e10314aa  mov	x1, x20
0xfffffff007e28c08: 42008052  mov	w2, #2
0xfffffff007e28c0c: bb0bfe97  bl	#0xfffffff007dabaf8
0xfffffff007e28c10: e6ffff17  b	#0xfffffff007e28ba8
0xfffffff007e28c14: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff007e28c18: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff007e28c1c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff007e28c20: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff007e28c24: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff007e28c28: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff007e28c2c: ff0f5fd6  retab	
0xfffffff007e28c30: 7f2303d5  pacibsp	
0xfffffff007e28c34: ffc301d1  sub	sp, sp, #0x70
0xfffffff007e28c38: fc6f01a9  stp	x28, x27, [sp, #0x10]
0xfffffff007e28c3c: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff007e28c40: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff007e28c44: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff007e28c48: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff007e28c4c: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff007e28c50: fd830191  add	x29, sp, #0x60
0xfffffff007e28c54: ff3f0039  strb	wzr, [sp, #0xf]
0xfffffff007e28c58: ff0b00b9  str	wzr, [sp, #8]
0xfffffff007e28c5c: ff0300f9  str	xzr, [sp]
0xfffffff007e28c60: 481f01b0  adrp	x8, #0xfffffff00a211000
