; Candidate 502
; ADRP+ADD at VM 0xfffffff007f4bcb4 (fileoff 0xf47cb4): page=0x1ff114000 add_imm=0xe43

0xfffffff007f4bc34: e10318aa  mov	x1, x24
0xfffffff007f4bc38: 8d6bf997  bl	#0xfffffff007da6a6c
0xfffffff007f4bc3c: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff007f4bc40: e9130190  adrp	x9, #0xfffffff00a1c7000
0xfffffff007f4bc44: 29010091  add	x9, x9, #0
0xfffffff007f4bc48: 290140f9  ldr	x9, [x9]
0xfffffff007f4bc4c: 3f0108eb  cmp	x9, x8
0xfffffff007f4bc50: e1060054  b.ne	#0xfffffff007f4bd2c
0xfffffff007f4bc54: fd7b51a9  ldp	x29, x30, [sp, #0x110]
0xfffffff007f4bc58: f44f50a9  ldp	x20, x19, [sp, #0x100]
0xfffffff007f4bc5c: f6574fa9  ldp	x22, x21, [sp, #0xf0]
0xfffffff007f4bc60: f85f4ea9  ldp	x24, x23, [sp, #0xe0]
0xfffffff007f4bc64: fa674da9  ldp	x26, x25, [sp, #0xd0]
0xfffffff007f4bc68: fc6f4ca9  ldp	x28, x27, [sp, #0xc0]
0xfffffff007f4bc6c: ff830491  add	sp, sp, #0x120
0xfffffff007f4bc70: ff0f5fd6  retab	
0xfffffff007f4bc74: 401601f0  adrp	x0, #0xfffffff00a216000
0xfffffff007f4bc78: 00202e91  add	x0, x0, #0xb88
0xfffffff007f4bc7c: e10313aa  mov	x1, x19
0xfffffff007f4bc80: 02008052  mov	w2, #0
0xfffffff007f4bc84: 9d7ff997  bl	#0xfffffff007dabaf8
0xfffffff007f4bc88: c5feff17  b	#0xfffffff007f4b79c
0xfffffff007f4bc8c: 401601f0  adrp	x0, #0xfffffff00a216000
0xfffffff007f4bc90: 00202e91  add	x0, x0, #0xb88
0xfffffff007f4bc94: e1031caa  mov	x1, x28
0xfffffff007f4bc98: b382f997  bl	#0xfffffff007dac764
0xfffffff007f4bc9c: 97f70736  tbz	w23, #0, #0xfffffff007f4bb8c
0xfffffff007f4bca0: e7ffff17  b	#0xfffffff007f4bc3c
0xfffffff007f4bca4: a888ff90  adrp	x8, #0xfffffff00705f000
0xfffffff007f4bca8: 08513691  add	x8, x8, #0xd94
0xfffffff007f4bcac: 09b28052  mov	w9, #0x590
0xfffffff007f4bcb0: e82700a9  stp	x8, x9, [sp]
0xfffffff007f4bcb4: a088ff90  adrp	x0, #0xfffffff00705f000
0xfffffff007f4bcb8: 000c3991  add	x0, x0, #0xe43
0xfffffff007f4bcbc: 14221594  bl	#0xfffffff00849450c
0xfffffff007f4bcc0: 09e54079  ldrh	w9, [x8, #0x72]
0xfffffff007f4bcc4: 0ae14079  ldrh	w10, [x8, #0x70]
0xfffffff007f4bcc8: 0b5540b9  ldr	w11, [x8, #0x54]
0xfffffff007f4bccc: cceb8252  mov	w12, #0x175e
0xfffffff007f4bcd0: 8d88ffd0  adrp	x13, #0xfffffff00705d000
0xfffffff007f4bcd4: ad410791  add	x13, x13, #0x1d0
0xfffffff007f4bcd8: ed3303a9  stp	x13, x12, [sp, #0x30]
0xfffffff007f4bcdc: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff007f4bce0: 0a00b012  mov	w10, #0x7fffffff
0xfffffff007f4bce4: 8b88ffd0  adrp	x11, #0xfffffff00705d000
0xfffffff007f4bce8: 6b511991  add	x11, x11, #0x654
0xfffffff007f4bcec: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff007f4bcf0: 8088ffd0  adrp	x0, #0xfffffff00705d000
0xfffffff007f4bcf4: 00001891  add	x0, x0, #0x600
0xfffffff007f4bcf8: eb2300a9  stp	x11, x8, [sp]
0xfffffff007f4bcfc: 04221594  bl	#0xfffffff00849450c
0xfffffff007f4bd00: a888ff90  adrp	x8, #0xfffffff00705f000
0xfffffff007f4bd04: 08513691  add	x8, x8, #0xd94
0xfffffff007f4bd08: e9b68052  mov	w9, #0x5b7
0xfffffff007f4bd0c: e82700a9  stp	x8, x9, [sp]
0xfffffff007f4bd10: a088ff90  adrp	x0, #0xfffffff00705f000
0xfffffff007f4bd14: 00103a91  add	x0, x0, #0xe84
0xfffffff007f4bd18: fd211594  bl	#0xfffffff00849450c
0xfffffff007f4bd1c: e2ffff17  b	#0xfffffff007f4bca4
0xfffffff007f4bd20: e1ffff17  b	#0xfffffff007f4bca4
0xfffffff007f4bd24: e7ffff17  b	#0xfffffff007f4bcc0
0xfffffff007f4bd28: e6ffff17  b	#0xfffffff007f4bcc0
0xfffffff007f4bd2c: 4848f897  bl	#0xfffffff007d5de4c
0xfffffff007f4bd30: ddffff17  b	#0xfffffff007f4bca4
