; Candidate 9351
; ADRP+ADD at VM 0xfffffff008a2af8c (fileoff 0x1a26f8c): page=0x1fe86f000 add_imm=0xe40

0xfffffff008a2af0c: 080240f9  ldr	x8, [x16]
0xfffffff008a2af10: e90310aa  mov	x9, x16
0xfffffff008a2af14: e00313aa  mov	x0, x19
0xfffffff008a2af18: e10314aa  mov	x1, x20
0xfffffff008a2af1c: f10309aa  mov	x17, x9
0xfffffff008a2af20: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a2af24: 11093fd7  blraa	x8, x17
0xfffffff008a2af28: e00313aa  mov	x0, x19
0xfffffff008a2af2c: 43b7f097  bl	#0xfffffff008658c38
0xfffffff008a2af30: f50300aa  mov	x21, x0
0xfffffff008a2af34: 700240f9  ldr	x16, [x19]
0xfffffff008a2af38: f10313aa  mov	x17, x19
0xfffffff008a2af3c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a2af40: 301ac1da  autda	x16, x17
0xfffffff008a2af44: f10310aa  mov	x17, x16
0xfffffff008a2af48: f147c1da  xpacd	x17
0xfffffff008a2af4c: 1f0211eb  cmp	x16, x17
0xfffffff008a2af50: 40000054  b.eq	#0xfffffff008a2af58
0xfffffff008a2af54: 408e38d4  brk	#0xc472
0xfffffff008a2af58: 08c21191  add	x8, x16, #0x470
0xfffffff008a2af5c: 093a42f9  ldr	x9, [x16, #0x470]
0xfffffff008a2af60: e00313aa  mov	x0, x19
0xfffffff008a2af64: e10314aa  mov	x1, x20
0xfffffff008a2af68: f10308aa  mov	x17, x8
0xfffffff008a2af6c: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a2af70: 31093fd7  blraa	x9, x17
0xfffffff008a2af74: e0d301a9  stp	x0, x20, [sp, #0x18]
0xfffffff008a2af78: 18528052  mov	w24, #0x290
0xfffffff008a2af7c: 9943fff0  adrp	x25, #0xfffffff00729d000
0xfffffff008a2af80: 39f31991  add	x25, x25, #0x67c
0xfffffff008a2af84: f9e300a9  stp	x25, x24, [sp, #8]
0xfffffff008a2af88: f50300f9  str	x21, [sp]
0xfffffff008a2af8c: 6043fff0  adrp	x0, #0xfffffff007299000
0xfffffff008a2af90: 00003991  add	x0, x0, #0xe40
0xfffffff008a2af94: 0181ffb0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a2af98: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a2af9c: a343ffd0  adrp	x3, #0xfffffff0072a0000
0xfffffff008a2afa0: 63983191  add	x3, x3, #0xc66
0xfffffff008a2afa4: 02028052  mov	w2, #0x10
0xfffffff008a2afa8: 6220e497  bl	#0xfffffff008333130
0xfffffff008a2afac: e00313aa  mov	x0, x19
0xfffffff008a2afb0: 22b7f097  bl	#0xfffffff008658c38
0xfffffff008a2afb4: f50300aa  mov	x21, x0
0xfffffff008a2afb8: 700240f9  ldr	x16, [x19]
0xfffffff008a2afbc: f10313aa  mov	x17, x19
0xfffffff008a2afc0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a2afc4: 301ac1da  autda	x16, x17
0xfffffff008a2afc8: f10310aa  mov	x17, x16
0xfffffff008a2afcc: f147c1da  xpacd	x17
0xfffffff008a2afd0: 1f0211eb  cmp	x16, x17
0xfffffff008a2afd4: 40000054  b.eq	#0xfffffff008a2afdc
0xfffffff008a2afd8: 408e38d4  brk	#0xc472
0xfffffff008a2afdc: 08c21191  add	x8, x16, #0x470
0xfffffff008a2afe0: 093a42f9  ldr	x9, [x16, #0x470]
0xfffffff008a2afe4: e00313aa  mov	x0, x19
0xfffffff008a2afe8: e10314aa  mov	x1, x20
0xfffffff008a2afec: f10308aa  mov	x17, x8
0xfffffff008a2aff0: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a2aff4: 31093fd7  blraa	x9, x17
0xfffffff008a2aff8: e0d301a9  stp	x0, x20, [sp, #0x18]
0xfffffff008a2affc: f9e300a9  stp	x25, x24, [sp, #8]
0xfffffff008a2b000: f50300f9  str	x21, [sp]
0xfffffff008a2b004: 8043ffd0  adrp	x0, #0xfffffff00729d000
0xfffffff008a2b008: 00481a91  add	x0, x0, #0x692
