; Candidate 8966
; ADRP+ADD at VM 0xfffffff008900db0 (fileoff 0x18fcdb0): page=0x1fe971000 add_imm=0xd69

0xfffffff008900d30: 814bffb0  adrp	x1, #0xfffffff007271000
0xfffffff008900d34: 21643791  add	x1, x1, #0xdd9
0xfffffff008900d38: e20316aa  mov	x2, x22
0xfffffff008900d3c: 13a45994  bl	#0xfffffff009f69d88
0xfffffff008900d40: f40300aa  mov	x20, x0
0xfffffff008900d44: e088ff90  adrp	x0, #0xfffffff007a1c000
0xfffffff008900d48: 00e01091  add	x0, x0, #0x438
0xfffffff008900d4c: e10316aa  mov	x1, x22
0xfffffff008900d50: 6f56e997  bl	#0xfffffff00835670c
0xfffffff008900d54: 740500b4  cbz	x20, #0xfffffff008900e00
0xfffffff008900d58: c888fff0  adrp	x8, #0xfffffff007a1b000
0xfffffff008900d5c: 088941f9  ldr	x8, [x8, #0x310]
0xfffffff008900d60: 010140f9  ldr	x1, [x8]
0xfffffff008900d64: e00314aa  mov	x0, x20
0xfffffff008900d68: e38be797  bl	#0xfffffff0082e3cf4
0xfffffff008900d6c: 601a01f9  str	x0, [x19, #0x230]
0xfffffff008900d70: e00400b4  cbz	x0, #0xfffffff008900e0c
0xfffffff008900d74: 601641f9  ldr	x0, [x19, #0x228]
0xfffffff008900d78: 100040f9  ldr	x16, [x0]
0xfffffff008900d7c: f10300aa  mov	x17, x0
0xfffffff008900d80: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008900d84: 301ac1da  autda	x16, x17
0xfffffff008900d88: 11ab80d2  mov	x17, #0x558
0xfffffff008900d8c: 1002118b  add	x16, x16, x17
0xfffffff008900d90: 080240f9  ldr	x8, [x16]
0xfffffff008900d94: e90310aa  mov	x9, x16
0xfffffff008900d98: f10309aa  mov	x17, x9
0xfffffff008900d9c: 51a1e0f2  movk	x17, #0x50a, lsl #48
0xfffffff008900da0: 11093fd7  blraa	x8, x17
0xfffffff008900da4: 00050036  tbz	w0, #0, #0xfffffff008900e44
0xfffffff008900da8: 20008052  mov	w0, #1
0xfffffff008900dac: 2a000014  b	#0xfffffff008900e54
0xfffffff008900db0: 804bffb0  adrp	x0, #0xfffffff007271000
0xfffffff008900db4: 00a43591  add	x0, x0, #0xd69
0xfffffff008900db8: 25000014  b	#0xfffffff008900e4c
0xfffffff008900dbc: 804bffb0  adrp	x0, #0xfffffff007271000
0xfffffff008900dc0: 008c3791  add	x0, x0, #0xde3
0xfffffff008900dc4: 22000014  b	#0xfffffff008900e4c
0xfffffff008900dc8: 804bffb0  adrp	x0, #0xfffffff007271000
0xfffffff008900dcc: 00943891  add	x0, x0, #0xe25
0xfffffff008900dd0: 9458e997  bl	#0xfffffff008357020
0xfffffff008900dd4: f00240f9  ldr	x16, [x23]
0xfffffff008900dd8: f10317aa  mov	x17, x23
0xfffffff008900ddc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008900de0: 301ac1da  autda	x16, x17
0xfffffff008900de4: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008900de8: e90310aa  mov	x9, x16
0xfffffff008900dec: e00317aa  mov	x0, x23
0xfffffff008900df0: 11000014  b	#0xfffffff008900e34
0xfffffff008900df4: 804bffb0  adrp	x0, #0xfffffff007271000
0xfffffff008900df8: 00a83b91  add	x0, x0, #0xeea
0xfffffff008900dfc: 14000014  b	#0xfffffff008900e4c
0xfffffff008900e00: 804bffb0  adrp	x0, #0xfffffff007271000
0xfffffff008900e04: 00d03c91  add	x0, x0, #0xf34
0xfffffff008900e08: 11000014  b	#0xfffffff008900e4c
0xfffffff008900e0c: 804bffb0  adrp	x0, #0xfffffff007271000
0xfffffff008900e10: 00e03d91  add	x0, x0, #0xf78
0xfffffff008900e14: 8358e997  bl	#0xfffffff008357020
0xfffffff008900e18: 900240f9  ldr	x16, [x20]
0xfffffff008900e1c: f10314aa  mov	x17, x20
0xfffffff008900e20: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008900e24: 301ac1da  autda	x16, x17
0xfffffff008900e28: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008900e2c: e90310aa  mov	x9, x16
