; Candidate 12677
; ADRP+ADD at VM 0xfffffff00911b484 (fileoff 0x2117484): page=0x11f9000 add_imm=0xd20

0xfffffff00911b404: 4fa60094  bl	#0xfffffff009144d40
0xfffffff00911b408: 28a60094  bl	#0xfffffff009144ca8
0xfffffff00911b40c: 7f2303d5  pacibsp	
0xfffffff00911b410: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00911b414: fd030091  mov	x29, sp
0xfffffff00911b418: 006c40f9  ldr	x0, [x0, #0xd8]
0xfffffff00911b41c: 100040f9  ldr	x16, [x0]
0xfffffff00911b420: f10300aa  mov	x17, x0
0xfffffff00911b424: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00911b428: 301ac1da  autda	x16, x17
0xfffffff00911b42c: 112380d2  mov	x17, #0x118
0xfffffff00911b430: 1002118b  add	x16, x16, x17
0xfffffff00911b434: 080240f9  ldr	x8, [x16]
0xfffffff00911b438: e90310aa  mov	x9, x16
0xfffffff00911b43c: e11aff90  adrp	x1, #0xfffffff007477000
0xfffffff00911b440: 21900891  add	x1, x1, #0x224
0xfffffff00911b444: f10309aa  mov	x17, x9
0xfffffff00911b448: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff00911b44c: 11093fd7  blraa	x8, x17
0xfffffff00911b450: c851ff90  adrp	x8, #0xfffffff007b53000
0xfffffff00911b454: 081145f9  ldr	x8, [x8, #0xa20]
0xfffffff00911b458: 080140f9  ldr	x8, [x8]
0xfffffff00911b45c: 080140f9  ldr	x8, [x8]
0xfffffff00911b460: 1f0100eb  cmp	x8, x0
0xfffffff00911b464: e0179f1a  cset	w0, eq
0xfffffff00911b468: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00911b46c: ff0f5fd6  retab	
0xfffffff00911b470: 5f2403d5  bti	c
0xfffffff00911b474: a024c717  b	#0xfffffff0082e46f4
0xfffffff00911b478: 7f2303d5  pacibsp	
0xfffffff00911b47c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00911b480: fd030091  mov	x29, sp
0xfffffff00911b484: c08f00b0  adrp	x0, #0xfffffff00a314000
0xfffffff00911b488: 00803491  add	x0, x0, #0xd20
0xfffffff00911b48c: c11afff0  adrp	x1, #0xfffffff007476000
0xfffffff00911b490: 21741491  add	x1, x1, #0x51d
0xfffffff00911b494: c251ff90  adrp	x2, #0xfffffff007b53000
0xfffffff00911b498: 429844f9  ldr	x2, [x2, #0x930]
0xfffffff00911b49c: 031c8052  mov	w3, #0xe0
0xfffffff00911b4a0: a621c797  bl	#0xfffffff0082e3b38
0xfffffff00911b4a4: f051ff90  adrp	x16, #0xfffffff007b57000
0xfffffff00911b4a8: 10a21491  add	x16, x16, #0x528
0xfffffff00911b4ac: 10420091  add	x16, x16, #0x10
0xfffffff00911b4b0: f10300aa  mov	x17, x0
0xfffffff00911b4b4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00911b4b8: 300ac1da  pacda	x16, x17
0xfffffff00911b4bc: 100000f9  str	x16, [x0]
0xfffffff00911b4c0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00911b4c4: ff0f5fd6  retab	
0xfffffff00911b4c8: 5f2403d5  bti	c
0xfffffff00911b4cc: c08f00b0  adrp	x0, #0xfffffff00a314000
0xfffffff00911b4d0: 00803491  add	x0, x0, #0xd20
0xfffffff00911b4d4: 8824c717  b	#0xfffffff0082e46f4
0xfffffff00911b4d8: 7f2303d5  pacibsp	
0xfffffff00911b4dc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00911b4e0: fd030091  mov	x29, sp
0xfffffff00911b4e4: e11aff90  adrp	x1, #0xfffffff007477000
0xfffffff00911b4e8: 21d83691  add	x1, x1, #0xdb6
0xfffffff00911b4ec: c28f00d0  adrp	x2, #0xfffffff00a315000
0xfffffff00911b4f0: 42801591  add	x2, x2, #0x560
0xfffffff00911b4f4: 03048052  mov	w3, #0x20
0xfffffff00911b4f8: 9021c797  bl	#0xfffffff0082e3b38
0xfffffff00911b4fc: f051ff90  adrp	x16, #0xfffffff007b57000
0xfffffff00911b500: 10c23891  add	x16, x16, #0xe30
