; Candidate 9868
; ADRP+ADD at VM 0xfffffff008b65f00 (fileoff 0x1b61f00): page=0x1fef2e000 add_imm=0xe70

0xfffffff008b65e80: 000540f9  ldr	x0, [x8, #8]
0xfffffff008b65e84: 100040f9  ldr	x16, [x0]
0xfffffff008b65e88: f10300aa  mov	x17, x0
0xfffffff008b65e8c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b65e90: 301ac1da  autda	x16, x17
0xfffffff008b65e94: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008b65e98: e90310aa  mov	x9, x16
0xfffffff008b65e9c: f10309aa  mov	x17, x9
0xfffffff008b65ea0: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008b65ea4: 11093fd7  blraa	x8, x17
0xfffffff008b65ea8: e11740f9  ldr	x1, [sp, #0x28]
0xfffffff008b65eac: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff008b65eb0: 6079ffd0  adrp	x0, #0xfffffff007a93000
0xfffffff008b65eb4: 00c03491  add	x0, x0, #0xd30
0xfffffff008b65eb8: 97ffff17  b	#0xfffffff008b65d14
0xfffffff008b65ebc: b3578052  mov	w19, #0x2bd
0xfffffff008b65ec0: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008b65ec4: a80240b9  ldr	w8, [x21]
0xfffffff008b65ec8: 493efff0  adrp	x9, #0xfffffff007330000
0xfffffff008b65ecc: 29ad0a91  add	x9, x9, #0x2ab
0xfffffff008b65ed0: e82700a9  stp	x8, x9, [sp]
0xfffffff008b65ed4: 003dff90  adrp	x0, #0xfffffff007305000
0xfffffff008b65ed8: 00400c91  add	x0, x0, #0x310
0xfffffff008b65edc: 4179ff90  adrp	x1, #0xfffffff007a8d000
0xfffffff008b65ee0: 21a441f9  ldr	x1, [x1, #0x348]
0xfffffff008b65ee4: 033eff90  adrp	x3, #0xfffffff007325000
0xfffffff008b65ee8: 63700291  add	x3, x3, #0x9c
0xfffffff008b65eec: 02008052  mov	w2, #0
0xfffffff008b65ef0: 9034df97  bl	#0xfffffff008333130
0xfffffff008b65ef4: 89ffff17  b	#0xfffffff008b65d18
0xfffffff008b65ef8: b3578052  mov	w19, #0x2bd
0xfffffff008b65efc: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008b65f00: 6079ffd0  adrp	x0, #0xfffffff007a93000
0xfffffff008b65f04: 00c03991  add	x0, x0, #0xe70
0xfffffff008b65f08: 82ffff17  b	#0xfffffff008b65d10
0xfffffff008b65f0c: 28008052  mov	w8, #1
0xfffffff008b65f10: 880200b9  str	w8, [x20]
0xfffffff008b65f14: 9f2a01b9  str	wzr, [x20, #0x128]
0xfffffff008b65f18: e0830091  add	x0, sp, #0x20
0xfffffff008b65f1c: ad800094  bl	#0xfffffff008b861d0
0xfffffff008b65f20: 200a00b4  cbz	x0, #0xfffffff008b66064
0xfffffff008b65f24: f40300aa  mov	x20, x0
0xfffffff008b65f28: a02640f9  ldr	x0, [x21, #0x48]
0xfffffff008b65f2c: 100040f9  ldr	x16, [x0]
0xfffffff008b65f30: f10300aa  mov	x17, x0
0xfffffff008b65f34: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b65f38: 301ac1da  autda	x16, x17
0xfffffff008b65f3c: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff008b65f40: e90310aa  mov	x9, x16
0xfffffff008b65f44: e10314aa  mov	x1, x20
0xfffffff008b65f48: f10309aa  mov	x17, x9
0xfffffff008b65f4c: 5160f8f2  movk	x17, #0xc302, lsl #48
0xfffffff008b65f50: 11093fd7  blraa	x8, x17
0xfffffff008b65f54: 900240f9  ldr	x16, [x20]
0xfffffff008b65f58: f10314aa  mov	x17, x20
0xfffffff008b65f5c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b65f60: 301ac1da  autda	x16, x17
0xfffffff008b65f64: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008b65f68: e90310aa  mov	x9, x16
0xfffffff008b65f6c: e00314aa  mov	x0, x20
0xfffffff008b65f70: f10309aa  mov	x17, x9
0xfffffff008b65f74: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008b65f78: 11093fd7  blraa	x8, x17
0xfffffff008b65f7c: 685e4339  ldrb	w8, [x19, #0xd7]
