; Candidate 13727
; ADRP+ADD at VM 0xfffffff00955f258 (fileoff 0x255b258): page=0x1fe000000 add_imm=0xd95

0xfffffff00955f1d8: 41008052  mov	w1, #2
0xfffffff00955f1dc: 22008052  mov	w2, #1
0xfffffff00955f1e0: 6cfa0094  bl	#0xfffffff00959db90
0xfffffff00955f1e4: a0040034  cbz	w0, #0xfffffff00955f278
0xfffffff00955f1e8: fc0300aa  mov	x28, x0
0xfffffff00955f1ec: 14008052  mov	w20, #0
0xfffffff00955f1f0: e3000014  b	#0xfffffff00955f57c
0xfffffff00955f1f4: 48034079  ldrh	w8, [x26]
0xfffffff00955f1f8: 1f110071  cmp	w8, #4
0xfffffff00955f1fc: f4031aaa  mov	x20, x26
0xfffffff00955f200: 41050054  b.ne	#0xfffffff00955f2a8
0xfffffff00955f204: e89b43a9  ldp	x8, x6, [sp, #0x38]
0xfffffff00955f208: 07810091  add	x7, x8, #0x20
0xfffffff00955f20c: 88124079  ldrh	w8, [x20, #8]
0xfffffff00955f210: 08791f53  lsl	w8, w8, #1
0xfffffff00955f214: 08190011  add	w8, w8, #6
0xfffffff00955f218: e10314aa  mov	x1, x20
0xfffffff00955f21c: 282c0078  strh	w8, [x1, #2]!
0xfffffff00955f220: e85f40b9  ldr	w8, [sp, #0x5c]
0xfffffff00955f224: 1ffd0371  cmp	w8, #0xff
0xfffffff00955f228: e4179f1a  cset	w4, eq
0xfffffff00955f22c: ff0300f9  str	xzr, [sp]
0xfffffff00955f230: e00317aa  mov	x0, x23
0xfffffff00955f234: 42008052  mov	w2, #2
0xfffffff00955f238: 03008052  mov	w3, #0
0xfffffff00955f23c: fa2740f9  ldr	x26, [sp, #0x48]
0xfffffff00955f240: e5031aaa  mov	x5, x26
0xfffffff00955f244: c9ab0094  bl	#0xfffffff00958a168
0xfffffff00955f248: e0030034  cbz	w0, #0xfffffff00955f2c4
0xfffffff00955f24c: f90300aa  mov	x25, x0
0xfffffff00955f250: e80316aa  mov	x8, x22
0xfffffff00955f254: e86700a9  stp	x8, x25, [sp]
0xfffffff00955f258: 0000ff90  adrp	x0, #0xfffffff00755f000
0xfffffff00955f25c: 00543691  add	x0, x0, #0xd95
0xfffffff00955f260: 8060a197  bl	#0xfffffff007db7460
0xfffffff00955f264: fa5740b9  ldr	w26, [sp, #0x54]
0xfffffff00955f268: e00317aa  mov	x0, x23
0xfffffff00955f26c: 01008052  mov	w1, #0
0xfffffff00955f270: 26ca0094  bl	#0xfffffff009591b08
0xfffffff00955f274: 1b000014  b	#0xfffffff00955f2e0
0xfffffff00955f278: 68034139  ldrb	w8, [x27, #0x40]
0xfffffff00955f27c: c8012837  tbnz	w8, #5, #0xfffffff00955f2b4
0xfffffff00955f280: c4fffef0  adrp	x4, #0xfffffff00755a000
0xfffffff00955f284: 84e81f91  add	x4, x4, #0x7fa
0xfffffff00955f288: e00315aa  mov	x0, x21
0xfffffff00955f28c: 01008052  mov	w1, #0
0xfffffff00955f290: 02008052  mov	w2, #0
0xfffffff00955f294: 03008052  mov	w3, #0
0xfffffff00955f298: 2fa7a697  bl	#0xfffffff007f08f54
0xfffffff00955f29c: 39008052  mov	w25, #1
0xfffffff00955f2a0: 40faff35  cbnz	w0, #0xfffffff00955f1e8
0xfffffff00955f2a4: 48ffff17  b	#0xfffffff00955efc4
0xfffffff00955f2a8: 59008052  mov	w25, #2
0xfffffff00955f2ac: fa5740b9  ldr	w26, [sp, #0x54]
0xfffffff00955f2b0: 0c000014  b	#0xfffffff00955f2e0
0xfffffff00955f2b4: 14008052  mov	w20, #0
0xfffffff00955f2b8: 1c008052  mov	w28, #0
0xfffffff00955f2bc: 39008052  mov	w25, #1
0xfffffff00955f2c0: af000014  b	#0xfffffff00955f57c
0xfffffff00955f2c4: e8031aaa  mov	x8, x26
0xfffffff00955f2c8: fa5740b9  ldr	w26, [sp, #0x54]
0xfffffff00955f2cc: 880000b4  cbz	x8, #0xfffffff00955f2dc
0xfffffff00955f2d0: 080d40b9  ldr	w8, [x8, #0xc]
0xfffffff00955f2d4: 1f01166b  cmp	w8, w22
