; Candidate 8182
; ADRP+ADD at VM 0xfffffff00889a784 (fileoff 0x1896784): page=0x1fe94f000 add_imm=0xe80

0xfffffff00889a704: a04cffd0  adrp	x0, #0xfffffff007230000
0xfffffff00889a708: 00901491  add	x0, x0, #0x524
0xfffffff00889a70c: f42300a9  stp	x20, x8, [sp]
0xfffffff00889a710: 5473d497  bl	#0xfffffff007db7460
0xfffffff00889a714: 24000014  b	#0xfffffff00889a7a4
0xfffffff00889a718: 74820c91  add	x20, x19, #0x320
0xfffffff00889a71c: e00314aa  mov	x0, x20
0xfffffff00889a720: c453fe97  bl	#0xfffffff00882f630
0xfffffff00889a724: 08b78752  mov	w8, #0x3db8
0xfffffff00889a728: 7502088b  add	x21, x19, x8
0xfffffff00889a72c: e00315aa  mov	x0, x21
0xfffffff00889a730: c053fe97  bl	#0xfffffff00882f630
0xfffffff00889a734: 9e660094  bl	#0xfffffff0088b41ac
0xfffffff00889a738: f60300aa  mov	x22, x0
0xfffffff00889a73c: 00018052  mov	w0, #8
0xfffffff00889a740: 4484ff97  bl	#0xfffffff00887b850
0xfffffff00889a744: f70300aa  mov	x23, x0
0xfffffff00889a748: 790240b9  ldr	w25, [x19]
0xfffffff00889a74c: e00314aa  mov	x0, x20
0xfffffff00889a750: b853fe97  bl	#0xfffffff00882f630
0xfffffff00889a754: f40300aa  mov	x20, x0
0xfffffff00889a758: e00315aa  mov	x0, x21
0xfffffff00889a75c: b553fe97  bl	#0xfffffff00882f630
0xfffffff00889a760: f40304a9  stp	x20, x0, [sp, #0x40]
0xfffffff00889a764: f36703a9  stp	x19, x25, [sp, #0x30]
0xfffffff00889a768: c8178052  mov	w8, #0xbe
0xfffffff00889a76c: f82302a9  stp	x24, x8, [sp, #0x20]
0xfffffff00889a770: a84cfff0  adrp	x8, #0xfffffff007231000
0xfffffff00889a774: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889a778: f72301a9  stp	x23, x8, [sp, #0x10]
0xfffffff00889a77c: a80f8052  mov	w8, #0x7d
0xfffffff00889a780: f62300a9  stp	x22, x8, [sp]
0xfffffff00889a784: 604afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889a788: 00003a91  add	x0, x0, #0xe80
0xfffffff00889a78c: 618bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00889a790: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889a794: 234effd0  adrp	x3, #0xfffffff007260000
0xfffffff00889a798: 634c1391  add	x3, x3, #0x4d3
0xfffffff00889a79c: 02008052  mov	w2, #0
0xfffffff00889a7a0: 6462ea97  bl	#0xfffffff008333130
0xfffffff00889a7a4: d44bffb0  adrp	x20, #0xfffffff007213000
0xfffffff00889a7a8: 94fa3e91  add	x20, x20, #0xfbe
0xfffffff00889a7ac: e00313aa  mov	x0, x19
0xfffffff00889a7b0: a10f8052  mov	w1, #0x7d
0xfffffff00889a7b4: 02018052  mov	w2, #8
0xfffffff00889a7b8: e30314aa  mov	x3, x20
0xfffffff00889a7bc: 64188052  mov	w4, #0xc3
0xfffffff00889a7c0: b7030094  bl	#0xfffffff00889b69c
0xfffffff00889a7c4: 60820c91  add	x0, x19, #0x320
0xfffffff00889a7c8: 6b53fe97  bl	#0xfffffff00882f574
0xfffffff00889a7cc: 08b78752  mov	w8, #0x3db8
0xfffffff00889a7d0: 6002088b  add	x0, x19, x8
0xfffffff00889a7d4: 6853fe97  bl	#0xfffffff00882f574
0xfffffff00889a7d8: 60820091  add	x0, x19, #0x20
0xfffffff00889a7dc: 01008052  mov	w1, #0
0xfffffff00889a7e0: 02608052  mov	w2, #0x300
0xfffffff00889a7e4: f7c8d297  bl	#0xfffffff007d4cbc0
0xfffffff00889a7e8: 60c20c91  add	x0, x19, #0x330
0xfffffff00889a7ec: 01008052  mov	w1, #0
0xfffffff00889a7f0: 02308052  mov	w2, #0x180
0xfffffff00889a7f4: f3c8d297  bl	#0xfffffff007d4cbc0
0xfffffff00889a7f8: 60c21291  add	x0, x19, #0x4b0
0xfffffff00889a7fc: 01008052  mov	w1, #0
0xfffffff00889a800: 02218752  mov	w2, #0x3908
