; Candidate 3104
; ADRP+ADD at VM 0xfffffff008713384 (fileoff 0x170f384): page=0x1fea1e000 add_imm=0xd90

0xfffffff008713304: 190080d2  mov	x25, #0
0xfffffff008713308: f450ffd0  adrp	x20, #0xfffffff007131000
0xfffffff00871330c: 94423691  add	x20, x20, #0xd90
0xfffffff008713310: 5597ffd0  adrp	x21, #0xfffffff0079fd000
0xfffffff008713314: b5de41f9  ldr	x21, [x21, #0x3b8]
0xfffffff008713318: 3651ff90  adrp	x22, #0xfffffff007137000
0xfffffff00871331c: d67e3b91  add	x22, x22, #0xedf
0xfffffff008713320: 090540b9  ldr	w9, [x8, #4]
0xfffffff008713324: 3f0309eb  cmp	x25, x9
0xfffffff008713328: 82020054  b.hs	#0xfffffff008713378
0xfffffff00871332c: 697a40b9  ldr	w9, [x19, #0x78]
0xfffffff008713330: ff02296a  bics	wzr, w23, w9
0xfffffff008713334: c1010054  b.ne	#0xfffffff00871336c
0xfffffff008713338: 693240f9  ldr	x9, [x19, #0x60]
0xfffffff00871333c: 2801188b  add	x8, x9, x24
0xfffffff008713340: 490000b4  cbz	x9, #0xfffffff008713348
0xfffffff008713344: 090140b9  ldr	w9, [x8]
0xfffffff008713348: 0a0540b9  ldr	w10, [x8, #4]
0xfffffff00871334c: e92b01a9  stp	x9, x10, [sp, #0x10]
0xfffffff008713350: f92300a9  stp	x25, x8, [sp]
0xfffffff008713354: e00314aa  mov	x0, x20
0xfffffff008713358: e10315aa  mov	x1, x21
0xfffffff00871335c: 02008052  mov	w2, #0
0xfffffff008713360: e30316aa  mov	x3, x22
0xfffffff008713364: 737ff097  bl	#0xfffffff008333130
0xfffffff008713368: 683640f9  ldr	x8, [x19, #0x68]
0xfffffff00871336c: 39070091  add	x25, x25, #1
0xfffffff008713370: 18831e91  add	x24, x24, #0x7a0
0xfffffff008713374: 68fdffb5  cbnz	x8, #0xfffffff008713320
0xfffffff008713378: 687a40b9  ldr	w8, [x19, #0x78]
0xfffffff00871337c: ff02286a  bics	wzr, w23, w8
0xfffffff008713380: 21010054  b.ne	#0xfffffff0087133a4
0xfffffff008713384: e050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff008713388: 00403691  add	x0, x0, #0xd90
0xfffffff00871338c: 4197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008713390: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008713394: 2351ff90  adrp	x3, #0xfffffff007137000
0xfffffff008713398: 63503c91  add	x3, x3, #0xf14
0xfffffff00871339c: 02008052  mov	w2, #0
0xfffffff0087133a0: 647ff097  bl	#0xfffffff008333130
0xfffffff0087133a4: e00313aa  mov	x0, x19
0xfffffff0087133a8: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0087133ac: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0087133b0: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0087133b4: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0087133b8: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff0087133bc: ffc30191  add	sp, sp, #0x70
0xfffffff0087133c0: ff0f5fd6  retab	
0xfffffff0087133c4: 7f2303d5  pacibsp	
0xfffffff0087133c8: ff0301d1  sub	sp, sp, #0x40
0xfffffff0087133cc: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0087133d0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0087133d4: fdc30091  add	x29, sp, #0x30
0xfffffff0087133d8: f30301aa  mov	x19, x1
0xfffffff0087133dc: f40300aa  mov	x20, x0
0xfffffff0087133e0: 22000094  bl	#0xfffffff008713468
0xfffffff0087133e4: 1f040031  cmn	w0, #1
0xfffffff0087133e8: 40030054  b.eq	#0xfffffff008713450
0xfffffff0087133ec: 883240f9  ldr	x8, [x20, #0x60]
0xfffffff0087133f0: 09f48052  mov	w9, #0x7a0
0xfffffff0087133f4: 0820299b  smaddl	x8, w0, w9, x8
0xfffffff0087133f8: 683e00f9  str	x8, [x19, #0x78]
0xfffffff0087133fc: 009907b9  str	w0, [x8, #0x798]
0xfffffff008713400: 1fc503f9  str	xzr, [x8, #0x788]
