; Candidate 8525
; ADRP+ADD at VM 0xfffffff0088af784 (fileoff 0x18ab784): page=0x1fe93a000 add_imm=0xe80

0xfffffff0088af704: 49008052  mov	w9, #2
0xfffffff0088af708: e8260329  stp	w8, w9, [x23, #0x18]
0xfffffff0088af70c: 680a0091  add	x8, x19, #2
0xfffffff0088af710: e81200f9  str	x8, [x23, #0x20]
0xfffffff0088af714: 880a0011  add	w8, w20, #2
0xfffffff0088af718: 29008052  mov	w9, #1
0xfffffff0088af71c: e8260529  stp	w8, w9, [x23, #0x28]
0xfffffff0088af720: 68120091  add	x8, x19, #4
0xfffffff0088af724: e81a00f9  str	x8, [x23, #0x30]
0xfffffff0088af728: 88120011  add	w8, w20, #4
0xfffffff0088af72c: e87e0729  stp	w8, wzr, [x23, #0x38]
0xfffffff0088af730: ff5200b9  str	wzr, [x23, #0x50]
0xfffffff0088af734: df020071  cmp	w22, #0
0xfffffff0088af738: 2815891a  cinc	w8, w9, eq
0xfffffff0088af73c: e9039f5a  csetm	w9, ne
0xfffffff0088af740: e8260029  stp	w8, w9, [x23]
0xfffffff0088af744: 6d000014  b	#0xfffffff0088af8f8
0xfffffff0088af748: 99120094  bl	#0xfffffff0088b41ac
0xfffffff0088af74c: f80300aa  mov	x24, x0
0xfffffff0088af750: e0008052  mov	w0, #7
0xfffffff0088af754: 3f30ff97  bl	#0xfffffff00887b850
0xfffffff0088af758: e80316aa  mov	x8, x22
0xfffffff0088af75c: e90315aa  mov	x9, x21
0xfffffff0088af760: e8df03a9  stp	x8, x23, [sp, #0x38]
0xfffffff0088af764: e80314aa  mov	x8, x20
0xfffffff0088af768: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff0088af76c: 284cffb0  adrp	x8, #0xfffffff007234000
0xfffffff0088af770: 08dd0991  add	x8, x8, #0x277
0xfffffff0088af774: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088af778: c80f8052  mov	w8, #0x7e
0xfffffff0088af77c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088af780: f80300f9  str	x24, [sp]
0xfffffff0088af784: c049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088af788: 00003a91  add	x0, x0, #0xe80
0xfffffff0088af78c: c18affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088af790: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088af794: a34dffb0  adrp	x3, #0xfffffff007264000
0xfffffff0088af798: 63480c91  add	x3, x3, #0x312
0xfffffff0088af79c: 02008052  mov	w2, #0
0xfffffff0088af7a0: 640eea97  bl	#0xfffffff008333130
0xfffffff0088af7a4: d4f9ff36  tbz	w20, #0x1f, #0xfffffff0088af6dc
0xfffffff0088af7a8: c00f8052  mov	w0, #0x7e
0xfffffff0088af7ac: 81008052  mov	w1, #4
0xfffffff0088af7b0: 0830ff97  bl	#0xfffffff00887b7d0
0xfffffff0088af7b4: 000a0034  cbz	w0, #0xfffffff0088af8f4
0xfffffff0088af7b8: c00f8052  mov	w0, #0x7e
0xfffffff0088af7bc: 1730ff97  bl	#0xfffffff00887b818
0xfffffff0088af7c0: f90300aa  mov	x25, x0
0xfffffff0088af7c4: 7a120094  bl	#0xfffffff0088b41ac
0xfffffff0088af7c8: f80300aa  mov	x24, x0
0xfffffff0088af7cc: 80008052  mov	w0, #4
0xfffffff0088af7d0: 2030ff97  bl	#0xfffffff00887b850
0xfffffff0088af7d4: b9050034  cbz	w25, #0xfffffff0088af888
0xfffffff0088af7d8: e80316aa  mov	x8, x22
0xfffffff0088af7dc: e90315aa  mov	x9, x21
0xfffffff0088af7e0: e8df04a9  stp	x8, x23, [sp, #0x48]
0xfffffff0088af7e4: e80314aa  mov	x8, x20
0xfffffff0088af7e8: e8a703a9  stp	x8, x9, [sp, #0x38]
0xfffffff0088af7ec: 284cffb0  adrp	x8, #0xfffffff007234000
0xfffffff0088af7f0: 08f90791  add	x8, x8, #0x1fe
0xfffffff0088af7f4: c9d88052  mov	w9, #0x6c6
0xfffffff0088af7f8: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088af7fc: 284cffb0  adrp	x8, #0xfffffff007234000
0xfffffff0088af800: 08dd0991  add	x8, x8, #0x277
