; Candidate 6452
; ADRP+ADD at VM 0xfffffff00882c4e0 (fileoff 0x18284e0): page=0x1fe9bd000 add_imm=0xe80

0xfffffff00882c460: 400f8052  mov	w0, #0x7a
0xfffffff00882c464: ed3c0194  bl	#0xfffffff00887b818
0xfffffff00882c468: f40300aa  mov	x20, x0
0xfffffff00882c46c: 501f0294  bl	#0xfffffff0088b41ac
0xfffffff00882c470: f30300aa  mov	x19, x0
0xfffffff00882c474: 00018052  mov	w0, #8
0xfffffff00882c478: f63c0194  bl	#0xfffffff00887b850
0xfffffff00882c47c: b4010034  cbz	w20, #0xfffffff00882c4b0
0xfffffff00882c480: e8c30091  add	x8, sp, #0x30
0xfffffff00882c484: 69168052  mov	w9, #0xb3
0xfffffff00882c488: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00882c48c: a84fffd0  adrp	x8, #0xfffffff007222000
0xfffffff00882c490: 08d10f91  add	x8, x8, #0x3f4
0xfffffff00882c494: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882c498: 480f8052  mov	w8, #0x7a
0xfffffff00882c49c: f32300a9  stp	x19, x8, [sp]
0xfffffff00882c4a0: a04fffd0  adrp	x0, #0xfffffff007222000
0xfffffff00882c4a4: 003c0f91  add	x0, x0, #0x3cf
0xfffffff00882c4a8: ee2bd697  bl	#0xfffffff007db7460
0xfffffff00882c4ac: 15000014  b	#0xfffffff00882c500
0xfffffff00882c4b0: 3f1f0294  bl	#0xfffffff0088b41ac
0xfffffff00882c4b4: f30300aa  mov	x19, x0
0xfffffff00882c4b8: 00018052  mov	w0, #8
0xfffffff00882c4bc: e53c0194  bl	#0xfffffff00887b850
0xfffffff00882c4c0: e8c30091  add	x8, sp, #0x30
0xfffffff00882c4c4: 69168052  mov	w9, #0xb3
0xfffffff00882c4c8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00882c4cc: a84fffd0  adrp	x8, #0xfffffff007222000
0xfffffff00882c4d0: 08d10f91  add	x8, x8, #0x3f4
0xfffffff00882c4d4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882c4d8: 480f8052  mov	w8, #0x7a
0xfffffff00882c4dc: f32300a9  stp	x19, x8, [sp]
0xfffffff00882c4e0: e04dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882c4e4: 00003a91  add	x0, x0, #0xe80
0xfffffff00882c4e8: e18eff90  adrp	x1, #0xfffffff007a08000
0xfffffff00882c4ec: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882c4f0: 0351ff90  adrp	x3, #0xfffffff00724c000
0xfffffff00882c4f4: 63d81891  add	x3, x3, #0x636
0xfffffff00882c4f8: 02008052  mov	w2, #0
0xfffffff00882c4fc: 0d1bec97  bl	#0xfffffff008333130
0xfffffff00882c500: a8835df8  ldur	x8, [x29, #-0x28]
0xfffffff00882c504: e98eff90  adrp	x9, #0xfffffff007a08000
0xfffffff00882c508: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff00882c50c: 290140f9  ldr	x9, [x9]
0xfffffff00882c510: 3f0108eb  cmp	x9, x8
0xfffffff00882c514: e1000054  b.ne	#0xfffffff00882c530
0xfffffff00882c518: 00008052  mov	w0, #0
0xfffffff00882c51c: fd7b52a9  ldp	x29, x30, [sp, #0x120]
0xfffffff00882c520: f44f51a9  ldp	x20, x19, [sp, #0x110]
0xfffffff00882c524: fc6f50a9  ldp	x28, x27, [sp, #0x100]
0xfffffff00882c528: ffc30491  add	sp, sp, #0x130
0xfffffff00882c52c: ff0f5fd6  retab	
0xfffffff00882c530: 47c6d497  bl	#0xfffffff007d5de4c
0xfffffff00882c534: 7f2303d5  pacibsp	
0xfffffff00882c538: ff0305d1  sub	sp, sp, #0x140
0xfffffff00882c53c: f85f10a9  stp	x24, x23, [sp, #0x100]
0xfffffff00882c540: f65711a9  stp	x22, x21, [sp, #0x110]
0xfffffff00882c544: f44f12a9  stp	x20, x19, [sp, #0x120]
0xfffffff00882c548: fd7b13a9  stp	x29, x30, [sp, #0x130]
0xfffffff00882c54c: fdc30491  add	x29, sp, #0x130
0xfffffff00882c550: f40301aa  mov	x20, x1
0xfffffff00882c554: f30300aa  mov	x19, x0
0xfffffff00882c558: e88eff90  adrp	x8, #0xfffffff007a08000
0xfffffff00882c55c: 082942f9  ldr	x8, [x8, #0x450]
