; Candidate 13155
; ADRP+ADD at VM 0xfffffff0091fe3b8 (fileoff 0x21fa3b8): page=0x1fe2a4000 add_imm=0xdec

0xfffffff0091fe338: 485900b9  str	w8, [x10, #0x58]
0xfffffff0091fe33c: 48a100b9  str	w8, [x10, #0xa0]
0xfffffff0091fe340: 680e44f9  ldr	x8, [x19, #0x818]
0xfffffff0091fe344: 485500f9  str	x8, [x10, #0xa8]
0xfffffff0091fe348: 2815ffd0  adrp	x8, #0xfffffff0074a4000
0xfffffff0091fe34c: 070942fd  ldr	d7, [x8, #0x410]
0xfffffff0091fe350: 400500fd  str	d0, [x10, #8]
0xfffffff0091fe354: 411100fd  str	d1, [x10, #0x20]
0xfffffff0091fe358: 421d00fd  str	d2, [x10, #0x38]
0xfffffff0091fe35c: 432900fd  str	d3, [x10, #0x50]
0xfffffff0091fe360: 443500fd  str	d4, [x10, #0x68]
0xfffffff0091fe364: 454100fd  str	d5, [x10, #0x80]
0xfffffff0091fe368: 464d00fd  str	d6, [x10, #0x98]
0xfffffff0091fe36c: 541100b9  str	w20, [x10, #0x10]
0xfffffff0091fe370: 544100b9  str	w20, [x10, #0x40]
0xfffffff0091fe374: 547100b9  str	w20, [x10, #0x70]
0xfffffff0091fe378: 548900b9  str	w20, [x10, #0x88]
0xfffffff0091fe37c: 475900fd  str	d7, [x10, #0xb0]
0xfffffff0091fe380: 54b900b9  str	w20, [x10, #0xb8]
0xfffffff0091fe384: 5f7d0ca9  stp	xzr, xzr, [x10, #0xc0]
0xfffffff0091fe388: 5f6900f9  str	xzr, [x10, #0xd0]
0xfffffff0091fe38c: 4cc900b9  str	w12, [x10, #0xc8]
0xfffffff0091fe390: 0015fff0  adrp	x0, #0xfffffff0074a1000
0xfffffff0091fe394: 00601591  add	x0, x0, #0x558
0xfffffff0091fe398: a8abc497  bl	#0xfffffff008329238
0xfffffff0091fe39c: d78800d0  adrp	x23, #0xfffffff00a318000
0xfffffff0091fe3a0: e06207f9  str	x0, [x23, #0xec0]
0xfffffff0091fe3a4: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe3a8: 00983791  add	x0, x0, #0xde6
0xfffffff0091fe3ac: a3abc497  bl	#0xfffffff008329238
0xfffffff0091fe3b0: d88800d0  adrp	x24, #0xfffffff00a318000
0xfffffff0091fe3b4: 006707f9  str	x0, [x24, #0xec8]
0xfffffff0091fe3b8: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe3bc: 00b03791  add	x0, x0, #0xdec
0xfffffff0091fe3c0: 9eabc497  bl	#0xfffffff008329238
0xfffffff0091fe3c4: d98800d0  adrp	x25, #0xfffffff00a318000
0xfffffff0091fe3c8: 206b07f9  str	x0, [x25, #0xed0]
0xfffffff0091fe3cc: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe3d0: 00003891  add	x0, x0, #0xe00
0xfffffff0091fe3d4: 99abc497  bl	#0xfffffff008329238
0xfffffff0091fe3d8: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fe3dc: 006d07f9  str	x0, [x8, #0xed8]
0xfffffff0091fe3e0: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe3e4: 00343891  add	x0, x0, #0xe0d
0xfffffff0091fe3e8: 94abc497  bl	#0xfffffff008329238
0xfffffff0091fe3ec: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fe3f0: 007107f9  str	x0, [x8, #0xee0]
0xfffffff0091fe3f4: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe3f8: 00683891  add	x0, x0, #0xe1a
0xfffffff0091fe3fc: 8fabc497  bl	#0xfffffff008329238
0xfffffff0091fe400: d38800d0  adrp	x19, #0xfffffff00a318000
0xfffffff0091fe404: 607607f9  str	x0, [x19, #0xee8]
0xfffffff0091fe408: 0015fff0  adrp	x0, #0xfffffff0074a1000
0xfffffff0091fe40c: 00a01091  add	x0, x0, #0x428
0xfffffff0091fe410: 8aabc497  bl	#0xfffffff008329238
0xfffffff0091fe414: dc8800d0  adrp	x28, #0xfffffff00a318000
0xfffffff0091fe418: 807b07f9  str	x0, [x28, #0xef0]
0xfffffff0091fe41c: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe420: 003c0791  add	x0, x0, #0x1cf
0xfffffff0091fe424: 85abc497  bl	#0xfffffff008329238
0xfffffff0091fe428: d68800d0  adrp	x22, #0xfffffff00a318000
0xfffffff0091fe42c: c07e07f9  str	x0, [x22, #0xef8]
0xfffffff0091fe430: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe434: 009c0491  add	x0, x0, #0x127
