; Candidate 13226
; ADRP+ADD at VM 0xfffffff0092380f4 (fileoff 0x22340f4): page=0x1fe27c000 add_imm=0xd19

0xfffffff009238074: c9a28052  mov	w9, #0x516
0xfffffff009238078: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff00923807c: e80300f9  str	x8, [sp]
0xfffffff009238080: e013ff90  adrp	x0, #0xfffffff0074b4000
0xfffffff009238084: 007c0c91  add	x0, x0, #0x31f
0xfffffff009238088: 2171c997  bl	#0xfffffff00849450c
0xfffffff00923808c: 7f2303d5  pacibsp	
0xfffffff009238090: ffc300d1  sub	sp, sp, #0x30
0xfffffff009238094: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009238098: fd830091  add	x29, sp, #0x20
0xfffffff00923809c: e813ff90  adrp	x8, #0xfffffff0074b4000
0xfffffff0092380a0: 0add2591  add	x10, x8, #0x977
0xfffffff0092380a4: e813ff90  adrp	x8, #0xfffffff0074b4000
0xfffffff0092380a8: 08153391  add	x8, x8, #0xcc5
0xfffffff0092380ac: c9af8052  mov	w9, #0x57e
0xfffffff0092380b0: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff0092380b4: e80300f9  str	x8, [sp]
0xfffffff0092380b8: e013ff90  adrp	x0, #0xfffffff0074b4000
0xfffffff0092380bc: 007c0c91  add	x0, x0, #0x31f
0xfffffff0092380c0: 1371c997  bl	#0xfffffff00849450c
0xfffffff0092380c4: 7f2303d5  pacibsp	
0xfffffff0092380c8: ffc300d1  sub	sp, sp, #0x30
0xfffffff0092380cc: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0092380d0: fd830091  add	x29, sp, #0x20
0xfffffff0092380d4: 08004039  ldrb	w8, [x0]
0xfffffff0092380d8: 290040f9  ldr	x9, [x1]
0xfffffff0092380dc: 291140b9  ldr	w9, [x9, #0x10]
0xfffffff0092380e0: aab08052  mov	w10, #0x585
0xfffffff0092380e4: cb13fff0  adrp	x11, #0xfffffff0074b3000
0xfffffff0092380e8: 6be93791  add	x11, x11, #0xdfa
0xfffffff0092380ec: eb2b01a9  stp	x11, x10, [sp, #0x10]
0xfffffff0092380f0: e82700a9  stp	x8, x9, [sp]
0xfffffff0092380f4: e013ff90  adrp	x0, #0xfffffff0074b4000
0xfffffff0092380f8: 00643491  add	x0, x0, #0xd19
0xfffffff0092380fc: 0471c997  bl	#0xfffffff00849450c
0xfffffff009238100: 7f2303d5  pacibsp	
0xfffffff009238104: ffc300d1  sub	sp, sp, #0x30
0xfffffff009238108: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00923810c: fd830091  add	x29, sp, #0x20
0xfffffff009238110: e813ff90  adrp	x8, #0xfffffff0074b4000
0xfffffff009238114: 0a7d2591  add	x10, x8, #0x95f
0xfffffff009238118: e813ff90  adrp	x8, #0xfffffff0074b4000
0xfffffff00923811c: 08153391  add	x8, x8, #0xcc5
0xfffffff009238120: a9af8052  mov	w9, #0x57d
0xfffffff009238124: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff009238128: e80300f9  str	x8, [sp]
0xfffffff00923812c: e013ff90  adrp	x0, #0xfffffff0074b4000
0xfffffff009238130: 007c0c91  add	x0, x0, #0x31f
0xfffffff009238134: f670c997  bl	#0xfffffff00849450c
0xfffffff009238138: 7f2303d5  pacibsp	
0xfffffff00923813c: ffc300d1  sub	sp, sp, #0x30
0xfffffff009238140: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009238144: fd830091  add	x29, sp, #0x20
0xfffffff009238148: e813ff90  adrp	x8, #0xfffffff0074b4000
0xfffffff00923814c: 0add2591  add	x10, x8, #0x977
0xfffffff009238150: e813ff90  adrp	x8, #0xfffffff0074b4000
0xfffffff009238154: 080d3791  add	x8, x8, #0xdc3
0xfffffff009238158: e9b88052  mov	w9, #0x5c7
0xfffffff00923815c: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff009238160: e80300f9  str	x8, [sp]
0xfffffff009238164: e013ff90  adrp	x0, #0xfffffff0074b4000
0xfffffff009238168: 007c0c91  add	x0, x0, #0x31f
0xfffffff00923816c: e870c997  bl	#0xfffffff00849450c
0xfffffff009238170: 7f2303d5  pacibsp	
