; Candidate 1551
; ADRP+ADD at VM 0xfffffff008493dcc (fileoff 0x148fdcc): page=0x1ff4ee000 add_imm=0xd70

0xfffffff008493d4c: c01a40f9  ldr	x0, [x22, #0x30]
0xfffffff008493d50: 000500b4  cbz	x0, #0xfffffff008493df0
0xfffffff008493d54: e80300aa  mov	x8, x0
0xfffffff008493d58: 090d41f8  ldr	x9, [x8, #0x10]!
0xfffffff008493d5c: e10313aa  mov	x1, x19
0xfffffff008493d60: 28093fd7  blraa	x9, x8
0xfffffff008493d64: e00000b4  cbz	x0, #0xfffffff008493d80
0xfffffff008493d68: 080c40f9  ldr	x8, [x0, #0x18]
0xfffffff008493d6c: 081140b9  ldr	w8, [x8, #0x10]
0xfffffff008493d70: 081d0011  add	w8, w8, #7
0xfffffff008493d74: e966a252  mov	w9, #0x13370000
0xfffffff008493d78: 092143b3  bfxil	x9, x8, #3, #6
0xfffffff008493d7c: a90200f9  str	x9, [x21]
0xfffffff008493d80: 9ffe00a9  stp	xzr, xzr, [x20, #8]
0xfffffff008493d84: 9f0200f9  str	xzr, [x20]
0xfffffff008493d88: e00313aa  mov	x0, x19
0xfffffff008493d8c: befcff97  bl	#0xfffffff008493084
0xfffffff008493d90: 60a7ffd0  adrp	x0, #0xfffffff007981000
0xfffffff008493d94: 00c03691  add	x0, x0, #0xdb0
0xfffffff008493d98: e10314aa  mov	x1, x20
0xfffffff008493d9c: 624ce497  bl	#0xfffffff007da6f24
0xfffffff008493da0: 60a7ffd0  adrp	x0, #0xfffffff007981000
0xfffffff008493da4: 00c03791  add	x0, x0, #0xdf0
0xfffffff008493da8: e10313aa  mov	x1, x19
0xfffffff008493dac: 5e4ce497  bl	#0xfffffff007da6f24
0xfffffff008493db0: 00008052  mov	w0, #0
0xfffffff008493db4: 0b000014  b	#0xfffffff008493de0
0xfffffff008493db8: 9f0a00f9  str	xzr, [x20, #0x10]
0xfffffff008493dbc: 60a7ffd0  adrp	x0, #0xfffffff007981000
0xfffffff008493dc0: 00c03491  add	x0, x0, #0xd30
0xfffffff008493dc4: e10313aa  mov	x1, x19
0xfffffff008493dc8: 574ce497  bl	#0xfffffff007da6f24
0xfffffff008493dcc: 60a7ffd0  adrp	x0, #0xfffffff007981000
0xfffffff008493dd0: 00c03591  add	x0, x0, #0xd70
0xfffffff008493dd4: e10314aa  mov	x1, x20
0xfffffff008493dd8: 534ce497  bl	#0xfffffff007da6f24
0xfffffff008493ddc: 40008052  mov	w0, #2
0xfffffff008493de0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008493de4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008493de8: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008493dec: ff0f5fd6  retab	
0xfffffff008493df0: 22000094  bl	#0xfffffff008493e78
0xfffffff008493df4: 7f2303d5  pacibsp	
0xfffffff008493df8: ff8300d1  sub	sp, sp, #0x20
0xfffffff008493dfc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008493e00: fd430091  add	x29, sp, #0x10
0xfffffff008493e04: a860fff0  adrp	x8, #0xfffffff0070aa000
0xfffffff008493e08: 08352691  add	x8, x8, #0x98d
0xfffffff008493e0c: e9098052  mov	w9, #0x4f
0xfffffff008493e10: e82700a9  stp	x8, x9, [sp]
0xfffffff008493e14: a060fff0  adrp	x0, #0xfffffff0070aa000
0xfffffff008493e18: 008c2591  add	x0, x0, #0x963
0xfffffff008493e1c: bc010094  bl	#0xfffffff00849450c
0xfffffff008493e20: 7f2303d5  pacibsp	
0xfffffff008493e24: ff8300d1  sub	sp, sp, #0x20
0xfffffff008493e28: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008493e2c: fd430091  add	x29, sp, #0x10
0xfffffff008493e30: a860fff0  adrp	x8, #0xfffffff0070aa000
0xfffffff008493e34: 08352691  add	x8, x8, #0x98d
0xfffffff008493e38: e90d8052  mov	w9, #0x6f
0xfffffff008493e3c: e82700a9  stp	x8, x9, [sp]
0xfffffff008493e40: a060fff0  adrp	x0, #0xfffffff0070aa000
0xfffffff008493e44: 008c2591  add	x0, x0, #0x963
0xfffffff008493e48: b1010094  bl	#0xfffffff00849450c
