; Candidate 2487
; ADRP+ADD at VM 0xfffffff0086a2910 (fileoff 0x169e910): page=0x1c37000 add_imm=0xd68

0xfffffff0086a2890: a4010000  udf	#0x1a4
0xfffffff0086a2894: 08020000  udf	#0x208
0xfffffff0086a2898: 68020000  udf	#0x268
0xfffffff0086a289c: c8020000  udf	#0x2c8
0xfffffff0086a28a0: 20030000  udf	#0x320
0xfffffff0086a28a4: 78030000  udf	#0x378
0xfffffff0086a28a8: d0030000  udf	#0x3d0
0xfffffff0086a28ac: 28040000  udf	#0x428
0xfffffff0086a28b0: 5f2403d5  bti	c
0xfffffff0086a28b4: 9007f117  b	#0xfffffff0082e46f4
0xfffffff0086a28b8: 5f2403d5  bti	c
0xfffffff0086a28bc: 8e07f117  b	#0xfffffff0082e46f4
0xfffffff0086a28c0: 5f2403d5  bti	c
0xfffffff0086a28c4: 8c07f117  b	#0xfffffff0082e46f4
0xfffffff0086a28c8: 7f2303d5  pacibsp	
0xfffffff0086a28cc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0086a28d0: fd030091  mov	x29, sp
0xfffffff0086a28d4: a0e100f0  adrp	x0, #0xfffffff00a2d9000
0xfffffff0086a28d8: 00003591  add	x0, x0, #0xd40
0xfffffff0086a28dc: 2154fff0  adrp	x1, #0xfffffff007129000
0xfffffff0086a28e0: 214c2a91  add	x1, x1, #0xa93
0xfffffff0086a28e4: 029affb0  adrp	x2, #0xfffffff0079e3000
0xfffffff0086a28e8: 42d446f9  ldr	x2, [x2, #0xda8]
0xfffffff0086a28ec: 03208052  mov	w3, #0x100
0xfffffff0086a28f0: 9204f197  bl	#0xfffffff0082e3b38
0xfffffff0086a28f4: 509afff0  adrp	x16, #0xfffffff0079ed000
0xfffffff0086a28f8: 10623191  add	x16, x16, #0xc58
0xfffffff0086a28fc: 10420091  add	x16, x16, #0x10
0xfffffff0086a2900: f10300aa  mov	x17, x0
0xfffffff0086a2904: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086a2908: 300ac1da  pacda	x16, x17
0xfffffff0086a290c: 100000f9  str	x16, [x0]
0xfffffff0086a2910: a0e100f0  adrp	x0, #0xfffffff00a2d9000
0xfffffff0086a2914: 00a03591  add	x0, x0, #0xd68
0xfffffff0086a2918: 2154fff0  adrp	x1, #0xfffffff007129000
0xfffffff0086a291c: 21f82f91  add	x1, x1, #0xbfe
0xfffffff0086a2920: 029affb0  adrp	x2, #0xfffffff0079e3000
0xfffffff0086a2924: 420047f9  ldr	x2, [x2, #0xe00]
0xfffffff0086a2928: 03158052  mov	w3, #0xa8
0xfffffff0086a292c: 8304f197  bl	#0xfffffff0082e3b38
0xfffffff0086a2930: 709aff90  adrp	x16, #0xfffffff0079ee000
0xfffffff0086a2934: 10a20b91  add	x16, x16, #0x2e8
0xfffffff0086a2938: 10420091  add	x16, x16, #0x10
0xfffffff0086a293c: f10300aa  mov	x17, x0
0xfffffff0086a2940: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086a2944: 300ac1da  pacda	x16, x17
0xfffffff0086a2948: 100000f9  str	x16, [x0]
0xfffffff0086a294c: a0e100f0  adrp	x0, #0xfffffff00a2d9000
0xfffffff0086a2950: 00403691  add	x0, x0, #0xd90
0xfffffff0086a2954: 2154fff0  adrp	x1, #0xfffffff007129000
0xfffffff0086a2958: 21fc3091  add	x1, x1, #0xc3f
0xfffffff0086a295c: 029affb0  adrp	x2, #0xfffffff0079e3000
0xfffffff0086a2960: 42a846f9  ldr	x2, [x2, #0xd50]
0xfffffff0086a2964: 031b8052  mov	w3, #0xd8
0xfffffff0086a2968: 7404f197  bl	#0xfffffff0082e3b38
0xfffffff0086a296c: 709aff90  adrp	x16, #0xfffffff0079ee000
0xfffffff0086a2970: 10a22591  add	x16, x16, #0x968
0xfffffff0086a2974: 10420091  add	x16, x16, #0x10
0xfffffff0086a2978: f10300aa  mov	x17, x0
0xfffffff0086a297c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086a2980: 300ac1da  pacda	x16, x17
0xfffffff0086a2984: 100000f9  str	x16, [x0]
0xfffffff0086a2988: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0086a298c: ff0f5fd6  retab	
