; Candidate 8395
; ADRP+ADD at VM 0xfffffff0088a861c (fileoff 0x18a461c): page=0x1fe941000 add_imm=0xe80

0xfffffff0088a859c: ea2303a9  stp	x10, x8, [sp, #0x30]
0xfffffff0088a85a0: e80317aa  mov	x8, x23
0xfffffff0088a85a4: e81700f9  str	x8, [sp, #0x28]
0xfffffff0088a85a8: e84740f9  ldr	x8, [sp, #0x88]
0xfffffff0088a85ac: e81300f9  str	x8, [sp, #0x20]
0xfffffff0088a85b0: a88302d1  sub	x8, x29, #0xa0
0xfffffff0088a85b4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a85b8: e84340f9  ldr	x8, [sp, #0x80]
0xfffffff0088a85bc: fb2300a9  stp	x27, x8, [sp]
0xfffffff0088a85c0: 004affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a85c4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a85c8: 018bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088a85cc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a85d0: 02008052  mov	w2, #0
0xfffffff0088a85d4: c34dffd0  adrp	x3, #0xfffffff007262000
0xfffffff0088a85d8: 63483891  add	x3, x3, #0xe12
0xfffffff0088a85dc: d52aea97  bl	#0xfffffff008333130
0xfffffff0088a85e0: 17000014  b	#0xfffffff0088a863c
0xfffffff0088a85e4: 480f40f9  ldr	x8, [x26, #0x18]
0xfffffff0088a85e8: 491740f9  ldr	x9, [x26, #0x28]
0xfffffff0088a85ec: 4a1340b9  ldr	w10, [x26, #0x10]
0xfffffff0088a85f0: 4b2340b9  ldr	w11, [x26, #0x20]
0xfffffff0088a85f4: 4cb74629  ldp	w12, w13, [x26, #0x34]
0xfffffff0088a85f8: 4ebf4729  ldp	w14, w15, [x26, #0x3c]
0xfffffff0088a85fc: eebf04a9  stp	x14, x15, [sp, #0x48]
0xfffffff0088a8600: ecb703a9  stp	x12, x13, [sp, #0x38]
0xfffffff0088a8604: eba702a9  stp	x11, x9, [sp, #0x28]
0xfffffff0088a8608: eaa301a9  stp	x10, x8, [sp, #0x18]
0xfffffff0088a860c: e84740f9  ldr	x8, [sp, #0x88]
0xfffffff0088a8610: e8df00a9  stp	x8, x23, [sp, #8]
0xfffffff0088a8614: a88302d1  sub	x8, x29, #0xa0
0xfffffff0088a8618: e80300f9  str	x8, [sp]
0xfffffff0088a861c: 004affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a8620: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a8624: 018bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088a8628: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a862c: 02008052  mov	w2, #0
0xfffffff0088a8630: c34dffd0  adrp	x3, #0xfffffff007262000
0xfffffff0088a8634: 638c3791  add	x3, x3, #0xde3
0xfffffff0088a8638: be2aea97  bl	#0xfffffff008333130
0xfffffff0088a863c: e0031aaa  mov	x0, x26
0xfffffff0088a8640: 101cfe97  bl	#0xfffffff00882f680
0xfffffff0088a8644: fa0300aa  mov	x26, x0
0xfffffff0088a8648: e00319aa  mov	x0, x25
0xfffffff0088a864c: 8c1efe97  bl	#0xfffffff00883007c
0xfffffff0088a8650: 5f0300eb  cmp	x26, x0
0xfffffff0088a8654: 01f1ff54  b.ne	#0xfffffff0088a8474
0xfffffff0088a8658: 9c070091  add	x28, x28, #1
0xfffffff0088a865c: e83b40f9  ldr	x8, [sp, #0x70]
0xfffffff0088a8660: 080180b9  ldrsw	x8, [x8]
0xfffffff0088a8664: 9f0308eb  cmp	x28, x8
0xfffffff0088a8668: ebeeff54  b.lt	#0xfffffff0088a8444
0xfffffff0088a866c: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff0088a8670: 098bff90  adrp	x9, #0xfffffff007a08000
0xfffffff0088a8674: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff0088a8678: 290140f9  ldr	x9, [x9]
0xfffffff0088a867c: 3f0108eb  cmp	x9, x8
0xfffffff0088a8680: 41010054  b.ne	#0xfffffff0088a86a8
0xfffffff0088a8684: 00008052  mov	w0, #0
0xfffffff0088a8688: fd7b55a9  ldp	x29, x30, [sp, #0x150]
0xfffffff0088a868c: f44f54a9  ldp	x20, x19, [sp, #0x140]
0xfffffff0088a8690: f65753a9  ldp	x22, x21, [sp, #0x130]
0xfffffff0088a8694: f85f52a9  ldp	x24, x23, [sp, #0x120]
0xfffffff0088a8698: fa6751a9  ldp	x26, x25, [sp, #0x110]
